"text","description","id","label","purpose","name","instanceType","uuid:ID"
"Mean daily copper balance where copper balance is measured by the calculated difference between copper intake (in food and drink) and copper output (in feces and urine) during ALXN1840 accumulation and steady-state periods for each dose","","Endpoint_1","","","END1","Endpoint","c07d9362-e052-4612-ab96-746a7adb1af4"
"Change in mean daily copper balance as measured by the calculated difference between copper intake (in food and drink) and copper output (in feces and urine) from pretreatment baseline (Days -4 through -1) and ALXN1840 accumulation and steady-state periods for each dose","","Endpoint_2","","","END2","Endpoint","712d5520-9131-40f3-8667-afc783e96811"
"Copper quantified in food, drink, feces, and urine, including plasma total and labile bound copper (LBC) during ALXN1840 accumulation and steady-state periods for each dose","","Endpoint_3","","","END3","Endpoint","b5bb0a66-02d7-4ddb-b17c-3f3874126875"
"Molybdenum quantified in food, drink, feces, and urine, plasma total molybdenum at ALXN1840 steady state","","Endpoint_4","","","END4","Endpoint","50201e96-1a51-452b-912d-ab5883815cc6"
"Mean daily molybdenum balance as demonstrated through measurement of molybdenum intake (in food, drink and ALXN1840), and molybdenum output (feces and urine) representing ALXN1840 steady state","","Endpoint_5","","","END5","Endpoint","57d9f6c4-0b14-44a2-b12c-5db2b7ab4580"
"Accumulation of molybdenum as determined by molybdenum balance","","Endpoint_6","","","END6","Endpoint","e807fcbc-c6ba-40f2-989b-28beee6af955"
"PK parameters for plasma total and PUF-molybdenum","","Endpoint_7","","","END7","Endpoint","59abb6f2-0bd4-4e66-8759-78d70dab7b7a"
"<ul>
<li><p>Treatment emergent adverse events (TEAEs)/serious adverse events (SAEs)</p></li>
<li><p>Clinical laboratory assessments (serum chemistry,  hematology, coagulation, and urinalysis)</p></li>
<li><p>Physical examinations</p></li>
<li><p>Heart rate, intervals (PR, QRS, QT and QTc), and clinically significant electrocardiogram (ECG) findings as determined by triplicate 12-lead ECG</p></li>
<li><p>Vital sign assessments (blood pressure and heart rate)</p></li>
</ul>","","Endpoint_8","","","END8","Endpoint","14a1577b-c3d1-4667-aa4f-60e2dda688c0"
"Assess dose response of ALXN1840 on copper balance focusing on copper balance","","Endpoint_9","","","END9","Endpoint","969f81c4-6e7d-4bf2-bcf5-a6e241fda14b"
"Determine the effect of time following initiation of ALXN1840 treatment on copper balance","","Endpoint_10","","","END10","Endpoint","7edd183b-0840-4e33-988e-13fc6a5ad7bd"
"Ceruloplasmin, ceruloplasmin-bound copper, and LBC: Change in ceruloplasmin at Days 1, 8, 25, 29, 36, and Day 39 compared with predose","","Endpoint_11","","","END11","Endpoint","78021d75-7869-43a9-b35c-640d32643500"
"Based on PK parameters","","Endpoint_12","","","END12","Endpoint","d0986452-35fa-4e3c-a83d-ee0740e1fa9c"
"Measure plasma copper:molybdenum ratios at steady state compared with predose","","Endpoint_13","","","END13","Endpoint","d237d386-eef4-4f0d-a22c-6626d729f856"
"Mean daily copper:molybdenum ratio in urine and feces at steady state compared with predose baseline","","Endpoint_14","","","END14","Endpoint","ff882d26-d995-4712-b4c6-e8d5a88edc11"
