"text","description","id","label","name","instanceType","uuid:ID"
"Within 42 days of ALXN1840 administration. Details of procedures that may be performed by sites designated as “screening sites” (only in the US) are detailed in Section 8.","","Condition_1","","COND1","Condition","70ba7666-285f-468b-9688-e5f7d4e7b96b"
"Participants will be admitted to the clinical research unit (CRU) at least 10 hours prior to enrollment and initiation of copper- and molybdenum-controlled diet.","","Condition_2","","COND2","Condition","5fd49262-edb9-430e-a709-e34429108cad"
"At the CRU's discretion, participants may remain in the CRU or be readmitted on Day 22 with all procedures starting on Day 23.","","Condition_3","","COND3","Condition","8ec82505-0423-484e-8715-ba31b01fd70d"
"Unscheduled study visits may occur at any time during the study and may include any study procedure as deemed necessary by the Investigator.","","Condition_4","","COND4","Condition","e74c4b40-c639-4224-804f-25cffe92d698"
"Participants are required to return to the CRU Day 54+/-2; participants will be discontinued from ALXN1840 medication by their physician at the latest by the Day 54 follow-up.","","Condition_5","","COND5","Condition","ba3d0ff9-8fc8-492e-bd74-8796749030f5"
"Discharge from the unit may occur after completion of all procedures on Day 9 and on Day 40 and after the Investigator has reviewed all safety assessment (including safety laboratory tests) and confirmed that the participant is appropriate for discharge.","Discharge from unit condition","Condition_6","Discharge","COND6","Condition","0cde6bf6-7b3a-4c4d-bd1f-e1948f273f74"
"A single outpatient visit or phone call and safety laboratory assessment should occur between Day 14 and Day 18. A phone call may take place on a different day than the blood draw within the Day 14 through Day 18 period.","","Condition_7","","COND7","Condition","05f00fe7-059f-4d59-88ee-d56288b836a8"
"During the outpatient period, participants will use SMS text messaging to confirm study intervention administration.","","Condition_8","","COND8","Condition","63da0508-78b7-4131-925c-137848e39881"
"If needed to confirm menopause.","","Condition_9","","COND9","Condition","a6337e3d-a683-460d-8d27-2e103ea863f6"
"Parameters include age and sex. Race and ethnicity will be collected where permitted by local regulations.","","Condition_10","","COND10","Condition","7fd0cdd9-d38a-450f-95b3-1186e57c9347"
"Wilson disease history will include diagnosis date, method of diagnosis, history of cirrhosis, details of any previous liver biopsies performed, and treatment received.","","Condition_11","","COND11","Condition","67a566b4-62cc-47cb-9d1b-b368b6d8b1c8"
"A full physical examination will be performed at Screening, at check-in for the study, and at the End of the study/Early Termination Visit. A physical examination should also be performed on any participants with ongoing adverse events prior to discharge from the unit. Otherwise, a symptom-driven physical examination may be performed at other times, at the Principal Investigator's discretion.","","Condition_12","","COND12","Condition","607b16a1-e2ad-4fe9-b0a9-dc0950942750"
"Height at screening only.","","Condition_13","","COND13","Condition","b9f2cc98-730a-4823-9e10-ad2fec19cb3c"
"While in the CRU, study intervention will be administered after an overnight fast (ie, at least 10 hours) at the same time every morning; drug is to be administered with 240 mL of water and meals should be delayed a minimum of 2 hours after dosing. As an outpatient, participants are expected to take ALXN1840 at approximately the same time daily (+/-1 hour). Participants should take the medication with a glass of water on an empty stomach; meals should be delayed a minimum of 2 hours after dosing.","","Condition_14","","COND14","Condition","fd0beef1-52a1-41f2-9aac-714c22fc5427"
"Blood sampling for PK/PD will occur before ALXN1840 administration and represents a predose trough. See Table 2 for PK/PD sampling on Days 1, 25, 29, and 39.","","Condition_15","","COND15","Condition","7491a4ef-01c9-4d5a-ab63-68cc3a9e5800"
"PK/PD collection will include timepoints described in the schedule of PK/PD assessment for Days 1, 25, 29, and 39 (Table 2).","","Condition_16","","COND16","Condition","e61fdf7b-3903-4ea5-8fea-52c4a23e50de"
