"windowLower","value","description","id","label","valueLabel","windowLabel","name","instanceType","uuid:ID","windowUpper"
"P0D","P42D","Screening timing","Timing_1","Screening","42 Days","0..33 Days","TIM1","Timing","1f770d79-3974-48b6-9643-59a09e3769b7","P33D"
"","P21D","Discontinuation of zinc therapy timing","Timing_2","Discontinue Zinc","21 Days","","TIM2","Timing","4da870e4-cdaa-46a3-a62e-daf589c33d1d",""
"","P8D","Check in timing","Timing_3","Check in","8 Days","","TIM3","Timing","60051ffc-ceaf-469f-abe7-fe42fd2ad933",""
"","P7D","Timing for day -7","Timing_4","Day -7","7 Days","","TIM4","Timing","f0fe80a8-f499-47d0-a04a-25e6c6c0cde5",""
"","PT0M","Cycle start for day -6 and -5","Timing_5","Day -6 & -5 Start","0 minutes","","TIM5","Timing","f92da91f-85ae-4abe-8344-1655a4598329",""
"","P1D","Timing for day -6 and -5","Timing_6","Day -6 & -5","1 Day","","TIM6","Timing","e92bd570-8b69-4532-8058-30c89d451e2e",""
"","PT0M","Decision for day -6 and -5","Timing_7","Day -6 & -5 Decision","0 minutes","","TIM7","Timing","affd004a-66f1-4f12-ba20-ebd1f7b0fd7c",""
"","P4D","Timing for day -4","Timing_8","Day -4","4 Days","","TIM8","Timing","9fb6b1cf-e132-4516-b328-03dd1373ac56",""
"","P3D","Timing for day -3","Timing_9","Day -3","3 Days","","TIM9","Timing","ccfa6cb4-da0c-45b4-a0f3-0a1820fdefb6",""
"","P2D","Timing for day -2","Timing_10","Day -2","2 Days","","TIM10","Timing","53650140-9880-46d4-81f4-ae129215d265",""
"","P1D","Timing for day -1","Timing_11","Day -1","1 Days","","TIM11","Timing","972fdf17-1619-400b-913c-df23c93a7fae",""
"","P1D","Day 1 anchor","Timing_12","Day 1","1 Day","","TIM12","Timing","de3b3c2b-2b69-48ed-96a6-24e946de14bb",""
"","P1D","Timing for day 2","Timing_13","Day 2","1 Days","","TIM13","Timing","993b5f28-6fb7-4114-9f22-d4452a24388b",""
"","P2D","Timing for day 3","Timing_14","Day 3","2 Days","","TIM14","Timing","9776f398-d39b-4ca2-b2fd-2715766570de",""
"","P3D","Timing for day 4","Timing_15","Day 4","3 Days","","TIM15","Timing","f5c5e9b7-273e-4f9a-ba00-c8d4e44e3c45",""
"","P4D","Timing for day 5","Timing_16","Day 5","4 Days","","TIM16","Timing","190031d3-91c1-4d12-a5b1-d2b7dc5db023",""
"","P5D","Timing for day 6","Timing_17","Day 6","5 Days","","TIM17","Timing","3a6fe236-bc45-4546-84b8-78eec74ddf67",""
"","P6D","Timing for day 7","Timing_18","Day 7","6 Days","","TIM18","Timing","de93252e-3fda-4e79-a12e-131a38eec7ed",""
"","P7D","Timing for day 8","Timing_19","Day 8","7 Days","","TIM19","Timing","09417b32-02b1-4d3c-851c-c8acd09fa39b",""
"","P8D","Timing for day 9","Timing_20","Day 9","8 Days","","TIM20","Timing","2204e6f0-5060-45e7-877c-988541a7f0a8",""
"","P9D","Timing for day 10","Timing_21","Day 10","9 Days","","TIM21","Timing","93de1293-476f-4aac-afa5-472daa558af8",""
"","P10D","Timing for day 11","Timing_22","Day 11","10 Days","","TIM22","Timing","24b60cc4-b766-4e83-b3ec-6d24756120ca",""
"","P11D","Timing for day 12","Timing_23","Day 12","11 Days","","TIM23","Timing","a1cdae89-8127-4eb0-9077-3fee7740d088",""
"","P12D","Timing for day 13","Timing_24","Day 13","12 Days","","TIM24","Timing","c1188f00-71c5-4808-834a-de84c5ff6e2e",""
"","P13D","Timing for day 14","Timing_25","Day 14","13 Days","","TIM25","Timing","26d7a41a-3706-4c3a-9e0a-e6ad1c3c0b93",""
"","P14D","Timing for day 15","Timing_26","Day 15","14 Days","","TIM26","Timing","a79e9a17-24b4-4b44-9362-69651b096332",""
"","P15D","Timing for day 16","Timing_27","Day 16","15 Days","","TIM27","Timing","2532027d-ab27-4109-a946-38e2fea8fa8d",""
"","P16D","Timing for day 17","Timing_28","Day 17","16 Days","","TIM28","Timing","d6575029-1cf5-4588-a47b-61b2f00ee602",""
"","P17D","Timing for day 18","Timing_29","Day 18","17 Days","","TIM29","Timing","304e0393-8dcc-47cf-9176-f1bfae35b177",""
"","P18D","Timing for day 19","Timing_30","Day 19","18 Days","","TIM30","Timing","32360f8e-a627-4b47-a711-dafd03a9d302",""
"","P19D","Timing for day 20","Timing_31","Day 20","19 Days","","TIM31","Timing","7097e088-62e0-4185-95f7-4f2e7bda8ca4",""
"","P20D","Timing for day 21","Timing_32","Day 21","20 Days","","TIM32","Timing","9a263e97-7d8e-44bd-a05a-4a2acd99516e",""
"","P21D","Timing for day 22","Timing_33","Day 22","21 Days","","TIM33","Timing","ae92b467-89d9-4fb4-af6b-67fcd609be3d",""
"","P22D","Timing for day 23","Timing_34","Day 23","22 Days","","TIM34","Timing","b261783a-1f8c-4fe4-bb05-e82f933e4168",""
"","P23D","Timing for day 24","Timing_35","Day 24","23 Days","","TIM35","Timing","d3e30db7-a3ef-4831-8dd2-57c2d49b50b9",""
"","P24D","Timing for day 25","Timing_36","Day 25","24 Days","","TIM36","Timing","355aed6a-8cec-4608-8d7e-d7abd5ece4b4",""
