"reference","id","label","name","instanceType","uuid:ID","synonyms"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C69260","BiomedicalConcept_2","Subject Age","Subject Age","BiomedicalConcept","df230614-93a4-455a-b294-bf8205654840","['Age']"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_3","Sex","Sex","BiomedicalConcept","eb75ea67-453e-4401-852e-5a7737329fbf",""
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_4","Race","Race","BiomedicalConcept","9b0ba62c-dd0e-4d13-ab48-4f8e2a681e0b","['Racial Group']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_5","Weight","Weight","BiomedicalConcept","ecdfeb18-5249-45e8-b745-ad27cd361dd5","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_6","Height","Height","BiomedicalConcept","67311481-7f2b-47b7-9a61-b49e62d49492","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/BMI","BiomedicalConcept_7","Body Mass Index","Body Mass Index","BiomedicalConcept","dd03a786-7817-46ac-9d57-c706b68d71d7","['BMI', 'Quetelet Index', 'Body Mass Index']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_8","Temperature","Temperature","BiomedicalConcept","00b44981-4d4d-4d11-b01e-df2c75704bff","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_9","Heart Rate","Heart Rate","BiomedicalConcept","672b5aa9-2e43-4960-8926-adb94af51915","['Heart Rate']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/RESP","BiomedicalConcept_10","Respiratory Rate","Respiratory Rate","BiomedicalConcept","37bcaf7a-5534-4bd2-b305-d496a4d4059d","['Respiratory Rate']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_11","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","ed567f47-eb4b-4ed2-96a0-18187fca19c3","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_12","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","3df64c01-7f8d-4598-9e45-0035154737d0","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept_1","Adverse Event Prespecified","Adverse Event Prespecified","BiomedicalConcept","c2ac9dd7-e64f-4a76-9e73-241d1b1b3526","['Adverse Event', 'Solicited Adverse Event']"
