"description","windowUpper","uuid:ID","windowLabel","windowLower","valueLabel","id","label","value","name","instanceType"
"Screening timing","","a9d048ad-f1c2-436a-969b-85d5959601cb","","","2 weeks","Timing_1","Screening","P2W","TIM1","Timing"
"Pre dose timing","PT0H","eb652cd7-5788-42f9-af66-58a907aa4e96","-4..0 hours","PT4H","2 days","Timing_2","Pre dose","P2D","TIM2","Timing"
"Dosing anchor","","0a44e7f5-28f2-4278-a224-bef3c7630394","","","1 Day","Timing_3","Dosing","P1D","TIM3","Timing"
"Week 2 timing","P3D","ceab7c75-6920-4783-b553-25ebd4f3ac3c","-3..3 days","P3D","2 Weeks","Timing_4","Week 2","P2W","TIM4","Timing"
"Week 4 timing","P3D","2c806bb3-1eb6-4415-a38b-ee3050b7297f","-3..3 days","P3D","4 Weeks","Timing_5","Week 4","P4W","TIM5","Timing"
"Week 6 timing","P3D","57b04398-9eab-4470-b381-7d435f925aac","-3..3 days","P3D","6 Weeks","Timing_6","Week 6","P6W","TIM6","Timing"
"Week 8 timing","P3D","c2d64e49-d160-4f34-a1dc-42f826780c59","-3..3 days","P3D","8 Weeks","Timing_7","Week 8","P8W","TIM7","Timing"
"Week 12 timing","P4D","69fbca4f-f83a-4025-9dd6-4897fbdf212e","-4..4 days","P4D","12 Weeks","Timing_9","Week 12","P12W","TIM9","Timing"
"Week 16 timing","P4D","f2ff06bc-486f-4a10-be50-1c009cba98c1","-4..4 days","P4D","16 Weeks","Timing_11","Week 16","P16W","TIM11","Timing"
"Week 20 timing","P4D","b638c3a1-8531-40ac-be28-7a0c4c0be2dd","-4..4 days","P4D","20 Weeks","Timing_13","Week 20","P20W","TIM13","Timing"
"Week 24 timing","P4D","1c4e994a-3e5b-48ad-8155-b95fc33fabbe","-4..4 days","P4D","24 Weeks","Timing_15","Week 24","P24W","TIM15","Timing"
"Week 26 timing","P3D","ebb4daff-cd45-4c18-84a3-b3e63d6211f2","-3..3 days","P3D","26 Weeks","Timing_16","Week 26","P26W","TIM16","Timing"
"Week 8 at home timing","","6c45c2fe-64fc-4afd-aa0b-69456247b3da","","","2 Weeks","Timing_8","Week 8 Home","P2W","TIM8","Timing"
"Week 12 at home timing","","fa2d5634-91a4-400e-8ee2-e8fe1d333ec1","","","2 Weeks","Timing_10","Week 12 Home","P2W","TIM10","Timing"
"Week 16 at home timing","","0b651fb5-9d46-4a59-a99e-e7533246d8ea","","","2 Weeks","Timing_12","Week 16 Home","P2W","TIM12","Timing"
"Week 20 at home timing","","8c6c4ba4-e422-408c-b1b8-aecebf59f910","","","2 Weeks","Timing_14","Week 20 Home","P2W","TIM14","Timing"
"Adverse Event","","c74e64db-f5fe-4fdc-9e1f-613f91175802","","","1 Day","Timing_17","Adverse Event","P1D","TIM17","Timing"
"Early Termination","","9e019797-d7d7-48c5-9e8f-fe5a53ae8408","","","1 Day","Timing_18","Early Termination","P1D","TIM18","Timing"
"Supine","","b37f3cd5-8ed8-406a-a0f6-3815595094ef","","","0 mins","Timing_19","Supine","PT0M","TIM19","Timing"
"VS while supine","","0bef954d-20c8-4cea-94b8-a729022653fb","","","5 mins","Timing_20","VS while supine","PT5M","TIM20","Timing"
"Standing","","4e27dbe7-99c7-4dd7-803f-b03ba21d3c82","","","0 min","Timing_21","Standing","PT0M","TIM21","Timing"
"VS while standing","","f78544b0-975b-4224-bc50-d65a0026acd7","","","1 min","Timing_22","VS while standing","PT1M","TIM22","Timing"
"Standing","","57f1b3af-cdf9-4ebd-9420-e3dbc8918002","","","0 min","Timing_23","Standing","PT0M","TIM23","Timing"
"VS while standing","","6be16e3e-3849-4ea1-aefb-f6e80be76851","","","2 min","Timing_24","VS while standing","PT2M","TIM24","Timing"
