"uuid:ID","id","name","text","instanceType"
"ecf9f177-73f2-468b-8cd0-1bcb9f6981c8","TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule"
"5ee70f5e-cca6-4a6b-946b-19c6c3206e3b","TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule"
"011122e4-90a1-4699-9e66-2f12f1dc10af","TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"3b4c33bc-4969-44ad-bc21-f9316dc8d0bf","TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule"
"1b1a30a4-50c6-44c8-88f0-f3330d715979","TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","TransitionRule"
"0c5686a0-27d8-45fd-a662-5d2c81dafa6f","TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule"
"3cf3fb20-d37e-4df2-b2b9-d2d2b8d2b5a4","TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","TransitionRule"
"84491a68-609b-43d7-81ef-329310f9c464","TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"22c7e5fb-ba90-41fa-982d-a1349ccefad3","TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule"
"227c627c-c0cd-479d-aa8b-1160c7b3962d","TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule"
"c16eabe7-4167-4e8f-a9e7-38a9b97f5744","TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"0fafa0c5-dee0-42a3-8c90-09a5fa633153","TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule"
"39d03489-7cde-4681-bdb9-fcda72ef9e0e","TransitionRule_11","ELEMENT_START_RULE_4","Randomized","TransitionRule"
"57e8e025-d84e-4e0d-9326-4a251ead0f4f","TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"3ebcbe09-a728-4bc3-80a4-e80528f7f767","TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
