"codeSystem","codeSystemVersion","decode","id","code","uuid:ID","instanceType"
"http://www.cdisc.org","2023-12-15","Interventional Study","Code_1","C98388","76e2ab17-dadd-4453-a857-324fbf9248eb","Code"
"http://www.cdisc.org","2023-12-15","Phase II Trial","Code_2","C15601","a1e7bb5a-6752-4ea0-9a3e-9e5bb0cdc84c","Code"
"http://www.cdisc.org","2023-12-15","Sponsor Approval Date","Code_9","C132352","088b2450-8b93-454b-a1be-25c3e889e69c","Code"
"http://www.cdisc.org","2023-12-15","Global","Code_10","C68846","6d6296bb-cde5-4a71-81f3-1b71224ac7c0","Code"
"http://www.cdisc.org","2023-12-15","IRB/IEC Feedback","Code_72","C99904x3","0d604838-308c-49ed-818f-91dd89d5d6b1","Code"
"http://www.cdisc.org","2023-12-15","Other","Code_73","C17649","ad1f3af4-ab1f-4e61-b360-be25c47a0c96","Code"
"http://www.cdisc.org","2023-12-15","Region","Code_75","C41129","4dbd47e6-121d-498f-bbde-07763ab98202","Code"
"ISO 3166 1 alpha3","2020-08","Europe","Code_74","150","da250ce2-d95a-45ed-bec1-9476bf05f6f9","Code"
"SPONSOR","12","Eli Lilly","Code_4","PHARMA","779f7c84-a85a-4f50-98c5-e9dd7cfac2ed","Code"
"http://www.cdisc.org","2023-12-15","Clinical Study Sponsor","Code_76","C70793","9facbcd9-babd-4692-b874-e376590f89ee","Code"
"ISO 3166 1 alpha3","2020-08","United States of America","Code_77","USA","7fd21e80-4a2f-45ef-93a2-42c828610715","Code"
"http://www.cdisc.org","2023-12-15","Study Registry","Code_78","C93453","538f3d2f-2e2b-4105-974e-9da138282149","Code"
"ISO 3166 1 alpha3","2020-08","United States of America","Code_79","USA","56c56457-9e4e-4ad2-8585-0e3915b2face","Code"
"http://www.cdisc.org","2023-12-15","Treatment Study","Code_137","C49656","5f0e0afe-f974-4b3c-8a1b-75f0fc68dc8a","Code"
"http://www.cdisc.org","2023-12-15","Efficacy Study","Code_138","C49666","fa2169f5-936f-4dce-9e7b-d3cb0be463e4","Code"
"http://www.cdisc.org","2023-12-15","Safety Study","Code_139","C49667","0af22a5b-8fa9-4d7c-9d10-6acf0eb77a17","Code"
"http://www.cdisc.org","2023-12-15","Pharmacokinetic Study","Code_140","C49663","8a0b06a3-9039-4f25-b477-8ed388d94f4f","Code"
"SPONSOR","12","Mild to Moderate Alzheimer's Disease","Code_134","MILD_MOD_ALZ","cb932549-1e99-4622-98f8-140f81eb2be9","Code"
"SNOMED","January 31, 2018","Alzheimer's disease","Code_135","26929004","01789df0-563c-4b24-835c-209f637c4572","Code"
"http://www.cdisc.org","2023-12-15","EXTENSION","Code_143","C99907x1","ebf0b072-7942-4856-a571-591c1f528ee8","Code"
"http://www.cdisc.org","2023-12-15","ADAPTIVE","Code_144","C98704","b57be369-eb78-4e4b-854b-f5f5b6a3c8db","Code"
"http://www.cdisc.org","2023-12-15","Parallel Study","Code_141","C82639","7d272ad7-d391-4597-ae30-0f8a3a00ab3d","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_83","C25716","0ac46868-9199-40cd-b0c4-6df4a65e0fba","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_84","C51282","bda229fb-24d7-44dc-8662-ea76daa7985b","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_85","C175574","5c4500d5-b3ef-40ce-a88d-172ffb400209","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_86","C25716","7824b336-64d7-404c-9319-047ae8dcaaf0","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_87","C51282","c804a8c4-ccbe-42aa-b682-995d24053c9e","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_88","C175574","d963bee3-f554-406e-b1ed-111f9a50fba7","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_89","C25716","2093265a-718c-48a3-8baa-c7db416b3c10","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_90","C51282","6cb1daf0-39fa-425a-83ee-e0dcd6836d88","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_91","C175574","fd1824da-0b87-4bd2-a104-97fdcace05e7","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_92","C25716","7b688e41-2e7d-4da4-8c72-216ff716debd","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_93","C51282","1afaee37-9855-4907-a2c6-ebbdefa79eef","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_94","C175574","96d3a110-984a-486a-ac37-bca5b2cca9f2","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_95","C25716","d21b74b7-36c4-4720-97f7-7d27fd83d1ef","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_96","C51282","7550704e-d64f-440a-9f19-1e2f0c07ec2e","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_97","C175574","75c23079-0239-4476-94be-f866e0da4b03","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_98","C25716","6d4aa097-b784-4c08-9897-70bf31d618e0","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_99","C51282","98ce881a-2396-4871-9df7-62bdb684cb01","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_100","C175574","a8ba4158-632d-44be-a76a-605e393c718b","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_101","C25716","1927f463-c409-43e3-a4a2-07534bb3c416","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_102","C51282","28eac9f6-d1ee-49ae-89f2-af4cd04ccbef","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_103","C175574","6e3fc95d-902d-4cfe-beef-b46654e9579f","Code"
"http://www.cdisc.org","2023-12-15","Telephone Call","Code_104","C171537","41d8286c-2714-4db3-b57d-6d3de6318812","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_105","C25716","77b2eeaa-9686-4e1d-aa79-5190080b1554","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_106","C51282","937fc3fb-429a-40f4-8f7c-70be4d974ce1","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_107","C175574","a43b33d4-17d4-44ba-9543-4620b43c3f45","Code"
"http://www.cdisc.org","2023-12-15","Telephone Call","Code_108","C171537","10dd1c49-b177-4ae4-858e-d577b61db205","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_109","C25716","f51d1565-77d2-4306-afae-3d243bbf175e","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_110","C51282","34721070-a129-499d-85e4-cf538fae938b","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_111","C175574","9edb3614-e541-4231-823b-fbbc097eec5b","Code"
"http://www.cdisc.org","2023-12-15","Telephone Call","Code_112","C171537","a914a076-162b-4e41-8afb-4b59e18781bd","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_113","C25716","b6f93b65-5624-4ff0-a5de-5abd276b2ebe","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_114","C51282","ecda2c6f-0db7-4eba-b855-8b93a541df7d","Code"
"http://www.cdisc.org","2023-12-15","In Person","Code_115","C175574","8857089e-7824-4e4b-8716-abed4b8a7e79","Code"
"http://www.cdisc.org","2023-12-15","Telephone Call","Code_116","C171537","0fd70978-c728-4516-9285-e1ee720daaf4","Code"
"http://www.cdisc.org","2023-12-15","Visit","Code_117","C25716","367ef7fd-d77b-42e9-99f2-1f1db44085fc","Code"
"http://www.cdisc.org","2023-12-15","Clinic","Code_118","C51282","a81c8832-4f9d-4d01-93f6-b1c61247db2b","Code"
