"description","uuid:ID","id","label","name","instanceType"
"-","dd5f1ce7-166b-45a2-8d71-134306a78b68","ScheduledActivityInstance_9","Screen One","SCREEN1","ScheduledActivityInstance"
"-","5c65e5b5-4c52-43ae-94ec-98a1fb88d9e0","ScheduledActivityInstance_10","Screen Two","SCREEN2","ScheduledActivityInstance"
"-","9c0e4591-acad-4ec8-be6c-91c9b5f0a5fb","ScheduledActivityInstance_11","Dose","DOSE","ScheduledActivityInstance"
"-","555ab689-bd6d-4101-b4c3-19eb058d09fe","ScheduledActivityInstance_12","Week 2","WK2","ScheduledActivityInstance"
"-","2f0fd4f8-bae8-4ce5-b156-9d99952952d0","ScheduledActivityInstance_13","Week 4","WK4","ScheduledActivityInstance"
"-","e9b14219-ba55-430d-8cb7-e80ca250e471","ScheduledActivityInstance_14","Week 6","WK6","ScheduledActivityInstance"
"-","080c8670-deae-436e-bd08-39f0b6db32f9","ScheduledActivityInstance_15","Week 8","WK8","ScheduledActivityInstance"
"-","c9aa5723-f1d4-4b34-bcdc-c098247ed8ab","ScheduledActivityInstance_16","Week NPI","WK8N","ScheduledActivityInstance"
"-","33088cf8-a967-4684-a920-13cc20ec8eee","ScheduledActivityInstance_17","Week 12","WK12","ScheduledActivityInstance"
"-","f1d6d2c8-ac9c-4b67-a9bf-d00741494e79","ScheduledActivityInstance_18","Week 12 NPI","WK12N","ScheduledActivityInstance"
"-","f4bde6de-dba0-4842-8572-5153b0e8921b","ScheduledActivityInstance_19","Week 16","WK16","ScheduledActivityInstance"
"-","592932c7-d51b-4584-891f-70ef227e1f20","ScheduledActivityInstance_20","Week 16 NPI","WK16N","ScheduledActivityInstance"
"-","4ea29158-4059-4195-ac04-e31196e52de9","ScheduledActivityInstance_21","Week 20","WK20","ScheduledActivityInstance"
"-","8a5cf812-65eb-477e-9382-8ca718f5e770","ScheduledActivityInstance_22","Week 20 NPI","WK20N","ScheduledActivityInstance"
"-","19103a34-c7db-46a5-9bfe-6007dfae2fa5","ScheduledActivityInstance_23","Week 24","WK24","ScheduledActivityInstance"
"-","3857e577-2bf9-4fe5-9763-e134344a5e3e","ScheduledActivityInstance_24","Week 26","WK26","ScheduledActivityInstance"
"-","3767f42b-1067-4158-982c-bfab51ecdc44","ScheduledActivityInstance_1","Adevers Event","AE","ScheduledActivityInstance"
"-","4d7ce074-894f-43fe-b77d-ae422e2adf49","ScheduledActivityInstance_2","Early Termination","ET","ScheduledActivityInstance"
"","4fce24fc-7ab6-4088-ac8d-bb48c9b624f9","ScheduledActivityInstance_3","5 minute supine","VS_5MIN","ScheduledActivityInstance"
"","b5481be3-b956-4f5b-8d5b-639893c07738","ScheduledActivityInstance_4","Vital signs supine","VS_SUPINE","ScheduledActivityInstance"
"","0af64bfe-69f6-4484-b7fa-b765d509e77d","ScheduledActivityInstance_5","1 minute standing","VS_1MIN","ScheduledActivityInstance"
"","f77c88aa-8e06-4c10-831e-dd795cb727a4","ScheduledActivityInstance_6","Vital signs after 1 min standing","VS_STAND1","ScheduledActivityInstance"
"","426b77aa-4189-4ee6-9aa7-7f463840165b","ScheduledActivityInstance_7","2 minute standing","VS_2MIN","ScheduledActivityInstance"
"","78fda643-af64-4b8b-a82d-3d2dee8c7f21","ScheduledActivityInstance_8","Vital signs after 3 min standing","VS_STAND3","ScheduledActivityInstance"
