"uuid:ID","synonyms","reference","id","label","name","instanceType"
"f8fb82c0-99db-449b-8916-50c69ebe3508","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_20","Sex","Sex","BiomedicalConcept"
"d53c1bf2-610d-49a3-a19e-dedc78bc1722","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_21","Race","Race","BiomedicalConcept"
"ef11851b-b992-4b39-b948-21f11263399a","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_22","Temperature","Temperature","BiomedicalConcept"
"bc3b7e70-92bf-4994-befe-4e2a1ba2845b","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_23","Weight","Weight","BiomedicalConcept"
"ae1c1e86-1319-4e1f-abfa-9718fc8a7bf2","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_24","Height","Height","BiomedicalConcept"
"b3084519-e156-4adb-b4fb-56c7fc339cf2","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept"
"aabb1b8e-ea69-47bc-8b4b-0851df47b70a","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_26","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept"
"f8528c29-7fbc-409f-a297-d17b7cb1ce11","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept"
"ffc2ece8-dfed-401d-a972-0e9b85431814","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept"
"5568d1eb-2246-49b5-a628-a06f0e00c1ba","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_29","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept"
"d3b43927-0af2-4544-870a-e31e5841282f","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_30","Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept"
"bb3c9bc4-f033-4b35-913a-6bf3caf06cef","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_31","Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept"
