"description","id","label","name","instanceType","uuid:ID"
"Informed Consent","Activity_1","Informed Consent","INFORMED_CONSENT","Activity","2648cb21-9919-4176-9d48-ef741c943f3c"
"Randomization","Activity_2","Randomization","RANDOMIZATION","Activity","e1c48647-3acd-4f05-b8a3-e8615e1de4d0"
"Admission to CRU","Activity_3","Admission to CRU","ADMISSION","Activity","310b926e-8c10-4a22-8ad5-7078ee2468fe"
"Discharge from CRU","Activity_4","Discharge from CRU","DISCHARGE","Activity","a06ccc41-ca60-41f4-9446-94865ecf2e46"
"Medical History","Activity_5","Medical History","MEDICAL HISTORY","Activity","64647af1-f393-401e-b89f-5f5c2ec86284"
"Collect Pre-existing Conditions and Adverse Events","Activity_6","Collect Pre-existing Conditions and Adverse Events","PRE_EXIST_AND_AE","Activity","e63a9fd7-cd3e-42e5-946d-b6369e2acc58"
"Physical Exam","Activity_7","Physical Exam","PHYSICAL EXAM","Activity","8658ebd2-22b5-4358-a08a-1a390a685c46"
"Height and Weight","Activity_8","Height and Weight","HEIGHT_WEIGHT","Activity","787f4f98-7b44-4394-a8f6-4c1430565a3e"
"Hypoglycemic Events","Activity_9","Hypoglycemic Events","HYPOGLYCEMIC_EVENTS","Activity","aa773987-3b89-4c7e-9f55-242f8acd7761"
"Concomitant Medication","Activity_10","Collect Concomitant Medications","CONCOMITANT MEDS","Activity","cb13aea6-6cb2-4265-bf15-4486b9182d80"
"Insulin infusion","Activity_11","Insulin infusion to Induce Hypoglycemia","INSULIN_INFUSION","Activity","6e93bfa6-e0dc-49ae-b79c-4e3759b737ed"
"PG Monitoring","Activity_12","PG Monitoring","PG_MONITOR","Activity","2e5e3392-a0a3-49af-aa08-561bad8fcc0b"
"Study Treatment administration","Activity_13","Study Treatment Administration","STUDY_TREATMENT","Activity","4f3dcee4-cd55-4f61-8d38-14fd922ae73b"
"Vital Signs","Activity_16","Vital Signs (Supine Blood Pressure, Pulse Rate, and Body Temperature)","VITAL_SIGNS","Activity","7c18bb2b-636f-45b6-9c81-4782e0c13bc4"
"Single 12-lead ECG (Local)","Activity_17","Single 12-lead ECG (Local)","SINGLE_ECG","Activity","91d7d088-d846-4035-8225-9fe991bc391d"
"Triplicate 12-lead ECG","Activity_18","Triplicate 12-lead ECG (Central)","TRIPLICATE_ECG","Activity","5cbab50c-1dbb-409e-941e-b043ab13c6fb"
"Clinical Serology Tests","Activity_19","Clinical Serology Tests","SEROLOGY","Activity","fe8debe3-7b50-41af-aeaf-74dd1c9d4ffe"
"Clinical Lab Tests","Activity_20","Clinical Lab Tests","LAB_TESTS","Activity","ab883fcf-a61e-4c43-a237-1e84c1bdc16e"
"HbA1c","Activity_21","HbA1c","HBA1C","Activity","034c4140-ace4-4ffe-bc67-878277572bc5"
"Pregnancy Tests","Activity_22","Pregnancy Test (Female patients of childbearing potential only)","PREGNANCY","Activity","6f1fb2ae-fe49-41de-ad25-99b9e210ddfb"
"Follicle-stimulating hormone","Activity_23","FSH (Female patients only)","FSH","Activity","4570fd9b-6cb0-4c1f-874b-988cc8958e44"
"Ethanol testing","Activity_24","Ethanol testing","ETHANOL","Activity","a7df4b21-62ed-4403-81b8-63c69a158cdd"
"Urine Drug Screen","Activity_25","Urine Drug Screen","DRUG_SCREEN","Activity","033615f7-2e27-4a12-a159-05d73578e891"
"PK (Glucagon)","Activity_26","PK (Glucagon)","PK_GLUCAGON","Activity","23f9a42a-85d8-4f90-8d49-64f3f397dc2a"
"Plasma Glucose for PD","Activity_27","Plasma Glucose for PD","PLASMA_GLUCOSE","Activity","bdeb636b-6b5b-416f-bb1e-15cf7c0778c5"
"Genetic Sample","Activity_28","Genetic Sample (stored)","GENETIC_SAMPLE","Activity","ada6a2a5-56ff-48ed-a4e0-b0c2d16789b2"
"Anti-glucagon antibodies","Activity_29","Anti-glucagon Antibodies","ANTIBODIES","Activity","1877989a-5cfe-496c-b64b-6aebb4f32070"
"Clarke Hypoglycemia Awareness Survey","Activity_30","Clarke Hypoglycemia Awareness Survey","CLARKE_SURVEY","Activity","39e7e59b-b658-4d3e-a2f7-b991600481bc"
"Nasal and Non-nasal Score Quaestionnaire","Activity_31","Nasal and Non-nasal Score Quaestionnaire","NASAL_SCORE","Activity","ebd939d7-4236-4f49-9232-95c7c35691e6"
"Edinburgh Hypoglycemia Scale: Experimental Hypoglycemia","Activity_32","Edinburgh Hypoglycemia Scale: Experimental Hypoglycemia","EDINBURGH_SCALE","Activity","df75b13a-665c-47f0-9011-991d69a42a36"
"Weight","Activity_34","Weight","WEIGHT","Activity","bc162c9c-c675-49b7-b9fd-5bcea4adba05"
"Injection Site Assessment","Activity_14","Injection-Site Assessment","INJ_SITE_ASSESSMENT","Activity","be279442-29e3-4588-85b7-55cba12324e4"
"Nasal inspection","Activity_15","Nasal Inspection","NASAL_INSPECTION","Activity","942fc9f6-5a43-40d5-bdcf-68c413232239"
"Meal","Activity_33","Meal","MEAL","Activity","45a246c0-2f7f-4422-8fc0-e13a3f481946"
