"reference","id","label","name","instanceType","uuid:ID","synonyms"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept_2","Informed Consent Obtained","Informed Consent Obtained","BiomedicalConcept","06e48f20-5be6-4818-b208-53ed2297ebc3","['Informed Consent Obtained', 'Informed Consent']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/MEDHISTFREE","BiomedicalConcept_3","Medical History Free Text Format","Medical History Free Text Format","BiomedicalConcept","912df3ce-2871-4c9d-96be-03c0365e4e2c","['Medical History', 'Medical History Collection', 'Solicited Medical History']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_4","Weight","Weight","BiomedicalConcept","c29dcae6-a2ad-468c-a1f6-86c7ad559fa7","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_5","Height","Height","BiomedicalConcept","9f2e7fff-0ab4-41a0-8944-93d2ab33eadb","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CMFREE","BiomedicalConcept_6","Concomitant Medication Free Text Format","Concomitant Medication Free Text Format","BiomedicalConcept","142ad814-5643-4639-b57a-e60a8b40ac05","['Concomitant Medication', 'Concomitant Therapy']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_7","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","35f9f2bb-79cb-4207-8d2a-c7e8a135c05e","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_8","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","b27975da-a491-4039-a9da-ffb51fe46d60","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/PULSE","BiomedicalConcept_9","Pulse","Pulse","BiomedicalConcept","21a5ee6e-8ebc-4193-8e58-be9a01585119","['Pulse', 'Pulse Rate']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_10","Temperature","Temperature","BiomedicalConcept","f9eac890-1b7e-43c4-a46e-70cfe1aa8411","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/HCTBLD","BiomedicalConcept_11","Hematocrit of Blood","Hematocrit of Blood","BiomedicalConcept","ecd86c54-b852-4d87-9d83-e65fd190cf92","['Hematocrit', 'Packed Cell Volume', 'PCV', 'Erythrocyte Volume Fraction', 'EVF', 'Hematocrit Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/HGBBLDDIP","BiomedicalConcept_12","Hemoglobin in Blood by Dipstick","Hemoglobin in Blood by Dipstick","BiomedicalConcept","35a812ba-b70d-46bd-be26-91970b22351f","['Hemoglobin', 'HGB', 'Hemoglobin Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/PLATBLD","BiomedicalConcept_13","Platelet Count in Blood","Platelet Count in Blood","BiomedicalConcept","c4d0cb4a-52db-40d2-9020-92c824ea350a","['Thrombocytes', 'Platelets', 'Anucleated Thrombocytes', 'Platelet Count']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/NEUTBLD","BiomedicalConcept_14","Neutrophils in Blood","Neutrophils in Blood","BiomedicalConcept","593183fc-cbb8-4be5-8ab1-b1ef512f6c4a","['Neutrophils', 'Total Neutrophil Count', 'NEUT', 'Absolute Neutrophil Count']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/LYMPHBLD","BiomedicalConcept_15","Lymphocyte Count in Blood","Lymphocyte Count in Blood","BiomedicalConcept","3c77c87d-3a18-40cc-9d0e-c7e284ddc0f3","['Lymphocytes', 'Lymphocyte Count']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/MONOBLD","BiomedicalConcept_16","Monocyte Count in Blood","Monocyte Count in Blood","BiomedicalConcept","50cbac84-1a59-4df3-94c2-fefd05369b4e","['Monocytes', 'Monocyte Count']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/EOSBLD","BiomedicalConcept_17","Eosinophil Count in Blood","Eosinophil Count in Blood","BiomedicalConcept","d46cb460-277d-4acb-a128-fc1836175dfc","['Eosinophils', 'Eosinophil Count']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/BASOBLD","BiomedicalConcept_18","Basophil Count in Blood","Basophil Count in Blood","BiomedicalConcept","e83613f8-1b4e-44c6-ab18-ed24e99eb787","['Basophils', 'Total Basophil Count', 'Absolute Basophil Count']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_19","Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept","118cfaa7-851b-406a-b997-56535b7b9ea5","['Sodium', 'NA', 'Sodium Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_20","Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept","91635bdc-5ddc-4099-bdbf-f51c3b023d08","['Potassium', 'K', 'Potassium Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/CLSERPL","BiomedicalConcept_21","Chloride Concentration in Serum/Plasma","Chloride Concentration in Serum/Plasma","BiomedicalConcept","241a810b-daf9-40cc-91f3-8a813086dde3","['Chloride', 'CL', 'Chloride Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CASERPL","BiomedicalConcept_22","Calcium Concentration in Serum or Plasma","Calcium Concentration in Serum or Plasma","BiomedicalConcept","4b72bd52-b31b-4894-bab7-f2ac4db6f7e7","['Calcium', 'CA', 'Calcium Measurement']"
