"reference","description","id","label","name","instanceType","uuid:ID"
"None set","Hepatitis B surface antigen","BiomedicalConceptSurrogate_1","Hepatitis B surface antigen","Hepatitis B surface antigen","BiomedicalConceptSurrogate","ba3da818-7ba3-471f-a285-cc18bded0c15"
"None set","Hepatitis C antibody","BiomedicalConceptSurrogate_2","Hepatitis C antibody","Hepatitis C antibody","BiomedicalConceptSurrogate","9e3499a2-d759-416e-8f95-9a397dfcb60b"
"None set","HIV","BiomedicalConceptSurrogate_3","HIV","HIV","BiomedicalConceptSurrogate","7da6bcd8-e821-45cd-b0e7-9409faf38730"
"None set","Syphilis","BiomedicalConceptSurrogate_4","Syphilis","Syphilis","BiomedicalConceptSurrogate","9cf09276-9719-495d-809c-f412b99b1047"
"None set","Erythrocyte count (RBC)","BiomedicalConceptSurrogate_5","Erythrocyte count (RBC)","Erythrocyte count (RBC)","BiomedicalConceptSurrogate","ddd6bcc7-4fb6-4931-9224-a7a2f0659524"
"None set","Mean cell volume","BiomedicalConceptSurrogate_6","Mean cell volume","Mean cell volume","BiomedicalConceptSurrogate","a81b43f9-25af-404a-b939-1565208af83b"
"None set","Mean cell hemoglobin","BiomedicalConceptSurrogate_7","Mean cell hemoglobin","Mean cell hemoglobin","BiomedicalConceptSurrogate","a1dd5e0b-f09a-490a-8d38-7fbf7d47a9d2"
"None set","Mean cell hemoglobin concentration","BiomedicalConceptSurrogate_8","Mean cell hemoglobin concentration","Mean cell hemoglobin concentration","BiomedicalConceptSurrogate","939a95ea-4875-49f4-b805-bf194c7d9648"
"None set","Leukocytes (WBC)","BiomedicalConceptSurrogate_9","Leukocytes (WBC)","Leukocytes (WBC)","BiomedicalConceptSurrogate","3361bedb-3a36-4806-9ce3-ebf6aac69073"
"None set","Cell morphology","BiomedicalConceptSurrogate_10","Cell morphology","Cell morphology","BiomedicalConceptSurrogate","e6238a7f-4eb1-45eb-b1d6-53d81541f1e4"
"None set","Plasma Glucose","BiomedicalConceptSurrogate_11","Plasma Glucose","Plasma Glucose","BiomedicalConceptSurrogate","7654daf8-ca95-4ff0-8c79-aad2eb0db950"
"None set","Blood urea nitrogen (BUN)","BiomedicalConceptSurrogate_12","Blood urea nitrogen (BUN)","Blood urea nitrogen (BUN)","BiomedicalConceptSurrogate","1cbf325c-4eeb-4347-a178-d5e7144bc2a5"
"None set","Total cholesterol","BiomedicalConceptSurrogate_13","Total cholesterol","Total cholesterol","BiomedicalConceptSurrogate","88595b5a-97b6-4d4e-a35a-b017b252cef9"
"None set","Total protein","BiomedicalConceptSurrogate_14","Total protein","Total protein","BiomedicalConceptSurrogate","6fb6094c-9be0-490c-a89a-3fc426680b54"
"None set","Total bilirubin","BiomedicalConceptSurrogate_15","Total bilirubin","Total bilirubin","BiomedicalConceptSurrogate","4f358167-b80c-46ad-b1da-a89057dacb7e"
"None set","Alkaline phosphatase (ALP)","BiomedicalConceptSurrogate_16","Alkaline phosphatase (ALP)","Alkaline phosphatase (ALP)","BiomedicalConceptSurrogate","8f7bc310-32c9-494e-baef-4d89be507e83"
"None set","Aspartate aminotransferase (AST)","BiomedicalConceptSurrogate_17","Aspartate aminotransferase (AST)","Aspartate aminotransferase (AST)","BiomedicalConceptSurrogate","04ef3cf7-096d-4b70-8861-ba67f15dca7f"
"None set","Alanine aminotransferase (ALT)","BiomedicalConceptSurrogate_18","Alanine aminotransferase (ALT)","Alanine aminotransferase (ALT)","BiomedicalConceptSurrogate","c6da7c81-918e-4d5b-ab74-e4b956bb9441"
"None set","Urinalysisa Gamma-glutamyl transferase (GGT)","BiomedicalConceptSurrogate_19","Urinalysisa Gamma-glutamyl transferase (GGT)","Urinalysisa Gamma-glutamyl transferase (GGT)","BiomedicalConceptSurrogate","6e9ba7c6-db1a-447e-a1af-60ac0005a2d8"
"None set","Insulin","BiomedicalConceptSurrogate_20","Insulin","Insulin","BiomedicalConceptSurrogate","01ef3845-4b3e-4b82-9847-ffc888fa57ea"
"None set","Blood","BiomedicalConceptSurrogate_21","Blood","Blood","BiomedicalConceptSurrogate","40ee1230-c54b-4527-b78d-9ab6b5384f1f"
