"text","id","uuid:ID","name","instanceType"
"Study Start","TransitionRule_1","8d0a79f7-d4ae-40cb-ae98-42dd0d67a462","ELEMENT_START_RULE_1","TransitionRule"
"Day -1 of treatment period 1","TransitionRule_2","9b57bd15-5083-4149-b5c5-493d2a6609a3","ELEMENT_END_RULE_1","TransitionRule"
"Day -1 of treatment period","TransitionRule_3","98325e64-f50f-4a7a-a747-2429b9d9c87e","ELEMENT_START_RULE_2","TransitionRule"
"End of Day 1 of treatment period","TransitionRule_4","7b9e2808-ae07-476c-bf6e-c30129ece271","ELEMENT_END_RULE_2","TransitionRule"
"End of Day 1 of Treatment period 1","TransitionRule_7","30e1fe23-f6e5-41d7-ae82-900ea6133233","ELEMENT_START_RULE_4","TransitionRule"
"Day -1 of treatment period 2","TransitionRule_8","eb8f7c52-0d6e-4e62-aeb8-0238b9d30383","ELEMENT_END_RULE_4","TransitionRule"
"Day -1 of treatment period","TransitionRule_5","e1ea0f84-dd14-48a8-af88-339e2d667fd5","ELEMENT_START_RULE_3","TransitionRule"
"End of Day 1 of treatment period","TransitionRule_6","79804665-cd7a-4500-b33e-15248ad9f778","ELEMENT_END_RULE_3","TransitionRule"
"End of Day 1 of Treatment period 2","TransitionRule_9","ccd8d358-9463-4fae-879d-2c32129d6284","ELEMENT_START_RULE_5","TransitionRule"
"Leave Study","TransitionRule_10","a7f843d8-b36c-4fb0-832f-bce42174da49","ELEMENT_END_RULE_5","TransitionRule"
