"text","description","id","label","name","instanceType","uuid:ID","identifier"
"<p>have had a diagnosis of either:</p>
<ul>
  <li>
    <p>[1a] T1DM based on the World Health Organization (WHO) diagnostic criteria, and have been on the following daily insulin therapy for at least 1 year</p>
    <ul>
      <p>[A] multiple daily injection of long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) and rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine), or</p>
      <p>[B] continuous subcutaneous insulin infusion (CSII)</p>    
    </ul>
  </li>
  <p>Or</p>
  <li>
    <p>[1b] T2DM based on the WHO diagnostic criteria, and have received the</p>
    <p>following daily insulin therapy with or without oral anti-hyperglycemic medications (OAMs) for at least 1 year</p>
    <ul>
      <p>[A] insulin: long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) alone, or in combination with rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine) or CSII</p>
      <p>[B] OAM: up to 3 of the following OAMs in accordance with local regulations: metformin, dipeptidyl peptidase-4 inhibitor, sodium glucose cotransporter 2 inhibitor, sulfonylurea (should not be more than half of maximum approved doses), glinides, alpha-glucosidase inhibitor, or thiazolidine</p>
    </ul>
  </li>
</ul>","","EligibilityCriterion_1","","INC1","EligibilityCriterion","bb9e9556-66f6-4c4b-8a4c-68ff754b3503","1"
"<p>male patients: agree to use an effective method of contraception for the duration of the study and for 28 days following the last study treatment</p>","Male contraception critierion","EligibilityCriterion_2","","INC2","EligibilityCriterion","f49bb88d-1745-44d4-96a8-bde179dad190","2"
"<ul>
  <li>
    [3a] women of childbearing potential who are abstinent (if this is complete
    abstinence, as their preferred and usual lifestyle) or in a same sex
    relationship (as part of their preferred and usual lifestyle) must agree to
    either remain abstinent or stay in a same sex relationship without sexual
    relationships with males. Periodic abstinence (eg, calendar, ovulation,
    symptothermal, post-ovulation methods), declaration of abstinence just for
    the duration of a trial, and withdrawal are not acceptable methods of
    contraception.
  </li>
  <li>
    [3b] otherwise, women of childbearing potential participating must agree to use
    one highly effective method (less than 1% failure rate) of contraception, or a
    combination of 2 effective methods of contraception for the entirety of the
    study.
    <ul>
      <li>[A] women of childbearing potential participating must test negative for
        pregnancy prior to initiation of treatment as indicated by a negative serum
        pregnancy test at the screening visit followed by a negative urine
        pregnancy test within 24 hours prior to exposure.</li>
      <li>[B] either one highly effective method of contraception or a combination
        of 2 effective methods of contraception will be used. The patient may
        choose to use a double barrier method of contraception. Barrier protection
        methods without concomitant use of a spermicide are not a reliable or
        acceptable method. Thus, each barrier method must include use of a
        spermicide. It should be noted that the use of male and female condoms
        as a double barrier method is not considered acceptable due to the high
        failure rate when these methods are combined.</li>
    </ul>
  </li>
  <li>
    [3c] women not of childbearing potential may participate, and include those who are:
    <ul>
      <li>
        [A] infertile due to surgical sterilization (hysterectomy, bilateral
        oophorectomy, or tubal ligation), congenital anomaly such as mullerian
        agenesis
      </li>
      <li>
        Or
        [B] postmenopausal, defined as either:
        <ul>
          <li>[i] a woman at least 50 years of age with an intact uterus, not on hormone therapy, who has had either:
          </li>
          <ul>
            <li>[a] cessation of menses for at least 1 year, or</li>
            <li>[b] at least 6 months of spontaneous amenorrhea with a follicle-stimulating hormone >40 mIU/mL; or</li>
          </ul>
          <li>[ii] a woman 55 or older not on hormone therapy, who has had at least 6 months of spontaneous amenorrhea,
            or</li>
          <li>[iii] a woman at least 55 years of age with a diagnosis of menopause prior to starting hormone replacement
            therapy</li>
        </ul>
      </li>
    </ul>
  </li>
</ul>","Female contraception criterion","EligibilityCriterion_3","","INC3","EligibilityCriterion","b235afac-1bee-43f8-b33a-07b77d510103","3"
"<p>are between 18 and 64 years old for T1DM, or between 20 and 70 years old for T2DM at the time of informed consent</p>","Age critierion","EligibilityCriterion_4","","INC4","EligibilityCriterion","af64dbbf-04ce-47ed-94f5-71e8efe2e8fb","4"
"<p>have a body mass index of 18.5 to 30.0 kg/m 2 for T1DM, or 18.5 to 35.0 kg/m 2 for T2DM at the time of screening</p>","Weight critierion","EligibilityCriterion_5","","INC5","EligibilityCriterion","adc905a2-41fe-4774-9254-43430820603b","5"
"<p>have a hemoglobin A1c value ≤10% at the time of screening</p>","A1c critierion","EligibilityCriterion_6","","INC6","EligibilityCriterion","2bb34d3e-4518-4805-bbeb-bb6fe2efa1b0","6"
"<p>have clinical laboratory test results within normal reference range (except for glycemic parameters) for the population or investigative site, or results with acceptable deviations that are judged to be not clinically significant by the investigator</p>","Labs critierion","EligibilityCriterion_7","","INC7","EligibilityCriterion","186cfc81-4d40-4220-bd1b-a1d448e7218d","7"
"<p>have venous access sufficient to allow for blood sampling and administration of insulin for IV administration as per the protocol</p>","Venous critierion","EligibilityCriterion_8","","INC8","EligibilityCriterion","5297a7e0-6565-4b2d-8f46-5c0cd8fedabc","8"
"<p>are reliable and willing to make themselves available for the duration of the study and are willing to follow study procedures</p>","Availability critierion","EligibilityCriterion_9","","INC9","EligibilityCriterion","82a54f42-6252-4afe-a7aa-d5f437aa151e","9"
"<p>are able and willing to give signed informed consent</p>","IC critierion","EligibilityCriterion_10","","INC10","EligibilityCriterion","48ea73dd-766f-451c-9c37-2a73d4415410","10"
"<p>are investigative site personnel directly affiliated with this study and their immediate families. Immediate family is defined as a spouse, biological or legal guardian, child, or sibling</p>","Site personal criterion","EligibilityCriterion_11","","EXC11","EligibilityCriterion","231eddbe-a06e-4838-8eaf-bf944a61d3b0","11"
"<p>are Lilly employees</p>","Lilly employee criterion","EligibilityCriterion_12","","EXC12","EligibilityCriterion","44756dbd-cc86-49c4-beca-0f1fc279fb53","12"
"<p>are currently enrolled in a clinical trial involving an investigational product or any other type of medical research judged not to be scientifically or medically compatible with this study</p>","Other study critierion","EligibilityCriterion_13","","EXC13","EligibilityCriterion","c5949bb4-97cd-4f80-8ddf-16aeb1075657","13"
"<p>have participated, within the last 4 months, in a clinical trial involving an investigational product. If the previous investigational product has a long half-life, 4 months or 5 half-lives (whichever is longer) should have passed from the last dose of investigational product</p>","Previous study criterion","EligibilityCriterion_14","","EXC14","EligibilityCriterion","32732229-e1b0-4dff-921e-c30181cfa0f0","14"
