"text","description","id","label","name","instanceType","uuid:ID"
"All eligibility criteria met","Eligibilty","Condition_1","Eligibilty","COND1","Condition","398994b6-4179-4fc9-9847-7d77800e8262"
"Stopped once bedside PG is <60 mg/dL","Condition 1","Condition_2","","COND2","Condition","274ed959-8b57-4ec7-be96-e635e34fe678"
"5 minutes after bedside PG reaches <60 mg/dL and insulin infusion is stopped.","Condition 2","Condition_3","","COND3","Condition","bb213e41-a945-4bb9-a46b-e28e3144cd15"
"Injection-site assessment for IMG only.","Injection site assessment only required for IMG","Condition_4","Injection site assessment","COND4","Condition","df7d2c14-520a-453c-bfbb-adac9526a7f5"
"At periods 1 and 2 pts should have fasted at least 8 hoours before any study procedures","Fasted","Condition_5","","COND5","Condition","d2651c8f-c7e2-4bc6-91a0-4aa318834a18"
"Only females of childbearing potential","Childbearig potential","Condition_6","","COND6","Condition","d55710c8-8333-4ed4-84b2-97623f8b11c8"
"Only Females when needed to confirm postmenopausal status","Females","Condition_7","","COND7","Condition","88658633-fbfb-4585-b0d1-dd9f78a2d712"
"Admission can be rescheduled if PG level is not 90 to 250 mg/dL on Day 1.","Patient admission PG level critieria","Condition_8","Admission","COND8","Condition","dd06aa44-32d5-41a1-b958-b523f60017c5"
"Patient may be discharged 6 hours after glucagon administration. A patient may remain inpatient at the CRU at the discretion of the investigator.","Patient discharge critieria","Condition_9","Discharge","COND9","Condition","f07428d7-4322-4a61-bd6c-6b9f4036502f"
"After screening, medical assessment only performed to include medical review and targeted examination, as appropriate.","Scope of patient physical examination","Condition_10","Physical Examination","COND10","Condition","8b4a9c8c-e96e-4a06-8fd8-c53edb3b709f"
"Review patients’ insulin regimens to confirm acceptability to undergo the procedure to induce hypoglycemia.","Ability of patient to undergo hypoglycemia induction","Condition_11","Hypoglycemia induction check","COND11","Condition","31c6cfd3-ddb0-4459-bc0c-183d46fe9c6e"
"After completion of all PK sampling, patients will be provided a carbohydrate-rich meal. The investigator will ensure the patient’s PG is stable. A prandial insulin dose will be administered if needed.","Provision of carbohydrate-rich meal.","Condition_12","Carbohydrate-rich meal.","COND12","Condition","18c3c366-4ffb-4c6a-b702-1dab3a6cfee4"
"Procedures in Period 2 will occur at approximately the same time as those in Period 1. Insulin infusion is stopped once bedside PG is <60 mg/dL.","Timing of insulin infusion","Condition_13","Timing of insulin infusion","COND13","Condition","2a841e8e-0a0c-4030-8b0c-f95bfe0072f8"
"Patients do not need to fast for samples at screening or follow-up. At Periods 1 and 2, samples should be collected from patients who have fasted at least 8 hours before any study procedures.","Patient fasting for labs tests","Condition_14","Patient fasting","COND14","Condition","8844d150-4557-40de-a5b8-b8aec1fb296e"
"Serum pregnancy test will be performed at screening. Urine pregnancy test will be performed at every admission period and follow-up visit if applicable.","Type of pregnancy tests","Condition_15","Pregnancy tests","COND15","Condition","e02cae25-4072-4e15-8290-730730fb9795"
"When needed to confirm postmenopausal status.","FSH testing","Condition_16","FSH testing","COND16","Condition","0aacccae-d20f-41f6-a6d2-5a4119630cba"
"Additional tests can be done at the discretion of the investigator.","Ethanol testing","Condition_17","Ethanol testing","COND17","Condition","4f605569-ba77-4638-a634-8909e262072d"
"Single sample for pharmacogenetic analysis taken prior to/on Period 1 Day -1.","Genetic sampling","Condition_18","Genetic sampling","COND18","Condition","b8df263c-2408-43ee-a336-724b8ceb9847"
"In the event of drug hypersensitivity reactions (immediate or non-immediate), samples will be collected as close to event onset as possible, at event resolution, and 30 days following the event. Patients with TE ADA at follow-up/ED will undergo additional follow-up.","Drug reactions","Condition_19","Drug reactions","COND19","Condition","eff48d9d-d770-4fc9-8ea6-2c2da222d06a"
"Nasal inspection both for IMG and LY900018.","Nasal site inspection","Condition_20","Nasal site inspection","COND20","Condition","5c133666-8a4d-46ca-a753-08038d43031e"
"Time points may be added for Period 1 and Period 2 if warranted and agreed upon between Lilly and the investigator. Predose time point will be between insulin infusion stop and study treatment.","Triplicate 12-Lead ECG","Condition_21","Triplicate 12-Lead ECG","COND21","Condition","111d6b7a-8117-4cfd-a751-e243e0053900"
"Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.","PK (Glucagon)","Condition_22","PK (Glucagon)","COND22","Condition","5f3798cf-3ad7-4291-9dd0-8fce9f738e47"
"Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.","Plasma Glucose","Condition_23","Plasma Glucose","COND23","Condition","9ec3b68e-0482-483e-a0d8-59df011cf8ec"
"Sampling times are relative to the time of study treatment administration (0 min). Questionnaire will be collected in both LY900018 and IMG treatment groups in both periods.","Nasal and Non-Nasal Score","Condition_24","Nasal and Non-Nasal Score","COND24","Condition","35fdf7f8-6c7e-40c1-9a17-0ff2ef3c8875"
"Sampling times are relative to the time of study treatment administration (0 min). During hypoglycemia induction will be when PG ≤75 mg/dL. Predose time point will be between insulin infusion stop and study treatment.","Edinburgh Scale","Condition_25","Edinburgh Scale","COND25","Condition","7eb7cf02-c561-4c2d-8029-30f567215771"
