"instanceType","uuid:ID","id","reference","synonyms","name","label"
"BiomedicalConcept","0b5f75c9-4128-4b56-b092-c53606152666","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature","Body Temperature"
"BiomedicalConcept","edeeb517-7d23-4909-9aca-b7f1811b4c7a","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight","Body Weight"
"BiomedicalConcept","e8fd653d-85e8-40a4-a60e-08adc970d2db","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height","Body Height"
"BiomedicalConcept","54fd0561-6b45-4f87-9133-eb208d62ed12","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"BiomedicalConcept","06623cb8-542a-4e0d-83b8-841adc5c2f4e","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","Albumin Measurement"
"BiomedicalConcept","6a7e86de-7492-4c1d-8ad7-d37a59d1618e","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"BiomedicalConcept","de8d6f30-3c1c-474a-9ce7-3935f7f7a3a7","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","c43f5869-0628-48ab-81a1-f0971f6f9dc1","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","Creatinine Measurement"
"BiomedicalConcept","4e095196-8182-43db-aec9-4a943858d5f7","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","Potassium Measurement"
"BiomedicalConcept","c3690938-a5c4-4659-83ee-bd051b02bb27","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement"
"BiomedicalConcept","d0442b8f-0f47-4366-8232-9a4f73b1f2d0","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","Adverse Event","Adverse Event"
"BiomedicalConcept","0d704cae-fcfe-43c7-aed9-5844c42e9aa5","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure"
"BiomedicalConcept","14590c5e-3b60-4044-8d68-3d22a8981f61","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure"
"BiomedicalConcept","767f19e4-73c8-46a9-9d7a-1e34e14b84b1","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature","Body Temperature"
"BiomedicalConcept","4ea9ccda-690b-4faf-bd3c-a61a2aeae18f","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight","Body Weight"
