"uuid:ID","sectionNumber","id","sectionTitle","text","name","instanceType"
"4582cc26-4f9c-4567-b6d6-d0f0db1bef86","0","NarrativeContent_1","Root","","ROOT","NarrativeContent"
"a7373666-e959-4be1-b722-ec3d25e777d2","0","NarrativeContent_2","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","NarrativeContent"
"f9a5978d-ac6c-4052-a7d5-021936d66a48","1","NarrativeContent_3","PROTOCOL SUMMARY","<div></div>","SECTION 1","NarrativeContent"
"646a059c-c936-4120-80a9-057848cd8264","1.1","NarrativeContent_4","Protocol Synopsis","<div></div>","SECTION 1.1","NarrativeContent"
"09876895-e536-4877-baac-ea3ccc697ede","1.2","NarrativeContent_5","Trial Schema","<div></div>","SECTION 1.2","NarrativeContent"
"1493c4d7-f6b6-4efc-a9bd-0742903eb6c1","1.3","NarrativeContent_6","Schedule of Activities","<div></div>","SECTION 1.3","NarrativeContent"
"24568919-ec24-4a1d-84d0-52fbacd4d416","2","NarrativeContent_7","INTRODUCTION","<div></div>","SECTION 2","NarrativeContent"
"86da0d47-d862-4f5d-b2ba-10a83c2e29b0","2.1","NarrativeContent_8","Purpose of Trial","<div></div>","SECTION 2.1","NarrativeContent"
"191bd956-52bd-4785-8299-8e2bedf85d0f","2.2","NarrativeContent_9","Summary of Benefits and Risks","<div></div>","SECTION 2.2","NarrativeContent"
"4cd6c5af-17a8-4b30-81ad-d91da07a5662","3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","SECTION 3","NarrativeContent"
"3a9b3d01-b6c1-4519-a673-a76f4f6ce435","3.1","NarrativeContent_11","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","NarrativeContent"
"b95a10a9-c71b-4e28-a534-e4a587b448e5","4","NarrativeContent_12","TRIAL DESIGN","<div></div>","SECTION 4","NarrativeContent"
"a7d9a122-5090-4537-a461-5314ec8daa15","4.1","NarrativeContent_13","Description of Trial Design","<div></div>","SECTION 4.1","NarrativeContent"
"6170d750-d186-4d21-9d4c-d59824a56b96","4.1.1","NarrativeContent_14","Participant Input into Design","<div></div>","SECTION 4.1.1","NarrativeContent"
"cf04fce5-c618-48a1-bc1d-79765d90a920","4.2","NarrativeContent_15","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","NarrativeContent"
