"uuid:ID","id","codeSystem","codeSystemVersion","code","decode","instanceType"
"2fcc7eff-9964-4eb4-ae3f-3fcece7645c2","Code_1","http://www.cdisc.org","2023-09-29","C98388","Interventional Study","Code"
"54a4ba75-eed6-4e3d-8457-baf3c2a03c22","Code_2","http://www.cdisc.org","2023-09-29","C15601","Phase II Trial","Code"
"861e31bf-1c26-4f29-a210-2b524babfa07","Code_9","http://www.cdisc.org","2023-09-29","C132352","Sponsor Approval Date","Code"
"b770dce0-13bc-4adc-82c3-bdcf1adac463","Code_10","http://www.cdisc.org","2023-09-29","C68846","Global","Code"
"e4094d22-1596-4348-8334-c480d16ba359","Code_72","http://www.cdisc.org","2023-09-29","C99904x3","IRB/IEC Feedback","Code"
"b2f74515-a5b9-45bb-a8ef-5da3158d7c7b","Code_73","http://www.cdisc.org","2023-09-29","C17649","Other","Code"
"896a61b2-81f6-43f0-a1ad-f3bde4a217e3","Code_75","http://www.cdisc.org","2023-09-29","C41129","Region","Code"
"8802ccb8-a87d-41e0-afc5-85d716b31e4b","Code_74","ISO 3166 1 alpha3","2020-08","150","Europe","Code"
"6319f5fe-e734-498f-b28e-81e4b855add1","Code_4","SPONSOR","12","PHARMA","Eli Lilly","Code"
"c8006ff4-3b24-44a6-ba80-c6c4a15cc98b","Code_76","http://www.cdisc.org","2023-09-29","C70793","Clinical Study Sponsor","Code"
"24456297-0c41-4de7-a82c-ba3eb76b0242","Code_77","ISO 3166 1 alpha3","2020-08","DNK","Denmark","Code"
"5de07129-9624-44f7-9651-698ecf2214b9","Code_78","http://www.cdisc.org","2023-09-29","C93453","Study Registry","Code"
"60ca077a-be51-4ec2-b4e8-a0adac3510e7","Code_136","http://www.cdisc.org","2023-09-29","C49656","Treatment Study","Code"
"3f9a3be7-1f04-4acc-801d-c681397cae25","Code_137","http://www.cdisc.org","2023-09-29","C49666","Efficacy Study","Code"
"d57e8baa-6d25-4669-ab41-cfbd14f200ce","Code_138","http://www.cdisc.org","2023-09-29","C49667","Safety Study","Code"
