"uuid:ID","id","text","name","instanceType"
"9e521a85-8d14-4f9c-98d4-a134c9eb2aa7","TransitionRule_1","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule"
"59cb3849-af3b-4119-8788-59a709cf9378","TransitionRule_2","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule"
"4df70e86-ef4e-4b67-99fc-b5857b71ee54","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule"
"07978e2b-7923-4973-95c5-983056a40200","TransitionRule_4","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule"
"06ddff12-c31d-46b1-bcdd-3f44d1e64be7","TransitionRule_5","Radomized","ENCOUNTER_START_RULE_3","TransitionRule"
"2f87d89d-eb98-471c-8776-54fca8fcb37e","TransitionRule_6","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule"
"d1e2fdfb-4e5f-4f87-ac3d-a8770ccbab50","TransitionRule_7","Informed consent","ELEMENT_START_RULE_1","TransitionRule"
"7c6bd7aa-dae4-42ca-baec-83fe55007d00","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule"
"e31a0e9a-c00d-489d-8e4f-1c75e3c91f4a","TransitionRule_9","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule"
"63a5953f-411c-4d9f-8381-b8c051a72a72","TransitionRule_14","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule"
"6ceb28b4-0f81-4c1e-ad8c-3e31ae5225a1","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule"
"71db4bb2-a7c8-42f3-9c88-381852ef1a69","TransitionRule_10","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule"
"166655bc-4a95-465a-85d6-a77e6bb6f644","TransitionRule_11","Randomized","ELEMENT_START_RULE_4","TransitionRule"
"cd5a70b6-71f0-42f9-b395-46a9a654616f","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule"
"10572e9a-760d-4061-8303-ba817e61aec1","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule"
