"uuid:ID","description","id","label","name","instanceType"
"759e2e57-5058-456c-a0ea-dc5667e81d17","Screening encounter","Encounter_1","Screening 1","E1","Encounter"
"fa5ffc29-0c88-4a82-8a69-2a314a3af0b7","Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2","E2","Encounter"
"dd5af09c-bed9-469e-b642-af0028f57046","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline","E3","Encounter"
"e5a877f8-9728-47d3-b1ba-9395fffc9180","Day 14","Encounter_4","Week 2","E4","Encounter"
"2c76b605-7c19-48f0-ab44-ae58c4e8d208","Day 28","Encounter_5","Week 4","E5","Encounter"
"aa548a17-27e4-418f-956c-03c4e5b5eddb","Day 42","Encounter_6","Week 6","E7","Encounter"
"84a925a2-dea0-4409-b41f-f1ac4f8688c0","Day 56","Encounter_7","Week 8","E8","Encounter"
"ac7a1e34-3577-42da-8b52-9a5f61bdbd36","Day 84","Encounter_8","Week 12","E9","Encounter"
"b72dbd3a-3e35-490b-a2f6-2c980b070160","Day 112","Encounter_9","Week 16","E10","Encounter"
"d40950b8-4ee5-4042-81bb-67d7e3bcbe15","Day 140","Encounter_10","Week 20","E11","Encounter"
"6d7073ac-43b0-4ee9-a780-f08ded7f0fc1","Day 168","Encounter_11","Week 24","E12","Encounter"
"b67f5bb7-b919-4fa7-b2d1-e8958e927f5a","Day 182","Encounter_12","Week 26","E13","Encounter"
