"instanceType","description","label","uuid:ID","id","name"
"Activity","","Informed consent","fa04b74d-7e29-4ea7-bb57-0d79acaae8a7","Activity_1","Informed consent"
"Activity","","Inclusion and exclusion criteria","ce815664-a7dc-4133-ace9-37ed04d1d123","Activity_2","Inclusion/exclusion criteria"
"Activity","","Patient number assigned","e4308caf-590d-4c3e-b91e-b0ad3a9bada7","Activity_3","Patient number assigned"
"Activity","","Demographics","e6f03195-95a1-4d72-b514-52c2b5dc501d","Activity_4","Demographics"
"Activity","","Hachinski Ischemic Scale","938abe94-8974-4431-b631-7f0fd06d593e","Activity_5","Hachinski"
"Activity","","MMSE","2d444d80-5ec3-414c-b141-599cb0e19e08","Activity_6","MMSE"
"Activity","","Physical examination","21132fe6-cc78-416e-af44-b7a340cd3381","Activity_7","Physical examination"
"Activity","","Medical history","875e8e1b-8770-4ae8-9000-12e19c81542b","Activity_8","Medical history"
"Activity","","Habits","6c1030be-e43e-4ff2-9144-61b0d9f3b5d2","Activity_9","Habits"
"Activity","","Chest X-ray","6934eee8-a9a3-4b06-967a-e664f6b096d1","Activity_10","Chest X-ray"
"Activity","","Apo E genotyping","bb2aef69-8fd9-43ca-a536-7f8d80b7e5e1","Activity_11","Apo E genotyping"
"Activity","","Patient randomised","82310779-6d5e-4ba1-9f5e-8c9c46f8759b","Activity_12","Patient randomised"
"Activity","","Vital Signs and Temperature","a076ad26-7c68-4a46-978d-df7f39043924","Activity_13","Vital signs / Temperature"
"Activity","","Ambulatory ECG placed","ca686b84-618d-4b4f-90a7-85b230297268","Activity_14","Ambulatory ECG placed"
"Activity","","Ambulatory ECG removed","08d78a28-08fe-4ef2-9bb5-9528902d1dbd","Activity_15","Ambulatory ECG removed"
"Activity","","ECG","b64266fe-8542-4927-95c4-3b945ef9cac6","Activity_16","ECG"
"Activity","","Placebo TTS test","f360b651-6109-4c8a-a71a-13d5db3c5e51","Activity_17","Placebo TTS test"
"Activity","","CT scan","52484530-9d45-415f-a927-08835a235ee9","Activity_18","CT scan"
"Activity","","Concomitant medications","e9371f90-34e5-4b85-9df9-d4e3ac7cf1f6","Activity_19","Concomitant medications"
"Activity","","Hematology","638dd811-5c08-4ed9-b696-2e49ce2a6b55","Activity_20","Hematology"
"Activity","","Chemistry","a61fb390-f51f-4435-9614-2458749b723b","Activity_21","Chemistry"
"Activity","","Uninalysis","a890bf07-cac5-4f68-bd7c-ea6051d1bd0b","Activity_22","Uninalysis"
"Activity","","Plasma Specimen (Xanomeline)","58c681c1-aab1-4437-923d-e8e26d3244ca","Activity_23","Plasma Specimen (Xanomeline)"
"Activity","","Hemoglobin A1C","b1e8a0df-137e-44ba-bbb2-8ea13aaa469b","Activity_24","Hemoglobin A1C"
"Activity","","Study drug record , Medications dispensed, Medications returned","c8d8bba2-578c-4feb-b6f3-e4e5f2ed210d","Activity_25","Study drug"
"Activity","","TTS Acceptability Survey","ba7deacc-6677-41cf-893c-5b17d158dcba","Activity_26","TTS Acceptability Survey"
"Activity","","ADAS-Cog","4c734756-7439-419e-a9f7-bcff64694ce7","Activity_27","ADAS-Cog"
"Activity","","CIBIC+","c26f782e-8a72-4f45-a39b-669be4049032","Activity_28","CIBIC+"
"Activity","","DAD","4611e733-24fd-46fd-acad-73cc88a43cf4","Activity_29","DAD"
"Activity","","NPI-X","71aed444-0ea0-4e3e-84f6-88bd9f2c3767","Activity_30","NPI-X"
"Activity","","Adverse events","00d05368-7084-4be1-a934-c5d92d10efd8","Activity_31","Adverse events"
"Activity","","Check adverse events","7b5146aa-2764-4285-ae57-a96e5fc83e5c","Activity_32","Check adverse events"
"Activity","","Subject supine","0894d242-c122-4af9-b925-3c6cc9acdb0c","Activity_33","Supine"
"Activity","","Vital signs while supine","955e6401-d679-46a0-aec4-694d9df709c4","Activity_34","Vital Signs Supine"
"Activity","","Subject Standing","bdd4b9e4-6811-4b4d-baf1-696dbb36f3e6","Activity_35","Stand"
"Activity","","Vital signs while standing","f2795fa8-af7b-4f1d-9a5b-70cb35dcb532","Activity_36","Vital Signs Standing"
