"instanceType","label","uuid:ID","reference","synonyms","id","name"
"BiomedicalConcept","Informed Consent Obtained","94c52b15-1249-4b86-843b-6fd4449f2482","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","Informed Consent Obtained"
"BiomedicalConcept","Sex","4b039a52-8e70-449f-9ab1-70324665b61e","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept_21","Sex"
"BiomedicalConcept","Race","7fc1994e-b896-476f-83a3-3b92edf06c25","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept_22","Race"
"BiomedicalConcept","Temperature","7e675070-57eb-4645-866f-62038ff0cc18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_23","Temperature"
"BiomedicalConcept","Weight","9f6aacdc-720b-44a4-8f90-d97f9fb8176d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_24","Weight"
"BiomedicalConcept","Height","899e066e-5bec-40b6-b71b-e6ac0396e903","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_25","Height"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","0bedd97d-c185-4840-a108-66bd1ab25f76","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","Albumin Presence in Urine","1ed2c825-ae98-4b5e-b1fc-14375e35a637","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","Albumin Presence in Urine"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","01038d23-ac4d-40bb-a278-35bc5ed534b1","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","dbc58ed9-60d8-4797-9f6d-f34ce3e8db9a","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","Creatinine Concentration in Urine","7f207aab-6d52-4151-963f-139b47ca9349","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","Creatinine Concentration in Urine"
"BiomedicalConcept","Potassium Concentration in Urine","7df79674-f76d-4988-9897-eb058035b2e0","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","Potassium Concentration in Urine"
"BiomedicalConcept","Sodium Concentration in Urine","3912e246-4580-4a07-800b-2e51dea08118","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","Sodium Concentration in Urine"
