"instanceType","description","label","uuid:ID","id","name"
"ScheduledActivityInstance","-","Screen One","a715118c-2977-4575-8ca3-88a17e8221e1","ScheduledActivityInstance_9","SCREEN1"
"ScheduledActivityInstance","-","Screen Two","688988c6-a02a-43db-bfcc-62fc5e85050e","ScheduledActivityInstance_10","SCREEN2"
"ScheduledActivityInstance","-","Dose","428c0387-e921-4e36-8bc6-953af583de31","ScheduledActivityInstance_11","DOSE"
"ScheduledActivityInstance","-","Week 2","ac634d58-d5ba-4921-861e-786f46b41b05","ScheduledActivityInstance_12","WK2"
"ScheduledActivityInstance","-","Week 4","90b2ea52-4be0-4469-9d6c-a5f58ef9086b","ScheduledActivityInstance_13","WK4"
"ScheduledActivityInstance","-","Week 6","09f7bcc8-7f79-454d-8ba3-598211ee83bc","ScheduledActivityInstance_14","WK6"
"ScheduledActivityInstance","-","Week 8","762d0aa2-dce2-46a8-9f81-35c6c9a7af76","ScheduledActivityInstance_15","WK8"
"ScheduledActivityInstance","-","Week NPI","cdf5abba-3729-45f3-8850-ff711387d6b1","ScheduledActivityInstance_16","WK8N"
"ScheduledActivityInstance","-","Week 12","7bbacb14-90e3-405f-9258-eef4f702e1de","ScheduledActivityInstance_17","WK12"
"ScheduledActivityInstance","-","Week 12 NPI","22b04ec9-819a-433e-aae8-19e3438894d0","ScheduledActivityInstance_18","WK12N"
"ScheduledActivityInstance","-","Week 16","44f2b6b4-d30b-410c-bd84-462db503fae3","ScheduledActivityInstance_19","WK16"
"ScheduledActivityInstance","-","Week 16 NPI","7eb3c4a9-ac65-485a-b3f4-f307240b5ff0","ScheduledActivityInstance_20","WK16N"
"ScheduledActivityInstance","-","Week 20","6e6a4605-550a-4a90-aa7a-7bb2b6223bc6","ScheduledActivityInstance_21","WK20"
"ScheduledActivityInstance","-","Week 20 NPI","73d36624-01e5-4973-a8f1-1a685269aa43","ScheduledActivityInstance_22","WK20N"
"ScheduledActivityInstance","-","Week 24","afc25bc7-8b0d-4583-8b17-06350ac935d5","ScheduledActivityInstance_23","WK24"
"ScheduledActivityInstance","-","Week 26","31e75eec-a4c3-48c9-95f1-537c15b63259","ScheduledActivityInstance_24","WK26"
"ScheduledActivityInstance","-","Adevers Event","0c21c528-9f49-435b-9e5a-26332d10e815","ScheduledActivityInstance_1","AE"
"ScheduledActivityInstance","-","Early Termination","ffe6cd65-4081-4887-9ee0-c6d0c4034d8d","ScheduledActivityInstance_2","ET"
"ScheduledActivityInstance","","5 minute supine","57c6ca0b-377f-4fe2-ad53-6e8d5b1cd53f","ScheduledActivityInstance_3","VS_5MIN"
"ScheduledActivityInstance","","Vital signs supine","7f81e8a8-0555-4336-af56-2f0a6a15bccc","ScheduledActivityInstance_4","VS_SUPINE"
"ScheduledActivityInstance","","1 minute standing","babf2786-53cf-4457-a98e-0f16ad21a0db","ScheduledActivityInstance_5","VS_1MIN"
"ScheduledActivityInstance","","Vital signs after 1 min standing","10454c92-a00b-4fe2-bb90-8e703f4a7d99","ScheduledActivityInstance_6","VS_STAND1"
"ScheduledActivityInstance","","2 minute standing","496ea6e3-80b1-4fad-8be4-d4dda02c3854","ScheduledActivityInstance_7","VS_2MIN"
"ScheduledActivityInstance","","Vital signs after 3 min standing","da56b742-2213-41b7-842e-24ef42fbb974","ScheduledActivityInstance_8","VS_STAND3"
