"windowLabel","instanceType","windowLower","description","label","valueLabel","uuid:ID","value","windowUpper","id","name"
"","Timing","","Screening timing","Screening","2 weeks","b1940dbf-c62a-42c0-a42d-02274d2a077f","P2W","","Timing_1","TIM1"
"-4..0 hours","Timing","PT4H","Pre dose timing","Pre dose","2 days","4f3e15ab-1e33-4274-af9e-d6f2744f2cba","P2D","PT0H","Timing_2","TIM2"
"","Timing","","Dosing anchor","Dosing","1 Day","3c4a1151-4767-4056-88d2-6e7c8bcdc6d1","P1D","","Timing_3","TIM3"
"-3..3 days","Timing","P3D","Week 2 timing","Week 2","2 Weeks","072417b1-65d9-4392-ae4b-087e54a7d088","P2W","P3D","Timing_4","TIM4"
"-3..3 days","Timing","P3D","Week 4 timing","Week 4","4 Weeks","d4b93d47-e4f6-4ff9-a4e7-7b4de34d5557","P4W","P3D","Timing_5","TIM5"
"-3..3 days","Timing","P3D","Week 6 timing","Week 6","6 Weeks","a47688f6-07f7-4ad2-bd12-11b347f36e04","P6W","P3D","Timing_6","TIM6"
"-3..3 days","Timing","P3D","Week 8 timing","Week 8","8 Weeks","b2e2fe9f-bb05-40d8-9813-d51f243dbf2c","P8W","P3D","Timing_7","TIM7"
"-4..4 days","Timing","P4D","Week 12 timing","Week 12","12 Weeks","cd05899b-d16a-41bd-8e72-682389289efa","P12W","P4D","Timing_9","TIM9"
"-4..4 days","Timing","P4D","Week 16 timing","Week 16","16 Weeks","e05ba262-ef8f-4111-a5c6-a18cd574d9a3","P16W","P4D","Timing_11","TIM11"
"-4..4 days","Timing","P4D","Week 20 timing","Week 20","20 Weeks","a6208ce5-9206-4d2e-ab51-7ab71399ba54","P20W","P4D","Timing_13","TIM13"
"-4..4 days","Timing","P4D","Week 24 timing","Week 24","24 Weeks","10f09f75-a07f-4833-91e8-0b0f0fcac260","P24W","P4D","Timing_15","TIM15"
"-3..3 days","Timing","P3D","Week 26 timing","Week 26","26 Weeks","bb7d3e1e-99c8-4343-849a-0ea9366f3544","P26W","P3D","Timing_16","TIM16"
"","Timing","","Week 8 at home timing","Week 8 Home","2 Weeks","8b4b14cf-2131-472f-8a34-85d506bb3c86","P2W","","Timing_8","TIM8"
"","Timing","","Week 12 at home timing","Week 12 Home","2 Weeks","d1686900-7e76-4423-88cf-737cd38f2049","P2W","","Timing_10","TIM10"
"","Timing","","Week 16 at home timing","Week 16 Home","2 Weeks","7efa6367-7726-4060-ae13-a23f3cfbd50f","P2W","","Timing_12","TIM12"
"","Timing","","Week 20 at home timing","Week 20 Home","2 Weeks","7198400b-1655-4529-9d09-8020f7404612","P2W","","Timing_14","TIM14"
"","Timing","","Adverse Event","Adverse Event","1 Day","abcaf15f-a3e8-4093-acaa-6da123211e1b","P1D","","Timing_17","TIM17"
"","Timing","","Early Termination","Early Termination","1 Day","9a227337-b3bc-4475-afe2-82e9c0759aed","P1D","","Timing_18","TIM18"
"","Timing","","Supine","Supine","0 mins","f45ea8ab-fcdf-4ee3-9a3c-35b63cf91e1e","PT0M","","Timing_19","TIM19"
"","Timing","","VS while supine","VS while supine","5 mins","c55ca052-5dbc-4642-b788-b4f6d76d4bb2","PT5M","","Timing_20","TIM20"
"","Timing","","Standing","Standing","0 min","ea39b21d-1e4b-499c-acf4-d5baa288795f","PT0M","","Timing_21","TIM21"
"","Timing","","VS while standing","VS while standing","1 min","1c383647-d75a-4713-8719-0e4de046e008","PT1M","","Timing_22","TIM22"
"","Timing","","Standing","Standing","0 min","f7bf318a-cd5a-4935-bb27-ad7c582da6a0","PT0M","","Timing_23","TIM23"
"","Timing","","VS while standing","VS while standing","2 min","3e4ab620-1cb0-4a96-8704-495dee6d8bfa","PT2M","","Timing_24","TIM24"
