"instanceType","uuid:ID","text","id","name"
"TransitionRule","eceb9208-27d9-4227-a86f-1b04498c4d53","Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1"
"TransitionRule","7b9ecb69-c4de-458f-b995-353866384221","completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1"
"TransitionRule","87fe1ea5-0ba7-4287-85c1-1bf5f76f54dd","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2"
"TransitionRule","53f565d9-b2a0-48c3-bb09-fb38d55ed346","subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3"
"TransitionRule","18f2fc32-63c9-49f8-b19b-a514f886ef2f","Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3"
"TransitionRule","95defa99-01a1-4945-86c2-18e52af8b200","End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12"
"TransitionRule","7a4936ce-4a73-4835-9d29-d62fc6ea566a","Informed consent","TransitionRule_7","ELEMENT_START_RULE_1"
"TransitionRule","f91d45c8-feec-4b28-a85d-592274eaca08","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1"
"TransitionRule","83f8bc3b-af30-4061-a2d1-35526b6d6813","Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2"
"TransitionRule","5b687f7a-cc19-4e2a-add4-f054887b9a1d","End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7"
"TransitionRule","c702d754-95ad-4bd5-ab7e-43839801b703","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7"
"TransitionRule","0b4069b0-c130-42bb-b6f0-c385b864fdb3","Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3"
"TransitionRule","ce038814-139a-4093-8749-cc5185e46613","Randomized","TransitionRule_11","ELEMENT_START_RULE_4"
"TransitionRule","5c65d237-8fbb-4727-934e-a10a0866351b","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5"
"TransitionRule","a554159b-e1d6-4384-b6ac-32c6d5daf69c","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6"
