"instanceType","description","label","uuid:ID","id","name"
"Encounter","Screening encounter","Screening 1","3ce4b67e-55d6-4fde-9895-0a700481b9fd","Encounter_1","E1"
"Encounter","Screening encounter - Ambulatory ECG Placement","Screening 2","64db3b09-6a29-4343-a48e-c3c846ce4ee3","Encounter_2","E2"
"Encounter","Baseline encounter - Ambulatory ECG Removal","Baseline","29faa1d4-9237-4699-9e23-c31ea5a7d805","Encounter_3","E3"
"Encounter","Day 14","Week 2","0baab683-62db-44f5-a222-afe81b472902","Encounter_4","E4"
"Encounter","Day 28","Week 4","6a559edf-b90e-4190-ba21-facbf5475541","Encounter_5","E5"
"Encounter","Day 42","Week 6","91442373-98c8-4dcc-a67d-23aa3d5fc44e","Encounter_6","E7"
"Encounter","Day 56","Week 8","c470c7f3-fedc-4949-8273-fe4929221c7c","Encounter_7","E8"
"Encounter","Day 84","Week 12","42ec0e01-8d81-4b70-96f5-040db822b417","Encounter_8","E9"
"Encounter","Day 112","Week 16","ec7f21bc-2ba1-4a5c-921e-3ebc795a2f73","Encounter_9","E10"
"Encounter","Day 140","Week 20","4443cd24-bf76-4762-928d-ea6373460299","Encounter_10","E11"
"Encounter","Day 168","Week 24","8b9e6fd1-47c3-4042-8e9e-5ccf1224e86b","Encounter_11","E12"
"Encounter","Day 182","Week 26","1567c907-16a3-478e-89f8-4b2732f2e096","Encounter_12","E13"
