"instanceType","codeSystem","uuid:ID","codeSystemVersion","code","decode","id"
"Code","http://www.cdisc.org","7d01ebe4-4cdc-4278-ac04-053adef53012","2023-12-15","C98388","Interventional Study","Code_1"
"Code","http://www.cdisc.org","87b15141-e9e0-4355-9e22-28bcab36aa15","2023-12-15","C15601","Phase II Trial","Code_2"
"Code","http://www.cdisc.org","c2fd9294-83b0-4d35-bee5-82512968fb0d","2023-12-15","C132352","Sponsor Approval Date","Code_9"
"Code","http://www.cdisc.org","e556c757-2367-41e5-8f07-7d42b8ccf097","2023-12-15","C68846","Global","Code_10"
"Code","http://www.cdisc.org","ec9bb7c1-231a-4f44-91dd-b2fc4a346550","2023-12-15","C99904x3","IRB/IEC Feedback","Code_72"
"Code","http://www.cdisc.org","a52f77e3-d6d7-463b-b1fe-647a3f3cb3a0","2023-12-15","C17649","Other","Code_73"
"Code","http://www.cdisc.org","3d933330-6c39-4ffe-a78f-c3a32e7f4e76","2023-12-15","C41129","Region","Code_75"
"Code","ISO 3166 1 alpha3","1a3f7ab7-5afb-4217-aade-3123b6ca440c","2020-08","150","Europe","Code_74"
"Code","SPONSOR","e8df1be6-8af1-4973-aebd-7d20106b1497","12","PHARMA","Eli Lilly","Code_4"
"Code","http://www.cdisc.org","1aeb0245-95f3-4e87-bd76-c471276b5710","2023-12-15","C70793","Clinical Study Sponsor","Code_76"
"Code","ISO 3166 1 alpha3","6b308b83-8116-4e78-b51e-0b4b715e6a2f","2020-08","USA","United States of America","Code_77"
"Code","http://www.cdisc.org","fa465edd-23f0-45d2-b32b-c4035e89e2e9","2023-12-15","C93453","Study Registry","Code_78"
"Code","ISO 3166 1 alpha3","ab1f994a-50b4-4395-a842-4cab9e6f413c","2020-08","USA","United States of America","Code_79"
"Code","http://www.cdisc.org","44cd1b87-13b8-41cf-a4ae-a962c462885f","2023-12-15","C49656","Treatment Study","Code_137"
"Code","http://www.cdisc.org","cf386420-cc81-4663-b1ee-d34a7516e218","2023-12-15","C49666","Efficacy Study","Code_138"
"Code","http://www.cdisc.org","c521a4ed-311e-44cd-8e55-e88222ba92f5","2023-12-15","C49667","Safety Study","Code_139"
"Code","http://www.cdisc.org","f46b2119-9fb5-462c-a58e-31aa31fcabfe","2023-12-15","C49663","Pharmacokinetic Study","Code_140"
"Code","SPONSOR","bc3878e6-17f4-401c-97d1-c4ae22948751","12","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code_134"
"Code","SNOMED","5b31f6b9-9d1d-4159-85c1-42123df99014","January 31, 2018","26929004","Alzheimer's disease","Code_135"
"Code","http://www.cdisc.org","cb426c26-6fbd-4e40-a1f3-cdf5e20328bf","2023-12-15","C99907x1","EXTENSION","Code_143"
"Code","http://www.cdisc.org","9a9f73a4-e273-46de-a85a-0eb810c96327","2023-12-15","C98704","ADAPTIVE","Code_144"
"Code","http://www.cdisc.org","90413352-0a67-4244-9c5d-92e76b3ab7d4","2023-12-15","C82639","Parallel Study","Code_141"
"Code","http://www.cdisc.org","75093c92-e052-4d1c-bb80-08b433cdad76","2023-12-15","C25716","Visit","Code_83"
"Code","http://www.cdisc.org","0a7119b5-a6c4-4109-9c9a-e36cd745c493","2023-12-15","C51282","Clinic","Code_84"
"Code","http://www.cdisc.org","b8b9948d-620e-48e7-86ff-f725ade72e66","2023-12-15","C175574","In Person","Code_85"
"Code","http://www.cdisc.org","531b3a41-0cd2-41c1-b359-ef5b533dd4f2","2023-12-15","C25716","Visit","Code_86"
"Code","http://www.cdisc.org","ddd3b6bc-5455-4737-9568-a6ff4cd2cd89","2023-12-15","C51282","Clinic","Code_87"
"Code","http://www.cdisc.org","4ca25bfb-1939-4ef9-832b-8cd12bf88413","2023-12-15","C175574","In Person","Code_88"
"Code","http://www.cdisc.org","e709d334-fd37-4bbf-b771-fddda1b39943","2023-12-15","C25716","Visit","Code_89"
