"instanceType","id","uuid:ID","name","text"
"TransitionRule","TransitionRule_1","568fdefe-29f9-4014-ada6-b2094e3b3640","ELEMENT_START_RULE_1","Study Start"
"TransitionRule","TransitionRule_2","f7705898-f47f-4ae4-8c9d-3f8018a7223e","ELEMENT_END_RULE_1","Day -1 of treatment period 1"
"TransitionRule","TransitionRule_3","d98b3538-b6bd-4135-bb13-e55f2adbab0c","ELEMENT_START_RULE_2","Day -1 of treatment period"
"TransitionRule","TransitionRule_4","da72b206-8f83-4944-b129-74438d8a514c","ELEMENT_END_RULE_2","End of Day 1 of treatment period"
"TransitionRule","TransitionRule_7","5ffdaac7-344c-415e-8fe2-5be140ad7104","ELEMENT_START_RULE_4","End of Day 1 of Treatment period 1"
"TransitionRule","TransitionRule_8","1e51127d-ba1e-4069-b2a2-45b641ea6a1a","ELEMENT_END_RULE_4","Day -1 of treatment period 2"
"TransitionRule","TransitionRule_5","14692234-a07e-47c8-99be-ecb6d6327638","ELEMENT_START_RULE_3","Day -1 of treatment period"
"TransitionRule","TransitionRule_6","9f197d2d-67ac-4d81-9fb9-551ecca50cc4","ELEMENT_END_RULE_3","End of Day 1 of treatment period"
"TransitionRule","TransitionRule_9","5e3b4d8c-ae99-4ec0-955f-3a6156011d19","ELEMENT_START_RULE_5","End of Day 1 of Treatment period 2"
"TransitionRule","TransitionRule_10","d85242e7-2d69-42e0-aad9-e0dd9713eb24","ELEMENT_END_RULE_5","Leave Study"
