"label","synonyms","instanceType","id","uuid:ID","reference","name"
"Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","BiomedicalConcept_2","dcdf01af-7de1-4e61-a097-6efead0b3262","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained"
"Medical History Free Text Format","['Medical History', 'Medical History Collection', 'Solicited Medical History']","BiomedicalConcept","BiomedicalConcept_3","2466ac6a-9b4a-4afb-8048-9552262768af","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/MEDHISTFREE","Medical History Free Text Format"
"Weight","['Weight', 'Body Weight']","BiomedicalConcept","BiomedicalConcept_4","576e364f-9bee-417d-9025-dd3a45b184b0","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"Height","['Height', 'Body Height']","BiomedicalConcept","BiomedicalConcept_5","ab9203f1-1e80-47c5-b8e4-70be5ebdacfb","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"Concomitant Medication Free Text Format","['Concomitant Medication', 'Concomitant Therapy']","BiomedicalConcept","BiomedicalConcept_6","63aa6432-f58e-4034-830d-1d809123bc7d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CMFREE","Concomitant Medication Free Text Format"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","BiomedicalConcept_7","6859dccf-afa0-48b8-ad02-e8399cec55bc","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","BiomedicalConcept_8","3e5ec3f5-6027-4fc9-a0d2-4acf0433e669","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"Pulse","['Pulse', 'Pulse Rate']","BiomedicalConcept","BiomedicalConcept_9","73b68b31-e477-471b-a235-2b89900d6a9b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/PULSE","Pulse"
"Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept","BiomedicalConcept_10","09752575-c4cf-4cf0-b8b4-ee8f993a32d8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"Hematocrit of Blood","['Hematocrit', 'Packed Cell Volume', 'PCV', 'Erythrocyte Volume Fraction', 'EVF', 'Hematocrit Measurement']","BiomedicalConcept","BiomedicalConcept_11","8ae9d52c-e947-41e9-9218-2025d769ffa7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/HCTBLD","Hematocrit of Blood"
"Hemoglobin in Blood by Dipstick","['Hemoglobin', 'HGB', 'Hemoglobin Measurement']","BiomedicalConcept","BiomedicalConcept_12","fec7fa15-f433-4911-8951-d502b1c6a7c2","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/HGBBLDDIP","Hemoglobin in Blood by Dipstick"
"Platelet Count in Blood","['Thrombocytes', 'Platelets', 'Anucleated Thrombocytes', 'Platelet Count']","BiomedicalConcept","BiomedicalConcept_13","533dc3b3-0bb2-4a53-a430-1cb3058ede65","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/PLATBLD","Platelet Count in Blood"
"Neutrophils in Blood","['Neutrophils', 'Total Neutrophil Count', 'NEUT', 'Absolute Neutrophil Count']","BiomedicalConcept","BiomedicalConcept_14","2ee970eb-ca12-4c8e-850c-605ae2353dcf","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/NEUTBLD","Neutrophils in Blood"
"Lymphocyte Count in Blood","['Lymphocytes', 'Lymphocyte Count']","BiomedicalConcept","BiomedicalConcept_15","55e35143-626f-4838-91e9-7d3f784d308d","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/LYMPHBLD","Lymphocyte Count in Blood"
"Monocyte Count in Blood","['Monocytes', 'Monocyte Count']","BiomedicalConcept","BiomedicalConcept_16","1cea3704-4fbc-48df-a09c-1e6518e84a56","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/MONOBLD","Monocyte Count in Blood"
"Eosinophil Count in Blood","['Eosinophils', 'Eosinophil Count']","BiomedicalConcept","BiomedicalConcept_17","b14d78a8-e9a5-4daf-8251-8cd98fcc4b49","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/EOSBLD","Eosinophil Count in Blood"
"Basophil Count in Blood","['Basophils', 'Total Basophil Count', 'Absolute Basophil Count']","BiomedicalConcept","BiomedicalConcept_18","1921bfdd-4cc2-4142-b04e-6ef7be8ae622","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/BASOBLD","Basophil Count in Blood"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","BiomedicalConcept_19","e07cae59-4efa-4f68-b7f6-4bade3d60c94","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","BiomedicalConcept_20","48d7b39c-2e08-49e5-a12c-207d422504ad","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
