"label","instanceType","description","id","uuid:ID","name","text"
"Eligibilty","Condition","Eligibilty","Condition_1","5a4e08bb-2e13-4817-abba-da2d01ab470f","COND1","All eligibility criteria met"
"","Condition","Condition 1","Condition_2","19b2e61f-ceec-476f-9b4b-b1761b3eb008","COND2","Stopped once bedside PG is <60 mg/dL"
"","Condition","Condition 2","Condition_3","89748b11-b771-4e1e-aef4-61ede7b85445","COND3","5 minutes after bedside PG reaches <60 mg/dL and insulin infusion is stopped."
"Injection site assessment","Condition","Injection site assessment only required for IMG","Condition_4","a6317a3f-b07b-4682-9042-7ca7591ea7fc","COND4","Injection-site assessment for IMG only."
"","Condition","Fasted","Condition_5","0f5a5e61-a231-4136-a726-8107da9ae23c","COND5","At periods 1 and 2 pts should have fasted at least 8 hoours before any study procedures"
"","Condition","Childbearig potential","Condition_6","843e13be-9233-4174-9a71-02c11e44b9e1","COND6","Only females of childbearing potential"
"","Condition","Females","Condition_7","093b8865-87f2-42bc-a5f3-321505304f24","COND7","Only Females when needed to confirm postmenopausal status"
"Admission","Condition","Patient admission PG level critieria","Condition_8","5e946f17-0d94-4fce-99c7-71a52d523bb1","COND8","Admission can be rescheduled if PG level is not 90 to 250 mg/dL on Day 1."
"Discharge","Condition","Patient discharge critieria","Condition_9","01b43325-2ae2-460b-a29a-2cd50bc0860e","COND9","Patient may be discharged 6 hours after glucagon administration. A patient may remain inpatient at the CRU at the discretion of the investigator."
"Physical Examination","Condition","Scope of patient physical examination","Condition_10","a62a8cac-00cb-4323-9b32-d8c0b9b126df","COND10","After screening, medical assessment only performed to include medical review and targeted examination, as appropriate."
"Hypoglycemia induction check","Condition","Ability of patient to undergo hypoglycemia induction","Condition_11","669e140b-0bc7-41bf-9e3e-b5a966773df9","COND11","Review patients’ insulin regimens to confirm acceptability to undergo the procedure to induce hypoglycemia."
"Carbohydrate-rich meal.","Condition","Provision of carbohydrate-rich meal.","Condition_12","163ae1be-a36e-49ad-a579-90c05f9f44be","COND12","After completion of all PK sampling, patients will be provided a carbohydrate-rich meal. The investigator will ensure the patient’s PG is stable. A prandial insulin dose will be administered if needed."
"Timing of insulin infusion","Condition","Timing of insulin infusion","Condition_13","0f3cbc29-449f-4a8c-89a9-df21a3cd280c","COND13","Procedures in Period 2 will occur at approximately the same time as those in Period 1. Insulin infusion is stopped once bedside PG is <60 mg/dL."
"Patient fasting","Condition","Patient fasting for labs tests","Condition_14","2c52f151-62c1-40f6-8d46-cc2efc223ad4","COND14","Patients do not need to fast for samples at screening or follow-up. At Periods 1 and 2, samples should be collected from patients who have fasted at least 8 hours before any study procedures."
"Pregnancy tests","Condition","Type of pregnancy tests","Condition_15","5a06dd26-cf47-4c31-8592-1ba0f1f0452f","COND15","Serum pregnancy test will be performed at screening. Urine pregnancy test will be performed at every admission period and follow-up visit if applicable."
"FSH testing","Condition","FSH testing","Condition_16","5d5d611d-5afd-4af0-be7c-1cb2a7f0c865","COND16","When needed to confirm postmenopausal status."
"Ethanol testing","Condition","Ethanol testing","Condition_17","afcf3dd7-4f37-4068-a858-6488634f5c2d","COND17","Additional tests can be done at the discretion of the investigator."
"Genetic sampling","Condition","Genetic sampling","Condition_18","0d329e99-fd87-4920-ac3f-5ac7d29e32d4","COND18","Single sample for pharmacogenetic analysis taken prior to/on Period 1 Day -1."
"Drug reactions","Condition","Drug reactions","Condition_19","bd193b48-bddf-4daa-a5fe-52549291d6ee","COND19","In the event of drug hypersensitivity reactions (immediate or non-immediate), samples will be collected as close to event onset as possible, at event resolution, and 30 days following the event. Patients with TE ADA at follow-up/ED will undergo additional follow-up."
"Nasal site inspection","Condition","Nasal site inspection","Condition_20","f74437d7-8ab1-49dd-99b8-3091d4bd9f36","COND20","Nasal inspection both for IMG and LY900018."
"Triplicate 12-Lead ECG","Condition","Triplicate 12-Lead ECG","Condition_21","3005962a-4370-4e5e-869e-3ce337347839","COND21","Time points may be added for Period 1 and Period 2 if warranted and agreed upon between Lilly and the investigator. Predose time point will be between insulin infusion stop and study treatment."
"PK (Glucagon)","Condition","PK (Glucagon)","Condition_22","b884d215-7a33-4708-9dca-7a1c1cf76852","COND22","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment."
"Plasma Glucose","Condition","Plasma Glucose","Condition_23","27255677-5ede-4b2a-9456-6dccdc5825dd","COND23","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment."
"Nasal and Non-Nasal Score","Condition","Nasal and Non-Nasal Score","Condition_24","7740369c-9e44-4604-985a-31958eccc1a1","COND24","Sampling times are relative to the time of study treatment administration (0 min). Questionnaire will be collected in both LY900018 and IMG treatment groups in both periods."
"Edinburgh Scale","Condition","Edinburgh Scale","Condition_25","fd274594-0309-4e4d-bdad-6315dc5bcfac","COND25","Sampling times are relative to the time of study treatment administration (0 min). During hypoglycemia induction will be when PG ≤75 mg/dL. Predose time point will be between insulin infusion stop and study treatment."
