"label","windowLabel","instanceType","description","windowUpper","windowLower","value","id","valueLabel","uuid:ID","name"
"-28 Days","0..26 Days","Timing","Screening visit timing","P26D","P0D","P28D","Timing_1","28 Days","c14597e9-06da-4d22-ab83-35f9db908558","TIMING_1"
"-1 Day","","Timing","Period 1, Day Minus 1 timing","","","P1D","Timing_2","1 Day","ddaf799e-9dbb-44f4-b4ed-ebfdd535e3ce","TIMING_2"
"Radomisation","","Timing","Period 1, Radomisation timing","","","PT0M","Timing_3","0 mins","4409cfbf-67cf-460d-8776-b8ed6cf90b6f","TIMING_3"
"Pre infusion","","Timing","Period 1, Pre infusion timing","","","PT0M","Timing_4","0 mins","2762e58f-ac88-4b73-b881-a2b0ee1ea5eb","TIMING_4"
"Infusion","","Timing","Period 1, Infusion timing","","","PT0M","Timing_5","0 mins","01fd2a14-32a9-4ee7-b40f-2977fb798e69","TIMING_5"
"Day 1","","Timing","Period 1, Treatment anchor","","","P1D","Timing_6","1 Day","7678ed6f-89e1-4116-ac28-d121a2834029","TIMING_6"
"Discharge","","Timing","Period 1, Discharge timing","","","PT0M","Timing_7","0 mins","3e0c8770-ac26-4340-a0d3-45a57e992acf","TIMING_7"
"Washout","0.. 11 Days","Timing","Washout timing","P11D","P0D","P3D","Timing_8","3 Days","87b5c601-af2a-4850-9a34-048e10fb8f54","TIMING_8"
"-1 Day","","Timing","Period 2, Day Minus 1 timing","","","P0D","Timing_9","0 days","80dc8b39-e46a-4540-afd6-b4c9acfa6842","TIMING_9"
"Pre infusion","","Timing","Period 2, Pre infusion timing","","","P1D","Timing_10","1 Day","5900adcb-0049-45e0-ba45-b9d778bfcc7b","TIMING_10"
"Infusion","","Timing","Period 2, Infusion timing","","","PT0M","Timing_11","0 mins","e4f659ef-de7d-4ad4-9f5a-ef51cb3a7cae","TIMING_11"
"Day 1","","Timing","Period 2, Treatment anchor","","","PT0M","Timing_12","0 mins","d5997ef1-7933-4b8d-b310-5dba926b25b5","TIMING_12"
"Discharge","","Timing","Period 2, Discharge timing","","","PT0M","Timing_13","0 mins","c80c962d-6d95-4608-a24f-e096fd713846","TIMING_13"
"Follow up","2..2 Days","Timing","Follow Up timing","P2D","P2D","P28D","Timing_14","28 Days","c4447726-5950-4391-8324-2a1f71f0cdaa","TIMING_14"
"Additional Follow Up","","Timing","Additional Follow Up timing","","","P1D","Timing_15","1 Day","026ef655-5946-472e-a34c-0afb675fcb05","TIMING_15"
"Pre Hypoglycemia Induction","","Timing","Pre Hypoglycemia Induction timing","","","PT0M","Timing_31","0 mins","1d458843-a3ae-4b81-94f6-ea8c9c9ade45","TIMING_31"
"30 min before","","Timing","30 min before timing","","","PT30M","Timing_32","30 mins","f450e26e-d594-4b4f-b695-a2df21542033","TIMING_32"
"15 min before","","Timing","15 min before timing","","","PT15M","Timing_33","15 mins","01e2614b-d1d6-49ae-a177-f8d7ee6cca08","TIMING_33"
"Hypoglycemia Induction","","Timing","Hypoglycemia Induction timing","","","PT0M","Timing_34","0 mins","436c101b-cca7-4ab1-997f-53106a72da7c","TIMING_34"
"Hypoglycemia Induction finished","","Timing","Hypoglycemia Induction complete timing","","","PT0M","Timing_35","0 mins","96180437-9db6-4349-9431-a019a8c66fd9","TIMING_36"
"Pre Dose","","Timing","Pre Dose timing","","","PT0M","Timing_16","0 mins","02df7f19-1100-4924-a0d1-ea088aac7a80","TIMING_16"
"Dose","","Timing","Dose Timing","","","PT0M","Timing_17","0 mins","908af61d-a85e-4399-8eb0-f7e445171d0c","TIMING_17"
"5 min","","Timing","5 min","","","PT5M","Timing_18","5 min","12c83b2d-7d1c-4be0-a701-0bf37c64feac","TIMING_18"
"10 min","","Timing","10 min","","","PT10M","Timing_19","10 min","154b5055-e395-4a60-9cb8-8633d5239443","TIMING_19"
"15 min","","Timing","15 min","","","PT15M","Timing_20","15 min","6cf20f7a-637a-4a71-bd9f-1d2ef8baed44","TIMING_20"
"20 min","","Timing","20 min","","","PT20M","Timing_21","20 min","1121744f-4df0-4be2-b768-4be345aeb95f","TIMING_21"
"25 min","","Timing","25 min","","","PT25M","Timing_22","25 min","92f7ab59-9a08-4eff-afd2-7588344692b8","TIMING_22"
"30 min","","Timing","30 min","","","PT30M","Timing_23","30 min","0e498335-e025-4cd0-bac5-36a5732e47cb","TIMING_23"
"40 min","","Timing","40 min","","","PT40M","Timing_24","40 min","f90c9f5b-27be-4332-b2d2-377de11b0617","TIMING_24"
"50min","","Timing","50min","","","PT50M","Timing_25","50min","e9757517-5499-4de7-abc2-215cd4d299ca","TIMING_25"
"60min","","Timing","60min","","","PT60M","Timing_26","60min","e1c71fa7-212c-411e-a982-8020bdcdc8d2","TIMING_26"
"90 min","","Timing","90 min","","","PT90M","Timing_27","90 min","c378d162-a45b-4bdd-8f5e-cec3705b7969","TIMING_27"
"120 min","","Timing","120 min","","","PT120M","Timing_28","120 min","d9851e0c-3ccd-4df4-bcca-923c83688d61","TIMING_28"
"240 min","","Timing","240 min","","","PT240M","Timing_29","240 min","777045b0-6839-4e2a-b3f5-a9cb8630d253","TIMING_29"
"Meal","","Timing","Meal Timing","","","PT0M","Timing_30","0 mins","b65f4f19-d876-4f86-8108-9b984260a84f","TIMING_30"
