"id","name","description","label","purpose","text","uuid:ID","instanceType"
"Endpoint_1","END1","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","1c923b0a-298f-42d8-83c7-75fbcc469723","Endpoint"
"Endpoint_2","END2","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","1e8cf47c-94c2-4e7a-aece-89e64d6e472c","Endpoint"
"Endpoint_3","END3","","","","Adverse events","9ede0bee-d380-4d14-9c67-2fc357ed108c","Endpoint"
"Endpoint_4","END4","","","","Vital signs (weight, standing and supine blood pressure, heart rate)","63993716-2e5e-4776-b1b0-a5eea33393cb","Endpoint"
"Endpoint_5","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","","Laboratory evaluations (Change from Baseline)","f3c6ca66-3327-4659-b2c2-adcf65a1c97a","Endpoint"
"Endpoint_6","END6","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","b4b7002f-4c2b-4fb0-820c-64cc842b724c","Endpoint"
"Endpoint_7","END7","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","188a845d-45fa-4a5d-9460-bb03fcca1d07","Endpoint"
"Endpoint_8","END8","","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","30727f01-4b6b-440c-8741-ebebd8d61590","Endpoint"
"Endpoint_9","END9","","","","*** To be determined from protocol ***","ede40cbe-36c8-46c0-af23-86aba5e282ee","Endpoint"
"Endpoint_10","END10","","","","*** To be determined from protocol ***","79fcb956-9387-4927-a731-c6379bc1d91e","Endpoint"
"Endpoint_11","END11","","","","*** To be determined from protocol ***","b8c007ff-b265-4a12-b8b4-a53998b02ef8","Endpoint"
