"id","name","description","label","valueLabel","windowLabel","windowUpper","windowLower","value","uuid:ID","instanceType"
"Timing_1","TIM1","Screening timing","Screening","2 weeks","","","","P2W","e84ca5df-91d8-4901-9dca-36aebeee6af4","Timing"
"Timing_2","TIM2","Pre dose timing","Pre dose","2 days","-4..0 hours","PT0H","PT4H","P2D","ff5500e8-cc9f-44c7-bc70-84bb7e928975","Timing"
"Timing_3","TIM3","Dosing anchor","Dosing","1 Day","","","","P1D","15e4977f-4cb4-4370-8e3b-f6f0ed3e5e2d","Timing"
"Timing_4","TIM4","Week 2 timing","Week 2","2 Weeks","-3..3 days","P3D","P3D","P2W","ff46f2c7-d167-4eac-b286-2ef627c4cec5","Timing"
"Timing_5","TIM5","Week 4 timing","Week 4","4 Weeks","-3..3 days","P3D","P3D","P4W","ba254d69-935c-4363-9a21-e2e07879a226","Timing"
"Timing_6","TIM6","Week 6 timing","Week 6","6 Weeks","-3..3 days","P3D","P3D","P6W","34ab1888-c4ee-4e8f-a023-da9f56cf3cad","Timing"
"Timing_7","TIM7","Week 8 timing","Week 8","8 Weeks","-3..3 days","P3D","P3D","P8W","6aeb4d94-aca7-416a-a391-2459ab896cdf","Timing"
"Timing_9","TIM9","Week 12 timing","Week 12","12 Weeks","-4..4 days","P4D","P4D","P12W","b9b126e2-297b-4264-b36a-65222b43d7af","Timing"
"Timing_11","TIM11","Week 16 timing","Week 16","16 Weeks","-4..4 days","P4D","P4D","P16W","be958d4c-9195-4c53-9e30-41c11a3f5c50","Timing"
"Timing_13","TIM13","Week 20 timing","Week 20","20 Weeks","-4..4 days","P4D","P4D","P20W","1ae5a0ff-a438-48ae-b882-7d5a1b521b90","Timing"
"Timing_15","TIM15","Week 24 timing","Week 24","24 Weeks","-4..4 days","P4D","P4D","P24W","d09c8ef4-2218-459d-8038-0466427c151a","Timing"
"Timing_16","TIM16","Week 26 timing","Week 26","26 Weeks","-3..3 days","P3D","P3D","P26W","83bcac2b-dcec-41b5-92dc-3c7ad071b800","Timing"
"Timing_8","TIM8","Week 8 at home timing","Week 8 Home","2 Weeks","","","","P2W","ce813820-4117-4da2-a41f-d29a1a1b351b","Timing"
"Timing_10","TIM10","Week 12 at home timing","Week 12 Home","2 Weeks","","","","P2W","27634fbc-d224-4a03-bc8d-5a20098daf61","Timing"
"Timing_12","TIM12","Week 16 at home timing","Week 16 Home","2 Weeks","","","","P2W","295b7fb5-a1bb-4d1f-877d-a8c788e35729","Timing"
"Timing_14","TIM14","Week 20 at home timing","Week 20 Home","2 Weeks","","","","P2W","b0a1a0bb-a9b6-4210-9767-bebc301b387a","Timing"
"Timing_17","TIM17","Adverse Event","Adverse Event","1 Day","","","","P1D","671b786f-2847-4a3d-83de-f0652e6ff6bc","Timing"
"Timing_18","TIM18","Early Termination","Early Termination","1 Day","","","","P1D","8fed929a-c16f-42b1-ab5d-b2bab271c345","Timing"
"Timing_19","TIM19","Supine","Supine","0 mins","","","","PT0M","54fd2d99-8f14-4393-a19d-b892528f09d6","Timing"
"Timing_20","TIM20","VS while supine","VS while supine","5 mins","","","","PT5M","9c766d67-348e-4db7-bc89-d18baa7ee884","Timing"
"Timing_21","TIM21","Standing","Standing","0 min","","","","PT0M","8517498f-857f-42b6-abd1-001865d217fc","Timing"
"Timing_22","TIM22","VS while standing","VS while standing","1 min","","","","PT1M","a0007a89-9c0e-461c-93bf-5ab0391ce6d4","Timing"
"Timing_23","TIM23","Standing","Standing","0 min","","","","PT0M","4255ae8d-8a1e-4efb-b49a-5a7422738e9e","Timing"
"Timing_24","TIM24","VS while standing","VS while standing","2 min","","","","PT2M","f23dad78-48a2-4205-9a9c-ec0f370eb200","Timing"
