"id","name","text","uuid:ID","instanceType"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","c4eab762-33fd-4e3f-b90f-ba871705a267","TransitionRule"
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","20a05ea8-f20d-4ff8-9cdf-976510194d36","TransitionRule"
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","2951007f-730c-4e94-b67d-f70624d29bab","TransitionRule"
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","f252fef6-131d-4e22-81fc-f0414752442b","TransitionRule"
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","4f7ba649-3311-4d10-b76d-ba2bd5cf60c1","TransitionRule"
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","15bc587a-05b5-49d9-8e62-cd9afb4c5496","TransitionRule"
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","c8eaebd3-1dbb-4527-bb0d-91f423f3bf1c","TransitionRule"
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","4165868b-ac08-4fa0-9e7c-04d65c8a6d90","TransitionRule"
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","97521687-650c-49b7-a710-2a8f879c8096","TransitionRule"
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","0078b158-819b-426a-936a-b8436fec47c4","TransitionRule"
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","e696ba81-c934-4583-b575-8ef69ac5eccd","TransitionRule"
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","a9db57ef-49cd-4086-81ba-6569e66fea75","TransitionRule"
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","54298c6d-d331-47be-8bcc-faebd53957a1","TransitionRule"
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","2f1ba068-5dbc-47fe-96ba-8f0396984514","TransitionRule"
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","0a2b1e6b-ea6e-44d1-b14e-b71a47073069","TransitionRule"
