"id","codeSystemVersion","decode","code","uuid:ID","codeSystem","instanceType"
"Code_1","2023-12-15","Interventional Study","C98388","f5adab81-893b-48e0-944d-cb30eba953ed","http://www.cdisc.org","Code"
"Code_2","2023-12-15","Phase II Trial","C15601","b514159d-38ae-496a-b17e-d29f8362d562","http://www.cdisc.org","Code"
"Code_9","2023-12-15","Sponsor Approval Date","C132352","408c0544-e138-4255-bcf9-c8500035298b","http://www.cdisc.org","Code"
"Code_10","2023-12-15","Global","C68846","1fe3090a-69ec-413b-8ae7-7612280e71ec","http://www.cdisc.org","Code"
"Code_72","2023-12-15","IRB/IEC Feedback","C99904x3","4f359904-04a4-4346-a112-4082ecd42eac","http://www.cdisc.org","Code"
"Code_73","2023-12-15","Other","C17649","e24f426f-b1d7-4eec-be51-5a46c9fb762b","http://www.cdisc.org","Code"
"Code_75","2023-12-15","Region","C41129","376708f0-8225-4559-b68d-7233897d4eb8","http://www.cdisc.org","Code"
"Code_74","2020-08","Europe","150","53ace2ed-f73c-446f-b8e9-6ebf9f739d1e","ISO 3166 1 alpha3","Code"
"Code_4","12","Eli Lilly","PHARMA","cda0e62b-a57d-46d9-8410-8ba6d99054de","SPONSOR","Code"
"Code_76","2023-12-15","Clinical Study Sponsor","C70793","fd0689b7-c3be-4fa1-9e3a-c02721be2251","http://www.cdisc.org","Code"
"Code_77","2020-08","United States of America","USA","794b9819-3ca2-4385-9835-fb0f788715d3","ISO 3166 1 alpha3","Code"
"Code_78","2023-12-15","Study Registry","C93453","a8d4e51a-cd76-4d60-a50d-ed4fcaf00af5","http://www.cdisc.org","Code"
"Code_79","2020-08","United States of America","USA","bad33a40-6a5b-44fa-9306-ec3392439430","ISO 3166 1 alpha3","Code"
"Code_137","2023-12-15","Treatment Study","C49656","34cdfbba-11d0-4e19-95a1-295a54e27c18","http://www.cdisc.org","Code"
"Code_138","2023-12-15","Efficacy Study","C49666","aa70c51f-15bd-47ec-a306-556bb089a380","http://www.cdisc.org","Code"
"Code_139","2023-12-15","Safety Study","C49667","8b71901d-5e3c-429a-91e8-fbd6f410b7bd","http://www.cdisc.org","Code"
"Code_140","2023-12-15","Pharmacokinetic Study","C49663","c7e5188a-3669-4ae9-8cfc-123906cebcff","http://www.cdisc.org","Code"
"Code_134","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","cf57b288-1e56-4605-b0b1-e455f29ec578","SPONSOR","Code"
"Code_135","January 31, 2018","Alzheimer's disease","26929004","7e7b5b1f-6b16-4e10-94cc-0023dbed17fa","SNOMED","Code"
"Code_143","2023-12-15","EXTENSION","C99907x1","c8817835-b3d0-4850-ba24-440a2961bac3","http://www.cdisc.org","Code"
"Code_144","2023-12-15","ADAPTIVE","C98704","9cda06d4-84f8-4ad2-a6bd-3d4412749219","http://www.cdisc.org","Code"
"Code_141","2023-12-15","Parallel Study","C82639","1f8551cf-b3ec-4a3f-8c11-6e2df05db93c","http://www.cdisc.org","Code"
"Code_83","2023-12-15","Visit","C25716","7fda5440-cb56-489f-bb21-60305382e02b","http://www.cdisc.org","Code"
"Code_84","2023-12-15","Clinic","C51282","e8d6723e-b337-4bf8-94bc-cf507dfbbd35","http://www.cdisc.org","Code"
"Code_85","2023-12-15","In Person","C175574","8a99efc3-1af8-4ffb-af1f-e452eb38851a","http://www.cdisc.org","Code"
"Code_86","2023-12-15","Visit","C25716","8d0556dd-5849-48b5-a43a-610ac1b081fb","http://www.cdisc.org","Code"
"Code_87","2023-12-15","Clinic","C51282","b480575d-9e11-4b19-bef7-3ea8cff3db46","http://www.cdisc.org","Code"
"Code_88","2023-12-15","In Person","C175574","2074ed12-f7cb-4ae1-9ecc-3865b1af2f55","http://www.cdisc.org","Code"
"Code_89","2023-12-15","Visit","C25716","d59a0ff0-5bda-426d-9519-f52e371d6cca","http://www.cdisc.org","Code"
"Code_90","2023-12-15","Clinic","C51282","26a8c427-8775-4ff4-9ebe-8a2af75ea103","http://www.cdisc.org","Code"
"Code_91","2023-12-15","In Person","C175574","8e963fe0-b2b0-4290-9419-317fe11cefb5","http://www.cdisc.org","Code"
"Code_92","2023-12-15","Visit","C25716","7c440f5a-0554-4921-bce7-e778d56edec1","http://www.cdisc.org","Code"
"Code_93","2023-12-15","Clinic","C51282","4b398793-a098-4021-b43e-4220c7fb479a","http://www.cdisc.org","Code"
"Code_94","2023-12-15","In Person","C175574","8827948f-f0c5-4844-8467-991573e4b228","http://www.cdisc.org","Code"
"Code_95","2023-12-15","Visit","C25716","b89fb68c-f180-4fe3-aa36-bd3e06bc15d5","http://www.cdisc.org","Code"
"Code_96","2023-12-15","Clinic","C51282","395e5502-5931-4678-a51d-587d8241d981","http://www.cdisc.org","Code"
"Code_97","2023-12-15","In Person","C175574","97c3bf1f-856f-46f5-9af5-1a6376202429","http://www.cdisc.org","Code"
"Code_98","2023-12-15","Visit","C25716","4115e0b8-166e-4510-876e-320e44837fc5","http://www.cdisc.org","Code"
"Code_99","2023-12-15","Clinic","C51282","afe0ff4f-f6c4-4d97-a8a9-e3c27e8fcb5b","http://www.cdisc.org","Code"
"Code_100","2023-12-15","In Person","C175574","c1b5f20b-1b7b-40d9-a173-bf78f2a4d23c","http://www.cdisc.org","Code"
"Code_101","2023-12-15","Visit","C25716","6529ef05-a59b-478d-8063-257fd4c24400","http://www.cdisc.org","Code"
"Code_102","2023-12-15","Clinic","C51282","e2a53741-2ca6-4189-a72e-d0a92ab38aca","http://www.cdisc.org","Code"
"Code_103","2023-12-15","In Person","C175574","6a470948-bed8-405c-95a7-62a5e775b01b","http://www.cdisc.org","Code"
"Code_104","2023-12-15","Telephone Call","C171537","694eda66-26c3-4762-888f-b1af4d231130","http://www.cdisc.org","Code"
"Code_105","2023-12-15","Visit","C25716","a408d443-9504-4f33-bc36-818e8ce068a0","http://www.cdisc.org","Code"
"Code_106","2023-12-15","Clinic","C51282","3755952b-e585-4b06-95a8-d9a42c5ba382","http://www.cdisc.org","Code"
"Code_107","2023-12-15","In Person","C175574","44eb7983-ac4e-4734-8c43-cb5758376f93","http://www.cdisc.org","Code"
