"id","name","synonyms","label","reference","uuid:ID","instanceType"
"BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","6b51bf2f-bfdd-4fdf-82d1-c25df57b8b09","BiomedicalConcept"
"BiomedicalConcept_21","Sex","","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","f58ca957-486d-467f-a2f5-8633921debfa","BiomedicalConcept"
"BiomedicalConcept_22","Race","['Racial Group']","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","99574a59-f0d4-48e3-9139-290ceee1e445","BiomedicalConcept"
"BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","b7bbdd46-ca2e-43f0-803e-c18d71cf1cf5","BiomedicalConcept"
"BiomedicalConcept_24","Weight","['Weight', 'Body Weight']","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","5ab8fe91-9c2f-4077-b138-76472eada7b4","BiomedicalConcept"
"BiomedicalConcept_25","Height","['Height', 'Body Height']","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","5752c333-321d-446f-b261-16de51ced07c","BiomedicalConcept"
"BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","2c6fd31a-0164-4502-a2ab-1d17cd644c0c","BiomedicalConcept"
"BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","6dae8c97-39f0-434c-bbbc-3e5818d4116a","BiomedicalConcept"
"BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","ac8976e3-61ca-4bcc-bce1-a2ef38f00a97","BiomedicalConcept"
"BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","1dc47571-7249-4285-9be3-c28a0e54b19b","BiomedicalConcept"
