"id","name","description","label","uuid:ID","instanceType"
"Activity_1","Informed consent","","Informed consent","f7f06de2-591e-43e5-99ba-51ec13ed5669","Activity"
"Activity_2","Inclusion/exclusion criteria","","Inclusion and exclusion criteria","f9cceff2-757a-43ad-af3d-cf4c7b633b3b","Activity"
"Activity_3","Patient number assigned","","Patient number assigned","7011100b-8999-4a66-995d-d85a22d9ba18","Activity"
"Activity_4","Demographics","","Demographics","0512a8b6-f9fb-47aa-b086-73e4c93db40a","Activity"
"Activity_5","Hachinski","","Hachinski Ischemic Scale","2885b73f-f780-45bf-993c-761a8fa89557","Activity"
"Activity_6","MMSE","","MMSE","6f3cc4b7-e689-4a16-a585-0fa1eeb7ab6e","Activity"
"Activity_7","Physical examination","","Physical examination","7bc2482c-d55d-44b9-92d7-016d53487acf","Activity"
"Activity_8","Medical history","","Medical history","ea23e76a-e952-4667-81c7-96f9b78e1bf5","Activity"
"Activity_9","Habits","","Habits","2e2b3aa0-4913-4f0a-8bf3-4bf9765ee2f5","Activity"
"Activity_10","Chest X-ray","","Chest X-ray","ee75b611-0bda-4527-9dbf-2fe60e66d20a","Activity"
"Activity_11","Apo E genotyping","","Apo E genotyping","63e9059a-67a9-4252-9cfa-e74db6f84996","Activity"
"Activity_12","Patient randomised","","Patient randomised","fa8d9390-41ae-4f69-a945-c453edf81e87","Activity"
"Activity_13","Vital signs / Temperature","","Vital Signs and Temperature","36971f5b-b6af-45d3-a879-d9451a2322f5","Activity"
"Activity_14","Ambulatory ECG placed","","Ambulatory ECG placed","862a54eb-ff87-481e-ba72-8d298a4ff051","Activity"
"Activity_15","Ambulatory ECG removed","","Ambulatory ECG removed","12f2de29-3d59-4339-af15-c0b28034ee2f","Activity"
"Activity_16","ECG","","ECG","a317524b-e359-4291-83fa-ecc96f9bbc43","Activity"
"Activity_17","Placebo TTS test","","Placebo TTS test","040e6cea-c153-4a9d-8737-89d27bbe438c","Activity"
"Activity_18","CT scan","","CT scan","7b40cec8-7478-4553-8a59-e512cb56e3b0","Activity"
"Activity_19","Concomitant medications","","Concomitant medications","5aea33ea-310a-4dd3-891d-b0d92307570e","Activity"
"Activity_20","Hematology","","Hematology","629d69c9-3314-407a-a69b-2b8c2e9055f7","Activity"
"Activity_21","Chemistry","","Chemistry","e20bb431-77a2-46f5-bb37-bbd1a7d33f82","Activity"
"Activity_22","Uninalysis","","Uninalysis","a0720cd9-08e9-444e-9206-138dce8565e3","Activity"
"Activity_23","Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)","b2a8818d-f19e-4e30-895e-378dbc5ef37e","Activity"
"Activity_24","Hemoglobin A1C","","Hemoglobin A1C","b7a77e88-06a4-448e-9604-9d51b633c93a","Activity"
"Activity_25","Study drug","","Study drug record , Medications dispensed, Medications returned","f9bb7e7b-b716-468e-a214-335ccc4c99fc","Activity"
"Activity_26","TTS Acceptability Survey","","TTS Acceptability Survey","865106bf-3d65-4c24-904a-d12b834c0529","Activity"
"Activity_27","ADAS-Cog","","ADAS-Cog","2fd8f929-33a4-47c8-a472-410fd46d9739","Activity"
"Activity_28","CIBIC+","","CIBIC+","cc9d621a-f62a-4c19-96e1-d45ecd8666d2","Activity"
"Activity_29","DAD","","DAD","97f47edf-10a8-4938-a533-0d0750c68fb0","Activity"
"Activity_30","NPI-X","","NPI-X","042d10b5-d888-45f2-8759-7439ecd4aadd","Activity"
"Activity_31","Adverse events","","Adverse events","ce345c24-f750-4009-b10a-f420134dbb5a","Activity"
"Activity_32","Check adverse events","","Check adverse events","8e5f6983-34e5-4cc2-b8e6-cad97fa954ca","Activity"
"Activity_33","Supine","","Subject supine","2759d1e6-bec8-401d-9896-0bf5b79208f9","Activity"
"Activity_34","Vital Signs Supine","","Vital signs while supine","c9ad2ddb-ea91-451e-ad53-ae4f8b6a647d","Activity"
"Activity_35","Stand","","Subject Standing","a85082d4-0506-4468-a583-037f70952dc0","Activity"
"Activity_36","Vital Signs Standing","","Vital signs while standing","ba6548ef-5b84-4349-bc7e-59c3a33842ec","Activity"
