"id","name","description","label","uuid:ID","instanceType"
"Encounter_1","E1","Screening encounter","Screening 1","590f7f32-a2a1-45d2-9132-54996000ebf1","Encounter"
"Encounter_2","E2","Screening encounter - Ambulatory ECG Placement","Screening 2","960afc9f-bdbe-4d0f-bbc4-bf6688c9edf6","Encounter"
"Encounter_3","E3","Baseline encounter - Ambulatory ECG Removal","Baseline","00e1f740-1f5c-4555-aeb6-8bc28a578f8f","Encounter"
"Encounter_4","E4","Day 14","Week 2","9a43dd8c-c090-43cf-8c0c-3d721b92036a","Encounter"
"Encounter_5","E5","Day 28","Week 4","29a29605-83e6-4f9d-be28-3c6df9242984","Encounter"
"Encounter_6","E7","Day 42","Week 6","052400e8-1bbb-4fa5-83c9-dec8152117f3","Encounter"
"Encounter_7","E8","Day 56","Week 8","9efe0659-8cec-46d0-a390-a45feef0ef33","Encounter"
"Encounter_8","E9","Day 84","Week 12","174732ac-fabb-4735-9733-3ab7459b65a2","Encounter"
"Encounter_9","E10","Day 112","Week 16","bf4171f0-edc0-4559-8f4c-e5cf33bd8816","Encounter"
"Encounter_10","E11","Day 140","Week 20","d0531629-a48d-4d5d-80b6-5898ae2da4c7","Encounter"
"Encounter_11","E12","Day 168","Week 24","9c980b40-544d-4160-bc68-4ddbfbaf14aa","Encounter"
"Encounter_12","E13","Day 182","Week 26","0af64ad4-b942-4b6f-aed3-c53bf88a13ab","Encounter"
