"text","uuid:ID","name","id","instanceType"
"Subject identifier","b74e5fb8-58b0-42b1-92a3-75f88e80feb9","ENCOUNTER_START_RULE_1","TransitionRule_1","TransitionRule"
"completion of screening activities","e18cecd9-f07c-464e-85ca-ff570031d413","ENCOUNTER_START_RULE_1","TransitionRule_2","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","062a7404-9bbd-4b05-8f04-fa2b3af365e3","ENCOUNTER_START_RULE_2","TransitionRule_3","TransitionRule"
"subject has connection of ambulatory ECG machine removed","33ad1874-b575-4ddc-9508-a021451b135e","ENCOUNTER_START_RULE_3","TransitionRule_4","TransitionRule"
"Radomized","a5343660-1fbf-49f1-aa6c-5134731a3d93","ENCOUNTER_START_RULE_3","TransitionRule_5","TransitionRule"
"End of treatment","ff47ba34-b5b4-4a24-82bd-c27ce2196584","ENCOUNTER_START_RULE_12","TransitionRule_6","TransitionRule"
"Informed consent","0141b590-42a2-4eb3-ab0d-84056007fc4f","ELEMENT_START_RULE_1","TransitionRule_7","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","5722c95b-5842-4dad-80ec-917a10bc1149","ELEMENT_END_RULE_1","TransitionRule_8","TransitionRule"
"Administration of first dose","f840bdc5-7a9a-408c-9c7d-97a81b3047e6","ELEMENT_START_RULE_2","TransitionRule_9","TransitionRule"
"End of last scheduled visit on study (including early termination)","c2e8b4dd-4aeb-4bce-b9b2-c477d357382e","ELEMENT_START_RULE_7","TransitionRule_14","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ca8528e0-c360-42fa-92bd-1aab0fe4b49e","ELEMENT_END_RULE_7","TransitionRule_15","TransitionRule"
"Administration of first dose","7ceeb7d7-7499-4647-ac34-5cf336b288bd","ELEMENT_START_RULE_3","TransitionRule_10","TransitionRule"
"Randomized","331792ea-96a6-4af0-aeeb-082cd01f931d","ELEMENT_START_RULE_4","TransitionRule_11","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","2e94c35e-7050-439e-93a3-64c44a19b9b1","ELEMENT_START_RULE_5","TransitionRule_12","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","8b8425dc-81e8-4139-9f1c-b516dd341100","ELEMENT_START_RULE_6","TransitionRule_13","TransitionRule"
