"label","isEnabled","isRequired","uuid:ID","name","datatype","id","instanceType"
"Sex","True","True","69cfd2f3-8986-4777-b137-ed9557ba17b2","Sex","string","BiomedicalConceptProperty_89","BiomedicalConceptProperty"
"Race","True","True","aa68873d-5c8e-48ac-942c-026603572e89","Race","string","BiomedicalConceptProperty_90","BiomedicalConceptProperty"
"Clinical Test Result","True","True","a3cfee85-b624-40fb-8fcf-8e846d5d988d","Clinical Test Result","decimal","BiomedicalConceptProperty_91","BiomedicalConceptProperty"
"Unit of Temperature","True","True","681e7b8d-f6b3-427b-b224-73966882af1a","Unit of Temperature","string","BiomedicalConceptProperty_92","BiomedicalConceptProperty"
"Anatomic Site","True","True","a7f8a2e0-cc6c-420c-8cc5-26cb192f56bc","Anatomic Site","string","BiomedicalConceptProperty_93","BiomedicalConceptProperty"
"Clinical Test Result","True","True","259efe14-ad94-49b7-8ed8-8e147216de67","Clinical Test Result","decimal","BiomedicalConceptProperty_94","BiomedicalConceptProperty"
"Unit of Weight","True","True","4fa56ee5-e5d3-46fe-aa65-4d6f1f221817","Unit of Weight","string","BiomedicalConceptProperty_95","BiomedicalConceptProperty"
"Clinical Test Result","True","True","12969363-ceac-44e4-a9c3-bf705d7e84d2","Clinical Test Result","decimal","BiomedicalConceptProperty_96","BiomedicalConceptProperty"
"Unit of Height","True","True","e51fd519-f808-4d8e-8f32-1d4a60aea2a5","Unit of Height","string","BiomedicalConceptProperty_97","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","0c3f706a-671f-4842-abf3-d76177f801b8","Laboratory Test Result","decimal","BiomedicalConceptProperty_98","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","45e483c4-3e76-4a57-8219-a9757c14cfcd","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_99","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","True","8d32beb5-c51c-40ec-981e-478be3f5f8ab","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_100","BiomedicalConceptProperty"
"Biospecimen Type","True","True","49a45395-1fc3-4270-8bb5-1d93269fff40","Biospecimen Type","string","BiomedicalConceptProperty_101","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","9e69864b-b795-420b-ba52-061e4cfb8177","Laboratory Test Result","string","BiomedicalConceptProperty_102","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","00529504-b34a-4f56-922a-b278807c8787","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_103","BiomedicalConceptProperty"
"Unit of Concentration","True","True","95465288-f628-41a8-a67e-23b7b165ecf6","Unit of Concentration","string","BiomedicalConceptProperty_104","BiomedicalConceptProperty"
"Biospecimen Type","True","True","f269a2b9-a1a8-4ace-ab55-f29839b13f69","Biospecimen Type","string","BiomedicalConceptProperty_105","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","5d04956b-6740-4596-aa34-9f0911b2c2fa","Laboratory Test Result","decimal","BiomedicalConceptProperty_106","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","ba2bba14-c0cf-41f1-953d-002c901b1daf","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_107","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","True","4206e7c8-2719-4ff6-b03a-a58eb7ea3871","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_108","BiomedicalConceptProperty"
"Biospecimen Type","True","True","71a1cb63-77bd-4dbe-b0ef-ca32af90f824","Biospecimen Type","string","BiomedicalConceptProperty_109","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","f77424e3-092d-485f-99f3-84606308c636","Laboratory Test Result","decimal","BiomedicalConceptProperty_110","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","3674043b-52dc-41d5-881c-e50218ab5c25","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_111","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","True","6ff2859c-65fe-4d46-aee5-572b6c8e3268","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_112","BiomedicalConceptProperty"
"Biospecimen Type","True","True","0d5b9997-b02c-4242-bf64-d1fccfcaaca8","Biospecimen Type","string","BiomedicalConceptProperty_113","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","521c442e-7c0c-4689-8fd2-c96be876af99","Laboratory Test Result","string","BiomedicalConceptProperty_114","BiomedicalConceptProperty"
