"label","uuid:ID","name","description","id","instanceType"
"Screening 1","7a654c6a-c89d-46ff-8d67-e94377aea5d2","E1","Screening encounter","Encounter_1","Encounter"
"Screening 2","945f810e-cd46-4329-b65e-b8e877c284ee","E2","Screening encounter - Ambulatory ECG Placement","Encounter_2","Encounter"
"Baseline","383070cb-2aa7-4474-802b-bfa2863d584d","E3","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Encounter"
"Week 2","2082013b-e8d2-48b3-80a4-0547f5f78b49","E4","Day 14","Encounter_4","Encounter"
"Week 4","7f91881a-195c-4f65-952f-1577081fbab4","E5","Day 28","Encounter_5","Encounter"
"Week 6","c34fdcd7-8adf-450b-ba40-302328e6d0d7","E7","Day 42","Encounter_6","Encounter"
"Week 8","2621518e-0735-40b9-95f6-63059e8497d9","E8","Day 56","Encounter_7","Encounter"
"Week 12","c854272d-cee6-4fc3-911c-ac36a132131d","E9","Day 84","Encounter_8","Encounter"
"Week 16","28266ea8-5d3d-4ab1-aaa0-1f42cf36b569","E10","Day 112","Encounter_9","Encounter"
"Week 20","e7cd6c7a-6d08-4f27-bceb-cfde819cb884","E11","Day 140","Encounter_10","Encounter"
"Week 24","7161cbeb-6f69-46e0-aa6f-2013ccbf721a","E12","Day 168","Encounter_11","Encounter"
"Week 26","6609e4d5-e9a5-4904-99c6-fb34e68f08a0","E13","Day 182","Encounter_12","Encounter"
