"decode","uuid:ID","codeSystem","id","codeSystemVersion","code","instanceType"
"Interventional Study","007e50e0-aa43-45d7-a21f-0a17e86678c0","http://www.cdisc.org","Code_1","2023-09-29","C98388","Code"
"Phase II Trial","1efd6e08-56e7-4bac-b7e6-24df2774dfbc","http://www.cdisc.org","Code_2","2023-09-29","C15601","Code"
"Sponsor Approval Date","d036bc0e-65f9-41dd-99bf-c86dfe21685a","http://www.cdisc.org","Code_9","2023-09-29","C132352","Code"
"Global","4af45bb5-ef52-47b3-ad12-840ea0b95f0d","http://www.cdisc.org","Code_10","2023-09-29","C68846","Code"
"IRB/IEC Feedback","9f215904-720f-4e0a-a81b-5690a218dff2","http://www.cdisc.org","Code_72","2023-09-29","C99904x3","Code"
"Other","da6ca09e-543f-4995-97fe-1d7e41806b44","http://www.cdisc.org","Code_73","2023-09-29","C17649","Code"
"Region","54a4d8b7-b75b-44c5-a95b-9caac723ffa4","http://www.cdisc.org","Code_75","2023-09-29","C41129","Code"
"Europe","98c89f3d-42df-4ca3-90f4-cb356ba2bdaf","ISO 3166 1 alpha3","Code_74","2020-08","150","Code"
"Eli Lilly","54c6bdfc-e10d-42ab-b60b-f7e684c13124","SPONSOR","Code_4","12","PHARMA","Code"
"Clinical Study Sponsor","657ba861-caf8-4c71-9aca-95b37ce182c2","http://www.cdisc.org","Code_76","2023-09-29","C70793","Code"
"United States of America","af029475-6d0b-443b-9d50-f81811dc1fc1","ISO 3166 1 alpha3","Code_77","2020-08","USA","Code"
"Study Registry","a17265ac-b4a8-4ba1-998f-4e7ce02ec19a","http://www.cdisc.org","Code_78","2023-09-29","C93453","Code"
"United States of America","568c5c4e-612e-4c1a-b0fa-ba92fce5fe16","ISO 3166 1 alpha3","Code_79","2020-08","USA","Code"
"Treatment Study","37405df5-7103-4de0-9034-1d3031ecdccb","http://www.cdisc.org","Code_137","2023-09-29","C49656","Code"
"Efficacy Study","5941b2a9-8f67-4fe7-b218-c086b0bbf726","http://www.cdisc.org","Code_138","2023-09-29","C49666","Code"
"Safety Study","a51a8e51-2f67-4ed1-8602-62f854257a78","http://www.cdisc.org","Code_139","2023-09-29","C49667","Code"
"Pharmacokinetic Study","40814bd5-48de-434e-8e66-e6a18bbb8f75","http://www.cdisc.org","Code_140","2023-09-29","C49663","Code"
"Mild to Moderate Alzheimer's Disease","a0770585-8aed-48ce-b7ed-b6f15178b557","SPONSOR","Code_134","12","MILD_MOD_ALZ","Code"
"Alzheimer's disease","f4f751ec-c1d2-41b5-9910-9ab12de91102","SNOMED","Code_135","January 31, 2018","26929004","Code"
"EXTENSION","c27bd2b6-bee4-44da-aeaa-e138109668a8","http://www.cdisc.org","Code_143","2023-09-29","C99907x1","Code"
"ADAPTIVE","d7530afa-f07a-4e6b-bf62-1e4e081b4a1d","http://www.cdisc.org","Code_144","2023-09-29","C98704","Code"
"Parallel Study","a82049c9-2e28-4f70-b8cb-bbd169c8c8c9","http://www.cdisc.org","Code_141","2023-09-29","C82639","Code"
"Visit","166611dc-af47-4d4c-b592-5c66589a13c9","http://www.cdisc.org","Code_83","2023-09-29","C25716","Code"
"Clinic","572433ac-8ac2-4860-8526-b5f326c04067","http://www.cdisc.org","Code_84","2023-09-29","C51282","Code"
"In Person","cc3ab292-8aa3-4a10-8d7f-63d57b52ef39","http://www.cdisc.org","Code_85","2023-09-29","C175574","Code"
"Visit","fb8b05f0-3d3f-42b6-a303-96462317910c","http://www.cdisc.org","Code_86","2023-09-29","C25716","Code"
"Clinic","e0c580d6-f9eb-403e-b505-cc1d42aa2182","http://www.cdisc.org","Code_87","2023-09-29","C51282","Code"
"In Person","6c10f60d-01e5-44d2-9a84-231b8eafbd78","http://www.cdisc.org","Code_88","2023-09-29","C175574","Code"
"Visit","628b30fe-a376-4617-8558-9c0edd6c984b","http://www.cdisc.org","Code_89","2023-09-29","C25716","Code"
"Clinic","05a4cb92-db3f-4ff6-bda7-f9eaba43dcce","http://www.cdisc.org","Code_90","2023-09-29","C51282","Code"
"In Person","7a0ffb11-e45e-4409-8d49-1e55291633c1","http://www.cdisc.org","Code_91","2023-09-29","C175574","Code"
"Visit","9b7295f9-86e6-4a20-a439-148e02d2ffd1","http://www.cdisc.org","Code_92","2023-09-29","C25716","Code"
"Clinic","6dd0d80d-6795-4f0d-a581-23c191ec058c","http://www.cdisc.org","Code_93","2023-09-29","C51282","Code"
"In Person","53212922-1fbb-4153-82d5-91c2db9c833f","http://www.cdisc.org","Code_94","2023-09-29","C175574","Code"
"Visit","1b04ef79-722f-43d8-a803-ee429c9c8fb6","http://www.cdisc.org","Code_95","2023-09-29","C25716","Code"
"Clinic","0c71e8cf-17d1-4ce0-9496-5d8f3f09aa0c","http://www.cdisc.org","Code_96","2023-09-29","C51282","Code"
"In Person","1f16b6ff-65aa-4c37-9ad6-3d312df72c7e","http://www.cdisc.org","Code_97","2023-09-29","C175574","Code"
"Visit","f7cd80d9-fb76-422c-b45b-20f720cb1ff6","http://www.cdisc.org","Code_98","2023-09-29","C25716","Code"
"Clinic","7846b00f-9cfe-4e98-a456-471a80009b61","http://www.cdisc.org","Code_99","2023-09-29","C51282","Code"
"In Person","176a5d52-e919-439f-bb11-8693164e6d5f","http://www.cdisc.org","Code_100","2023-09-29","C175574","Code"
"Visit","76d1d427-926e-4f71-b98f-4b8c40016d6d","http://www.cdisc.org","Code_101","2023-09-29","C25716","Code"
"Clinic","8f231bf4-1575-4519-b03e-14d262a50a5b","http://www.cdisc.org","Code_102","2023-09-29","C51282","Code"
"In Person","b3de9c27-b89e-4e76-b190-694653391377","http://www.cdisc.org","Code_103","2023-09-29","C175574","Code"
"Telephone Call","b9ec8e12-004c-4403-898e-f5c4d48a3403","http://www.cdisc.org","Code_104","2023-09-29","C171537","Code"
"Visit","0c3fac08-d742-49e4-8e68-18f5b4fbaf25","http://www.cdisc.org","Code_105","2023-09-29","C25716","Code"
"Clinic","5fe86626-1f0b-4b9a-b446-cb12bd9c449f","http://www.cdisc.org","Code_106","2023-09-29","C51282","Code"
"In Person","5816b34a-9383-42e4-a047-50d248316e2e","http://www.cdisc.org","Code_107","2023-09-29","C175574","Code"
"Telephone Call","4da64ae2-fd89-4081-a9de-441c2eba62e6","http://www.cdisc.org","Code_108","2023-09-29","C171537","Code"
"Visit","348c12e8-37f5-42b5-a569-52e5aeda41f4","http://www.cdisc.org","Code_109","2023-09-29","C25716","Code"
"Clinic","2f6cd680-3df7-401a-9a7a-8a88dc9bb65f","http://www.cdisc.org","Code_110","2023-09-29","C51282","Code"
"In Person","ddfed31e-f2c0-418a-afa2-a0f8a4241b73","http://www.cdisc.org","Code_111","2023-09-29","C175574","Code"
"Telephone Call","a8d8caff-8c0b-4286-90d9-e699fa119ad5","http://www.cdisc.org","Code_112","2023-09-29","C171537","Code"
"Visit","3f3a3565-de0a-4442-a38b-d084c75652e4","http://www.cdisc.org","Code_113","2023-09-29","C25716","Code"
