"text","purpose","label","uuid:ID","name","description","id","instanceType"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","","e692d1bf-8678-4ffe-a726-af0a3f33d881","END1","","Endpoint_1","Endpoint"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","","2e3b0872-bc70-4bdd-8c5d-05080aeb84e3","END2","","Endpoint_2","Endpoint"
"Adverse events","","","43323484-65f5-4006-90ae-67da80e619d7","END3","","Endpoint_3","Endpoint"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","","28564065-0afe-402d-aedc-eadb02f3b602","END4","","Endpoint_4","Endpoint"
"Laboratory evaluations (Change from Baseline)","","","eeb91583-a645-4177-9361-d94523744dd5","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","Endpoint"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","","9fcb0b1b-5cc5-4427-91d2-dcd0732f6bde","END6","","Endpoint_6","Endpoint"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","","fbc2d868-a291-480b-8da4-9767bf5eb1d2","END7","","Endpoint_7","Endpoint"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","","276b4b76-f567-4f5e-8dc2-e8f0fbc70629","END8","","Endpoint_8","Endpoint"
"*** To be determined from protocol ***","","","519fe0fe-30e8-460d-80c6-817d4438f334","END9","","Endpoint_9","Endpoint"
"*** To be determined from protocol ***","","","e0b5385c-eee0-4a26-94a3-37a26f6c4e1e","END10","","Endpoint_10","Endpoint"
"*** To be determined from protocol ***","","","340b6ffb-f8a9-40b3-8ed0-a93f841196c7","END11","","Endpoint_11","Endpoint"
