"label","uuid:ID","name","description","id","window","windowUpper","value","instanceType","windowLower"
"Screening","9128074f-872f-4c12-b4dc-4237cd3e39dc","TIM1","Screening timing","Timing_1","","","P2W","Timing",""
"Pre dose","23408488-fa20-4704-8049-0f1180aa7fb4","TIM2","Pre dose timing","Timing_2","-4..0 hours","PT0H","P2D","Timing","PT4H"
"Dosing","a78a4008-e55a-408a-ad6e-a1e680ae6668","TIM3","Dosing anchor","Timing_3","","","P1D","Timing",""
"Week 2","93b797aa-e6ae-4314-9615-55a269bae3b8","TIM4","Week 2 timing","Timing_4","-3..3 days","P3D","P2W","Timing","P3D"
"Week 4","2946a6c4-9f4e-4ccf-afea-87e002cb09af","TIM5","Week 4 timing","Timing_5","-3..3 days","P3D","P4W","Timing","P3D"
"Week 6","e8fd1e29-de70-467a-971b-9578773ad365","TIM6","Week 6 timing","Timing_6","-3..3 days","P3D","P6W","Timing","P3D"
"Week 8","970515dd-18d7-4dd5-9793-7ed03ed8e200","TIM7","Week 8 timing","Timing_7","-3..3 days","P3D","P8W","Timing","P3D"
"Week 12","df3ad83a-50d7-451b-8822-2626f923788f","TIM9","Week 12 timing","Timing_9","-4..4 days","P4D","P12W","Timing","P4D"
"Week 16","16d2a015-dfbe-45e1-a901-0e1d0767cd32","TIM11","Week 16 timing","Timing_11","-4..4 days","P4D","P16W","Timing","P4D"
"Week 20","53361209-2965-4270-9e1e-26fc21acb210","TIM13","Week 20 timing","Timing_13","-4..4 days","P4D","P20W","Timing","P4D"
"Week 24","dea67018-5bdd-4282-9ecc-c8e9c738fc8e","TIM15","Week 24 timing","Timing_15","-4..4 days","P4D","P24W","Timing","P4D"
"Week 26","1f5e1bd0-9ff8-401f-9003-f9558ca9491d","TIM16","Week 26 timing","Timing_16","-3..3 days","P3D","P26W","Timing","P3D"
"Week 8 Home","ce742eb9-360e-4c12-8e65-f1028cb5e794","TIM8","Week 8 at home timing","Timing_8","","","P2W","Timing",""
"Week 12 Home","f9774740-dd3e-4b69-99f1-57c64ab4be3e","TIM10","Week 12 at home timing","Timing_10","","","P2W","Timing",""
"Week 16 Home","c0671f53-349e-4bce-9c62-40e4d453542b","TIM12","Week 16 at home timing","Timing_12","","","P2W","Timing",""
"Week 20 Home","a2e4ca87-907f-4587-8ed8-69ca6a43525f","TIM14","Week 20 at home timing","Timing_14","","","P2W","Timing",""
"Adverse Event","9da36bad-83fe-4fa6-9e19-1bdd468cc06e","TIM17","Adverse Event","Timing_17","","","P1D","Timing",""
"Early Termination","ae55aed3-bf04-4ec7-af48-ea6a40492eef","TIM18","Early Termination","Timing_18","","","P1D","Timing",""
"Supine","dee73b54-c80c-40d5-b07f-2535fc8539ad","TIM19","Supine","Timing_19","","","PT0M","Timing",""
"VS while supine","293edf66-8492-47b7-a190-84f815afec0a","TIM20","VS while supine","Timing_20","","","PT5M","Timing",""
"Standing","35eae7d4-f7fb-43be-9853-f1ab349364ea","TIM21","Standing","Timing_21","","","PT0M","Timing",""
"VS while standing","a7f2350c-2fa1-48da-abc8-673872425554","TIM22","VS while standing","Timing_22","","","PT1M","Timing",""
"Standing","36d12ce4-ee35-47a6-b7b6-c8d85f62616c","TIM23","Standing","Timing_23","","","PT0M","Timing",""
"VS while standing","9f38f61b-5646-4259-96f7-c1e75129ff9b","TIM24","VS while standing","Timing_24","","","PT2M","Timing",""
