"id","name","text","uuid:ID","instanceType"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","b5085157-9ccc-4018-bcba-0cfcc2539c08","TransitionRule"
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","7ef1f4ad-5360-42e4-b371-e89c74736606","TransitionRule"
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","e6b4af36-e5fb-4d2c-89a8-6cb63d462750","TransitionRule"
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","75111c99-ef40-4bfa-827f-a3a5795ca481","TransitionRule"
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","7f690978-a3bc-4eaa-ab5f-795819b28e72","TransitionRule"
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","d79ef95b-5e60-4a8f-bb50-b00442f27ba0","TransitionRule"
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","fe12e633-d0a7-45e0-9f50-fb5a31cc88d6","TransitionRule"
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","bd31a77f-6ab0-4dfb-a5e2-029a1b6b03bd","TransitionRule"
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","720f5927-57ee-4f5f-954d-ca16254c71e1","TransitionRule"
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","d96ef6b7-1632-4b85-a202-5e2afaa0d823","TransitionRule"
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","16979054-63d7-4be7-8dad-c6631cbfb136","TransitionRule"
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","ca3c33ac-f11d-4b97-9327-8504b82a3337","TransitionRule"
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","b48ba43a-2b89-4554-a60e-86001019181d","TransitionRule"
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","c1883017-df45-42b1-9e98-c09656efed61","TransitionRule"
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","169ecffc-3695-4a78-a2fd-323a4755380f","TransitionRule"
