"code","decode","id","codeSystem","codeSystemVersion","uuid:ID","instanceType"
"C98388","Interventional Study","Code_1","http://www.cdisc.org","2023-09-29","03ea81cb-8961-4314-9c86-3e401722dcd6","Code"
"C15601","Phase II Trial","Code_2","http://www.cdisc.org","2023-09-29","7ceafcf0-c27f-4295-93f1-c51c77ea7ae3","Code"
"C132352","Sponsor Approval Date","Code_9","http://www.cdisc.org","2023-09-29","63856be4-3727-4ec5-9b9b-177ff21a6e91","Code"
"C68846","Global","Code_10","http://www.cdisc.org","2023-09-29","947d0667-0d2b-4c54-aaa1-7dec7d9ae2b6","Code"
"C99904x3","IRB/IEC Feedback","Code_72","http://www.cdisc.org","2023-09-29","3238a845-c91f-47cf-89e9-999de947fc9b","Code"
"C17649","Other","Code_73","http://www.cdisc.org","2023-09-29","814362fb-ff72-418e-abef-1ef8e97eda6e","Code"
"C41129","Region","Code_75","http://www.cdisc.org","2023-09-29","9ee8bf0e-9f84-4144-a8a4-ba1e97a09acf","Code"
"150","Europe","Code_74","ISO 3166 1 alpha3","2020-08","04dd1cdb-dfa0-4010-b479-d6e130d66d89","Code"
"PHARMA","Eli Lilly","Code_4","SPONSOR","12","2316f0fd-4821-468a-8b35-96b30856fb12","Code"
"C70793","Clinical Study Sponsor","Code_76","http://www.cdisc.org","2023-09-29","e03b86db-933e-42cb-a9ac-5a07842d2ad2","Code"
"USA","United States of America","Code_77","ISO 3166 1 alpha3","2020-08","253443e3-20a0-4fc2-996e-f2467d1cfd24","Code"
"C93453","Study Registry","Code_78","http://www.cdisc.org","2023-09-29","f43e7ec5-e745-4ac8-a78b-e7438519ec44","Code"
"USA","United States of America","Code_79","ISO 3166 1 alpha3","2020-08","7ab70e90-8559-4f77-930c-f1aedb82f766","Code"
"C49656","Treatment Study","Code_137","http://www.cdisc.org","2023-09-29","5c658562-b40d-4997-9259-f9ffb682b65d","Code"
"C49666","Efficacy Study","Code_138","http://www.cdisc.org","2023-09-29","58200cc1-c119-4b0f-90c0-712cf9ebe720","Code"
"C49667","Safety Study","Code_139","http://www.cdisc.org","2023-09-29","e4836cfb-b830-4611-bb0a-2ca6fc2a11ad","Code"
"C49663","Pharmacokinetic Study","Code_140","http://www.cdisc.org","2023-09-29","dcde5de3-6d7a-46aa-8ba1-9f5797cccedc","Code"
"MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code_134","SPONSOR","12","9d801797-7d78-422e-b919-312d265bfbec","Code"
"26929004","Alzheimer's disease","Code_135","SNOMED","January 31, 2018","182fe7a9-d4ef-434a-89d4-95651c2348c9","Code"
"C99907x1","EXTENSION","Code_143","http://www.cdisc.org","2023-09-29","dec66bca-d6db-4adf-a0b3-a864683ce82e","Code"
"C98704","ADAPTIVE","Code_144","http://www.cdisc.org","2023-09-29","cad291da-1b1b-462f-8d35-1fb2dc47ac45","Code"
"C82639","Parallel Study","Code_141","http://www.cdisc.org","2023-09-29","f524d8a8-9f65-4b60-b5cd-f4d44e7bc126","Code"
"C25716","Visit","Code_83","http://www.cdisc.org","2023-09-29","a508f987-c6e6-42e5-b8b1-2589708f7544","Code"
"C51282","Clinic","Code_84","http://www.cdisc.org","2023-09-29","f48cbdfa-8b67-43a1-938c-17b742d76343","Code"
"C175574","In Person","Code_85","http://www.cdisc.org","2023-09-29","5a5f0097-0019-4fb0-b8fa-d4c9a0a9ee8b","Code"
"C25716","Visit","Code_86","http://www.cdisc.org","2023-09-29","42c3d5ef-fc95-4226-a8de-6c9f36751289","Code"
"C51282","Clinic","Code_87","http://www.cdisc.org","2023-09-29","88784d39-dc43-491a-b3d9-3d9e64accf9f","Code"
"C175574","In Person","Code_88","http://www.cdisc.org","2023-09-29","a8de1646-c2d9-431d-9d28-a5f3cc4b35bb","Code"
"C25716","Visit","Code_89","http://www.cdisc.org","2023-09-29","fd09dbb0-74af-4d7b-a393-7901a3cb4d0d","Code"
"C51282","Clinic","Code_90","http://www.cdisc.org","2023-09-29","b332c905-626a-43a5-80d8-36986b948f12","Code"
"C175574","In Person","Code_91","http://www.cdisc.org","2023-09-29","2d0bc813-9f0e-43a0-8162-e7cfac017f6d","Code"
"C25716","Visit","Code_92","http://www.cdisc.org","2023-09-29","779fe36c-b363-4555-b554-78e737ed9655","Code"
"C51282","Clinic","Code_93","http://www.cdisc.org","2023-09-29","4cbe85a5-be14-4f66-ac7b-d5ffab18c5d1","Code"
"C175574","In Person","Code_94","http://www.cdisc.org","2023-09-29","84065115-38d5-417c-b789-a87ddc6c3893","Code"
"C25716","Visit","Code_95","http://www.cdisc.org","2023-09-29","ff5e9408-7a2b-4601-a361-81124ef5ffcb","Code"
"C51282","Clinic","Code_96","http://www.cdisc.org","2023-09-29","5f80e9c7-1cbb-402f-8dfe-c9a45b51d22d","Code"
"C175574","In Person","Code_97","http://www.cdisc.org","2023-09-29","8ab40ed2-782a-4983-aa94-65a22843e105","Code"
"C25716","Visit","Code_98","http://www.cdisc.org","2023-09-29","18a0962f-243c-4eee-a5d8-a00885fb5682","Code"
"C51282","Clinic","Code_99","http://www.cdisc.org","2023-09-29","747ee50b-3cb9-4fea-9fd7-67188a74f627","Code"
"C175574","In Person","Code_100","http://www.cdisc.org","2023-09-29","8977aee2-7db3-4e4f-bf87-e79dfedc4f82","Code"
"C25716","Visit","Code_101","http://www.cdisc.org","2023-09-29","8cc06b35-7da6-46b5-906f-12e4e6f60c2a","Code"
"C51282","Clinic","Code_102","http://www.cdisc.org","2023-09-29","5f9fe560-ac82-4197-85c6-bf7cbfea4cad","Code"
"C175574","In Person","Code_103","http://www.cdisc.org","2023-09-29","e6fa543f-5505-4989-a2b8-fb1f49175701","Code"
"C171537","Telephone Call","Code_104","http://www.cdisc.org","2023-09-29","4b60eee2-1689-4c90-a37d-6e4240078bf6","Code"
"C25716","Visit","Code_105","http://www.cdisc.org","2023-09-29","80eb8690-f7ae-4722-b17d-02a16f46ddf9","Code"
"C51282","Clinic","Code_106","http://www.cdisc.org","2023-09-29","6dba98f3-9f0a-45a3-bf0e-20c97e45ebca","Code"
"C175574","In Person","Code_107","http://www.cdisc.org","2023-09-29","26402560-4877-4e50-9bc8-f653420fd545","Code"
"C171537","Telephone Call","Code_108","http://www.cdisc.org","2023-09-29","aca48db7-b94a-48c8-a68b-b78afaf73451","Code"
"C25716","Visit","Code_109","http://www.cdisc.org","2023-09-29","2babacec-fc3b-4644-8184-d50d930885aa","Code"
"C51282","Clinic","Code_110","http://www.cdisc.org","2023-09-29","e144f299-72d7-4acc-a8df-f39eddd12e77","Code"
"C175574","In Person","Code_111","http://www.cdisc.org","2023-09-29","22951bc2-84cd-45fd-a17d-414e68b946d9","Code"
"C171537","Telephone Call","Code_112","http://www.cdisc.org","2023-09-29","854a1142-d159-4f19-abc1-f7c3883d83a4","Code"
"C25716","Visit","Code_113","http://www.cdisc.org","2023-09-29","e956d8b9-e1bd-4a03-95a3-ad4992e75574","Code"
"C51282","Clinic","Code_114","http://www.cdisc.org","2023-09-29","cf47c37a-75cb-4589-8207-820a2e122fdf","Code"
"C175574","In Person","Code_115","http://www.cdisc.org","2023-09-29","6886e0b3-0757-4e69-a9c9-087ca2951be9","Code"
"C171537","Telephone Call","Code_116","http://www.cdisc.org","2023-09-29","24d8adfb-918d-46fa-8293-c5940070e7d4","Code"
"C25716","Visit","Code_117","http://www.cdisc.org","2023-09-29","9801f8f3-c997-4905-b6b5-59cb8f72d448","Code"
"C51282","Clinic","Code_118","http://www.cdisc.org","2023-09-29","08169ed6-d889-4195-93ed-7c8f18e1d1f2","Code"
"C175574","In Person","Code_119","http://www.cdisc.org","2023-09-29","b8b50b16-6bff-4553-816b-eb80bf0004fa","Code"
"C25716","Visit","Code_120","http://www.cdisc.org","2023-09-29","4023d985-22fd-489d-b3ff-06cb5606f936","Code"
"C51282","Clinic","Code_121","http://www.cdisc.org","2023-09-29","d7e25b35-5081-48a7-b2d7-b39eed63e491","Code"
"C175574","In Person","Code_122","http://www.cdisc.org","2023-09-29","f3cbfd19-6766-4eae-9d65-55bc2241e2b9","Code"
"383371000119108","CT of head without contrast","Code_80","SNOMED","January 31, 2018","5035906d-e019-4623-99f8-339eb0d446a2","Code"
"123","Subject Supine","Code_81","SPONSOR","12","0bf05129-d7d2-4ef7-9862-44e433ea750b","Code"
"124","Subject Standing","Code_82","SPONSOR","12","18a60170-9343-43e6-925f-0652dcd5aff3","Code"
"C20197","Male","Code_269","http://www.cdisc.org","2023-09-29","83f738a4-9707-4932-9f5d-87a9bd652965","Code"
"C16576","Female","Code_270","http://www.cdisc.org","2023-09-29","22dc9b04-5511-4fd5-a9f8-25c7e84c05b0","Code"
"C28421","Sex","Code_271","NCI Thesaurus","","c8fc8d5e-878e-467e-82a9-da6c96d51950","Code"
"C28421","Sex","Code_268","NCI Thesaurus","","8d681b5c-bf97-44d1-a1fa-05cf3f3dd9aa","Code"
