"synonyms","uuid:ID","id","name","label","reference","instanceType"
"","a861d90b-6204-4095-82a5-6c3d14c83d03","BiomedicalConcept_20","Sex","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"['Racial Group']","3bab40f8-2f47-4040-b539-fb743e9584f6","BiomedicalConcept_21","Race","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"['Temperature']","ae7407f6-8933-41e4-b1aa-d7d4336ef65c","BiomedicalConcept_22","Body Temperature","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept"
"['Weight']","e961a2be-a6d4-4584-a0fb-ac6528239734","BiomedicalConcept_23","Body Weight","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept"
"['Height']","0ae95116-dcae-49e9-a1ec-ab697b262271","BiomedicalConcept_24","Body Height","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept"
"['ALT', 'SGPT']","e2e7fa50-f931-4fd3-bde3-9491970e67f2","BiomedicalConcept_25","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"['Albumin']","28a896e7-2207-4103-a48e-56cb2b63f1ab","BiomedicalConcept_26","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"['Alkaline Phosphatase']","b06fa4bf-2a7c-4887-aa9a-008c00324dcb","BiomedicalConcept_27","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"['AST', 'SGOT']","fce4d2c8-67ae-4c73-9ee1-22824416ac63","BiomedicalConcept_28","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"['Creatinine']","17ccecfb-46fe-4c36-86ba-7f980ec9faa9","BiomedicalConcept_29","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"['Potassium', 'K']","fa91e6f7-5ac2-451a-874c-136b7bf7a577","BiomedicalConcept_30","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"['Sodium', 'NA']","92270d3f-47c2-47e8-bcca-7d6de060cf24","BiomedicalConcept_31","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"","edbab967-ec10-4814-81e9-1f68cd67340f","BiomedicalConcept_1","Adverse Event","Adverse Event","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","BiomedicalConcept"
"['SYSBP']","6d080178-65d1-4547-a035-841d7533a0d2","BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept"
"['DIABP']","c3f97515-1674-4be4-8983-944eb702f399","BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept"
"['Temperature']","3158c283-2736-4f0d-8d4c-493366522803","BiomedicalConcept_4","Body Temperature","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept"
"['Weight']","bda0052c-dbf1-4b5c-a6d1-0655c90ed01d","BiomedicalConcept_5","Body Weight","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept"
"['Height']","5b48919b-418e-4812-8679-4e183d379f4b","BiomedicalConcept_6","Body Height","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept"
"['ALT', 'SGPT']","bdca51de-4fa2-466b-97fe-39a3c7c19829","BiomedicalConcept_7","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"['Albumin']","608f6d92-9648-45f0-92d3-e3b8c533f709","BiomedicalConcept_8","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"['Alkaline Phosphatase']","c6ff676e-f1fd-4e94-b6d5-fedebeff4d65","BiomedicalConcept_9","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"['AST', 'SGOT']","ba30de19-d8b4-4368-9a82-4e84ab24387b","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"['Creatinine']","ec52a3c5-360a-4b8d-a3e8-6b01e4c5a5d9","BiomedicalConcept_11","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
