"purpose","id","name","text","label","description","uuid:ID","instanceType"
"","Endpoint_1","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","","91e2f0e1-7d43-4e4f-88d9-ba14826d8a8c","Endpoint"
"","Endpoint_2","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","","2f2cb382-27b8-401d-be2f-deee914e5625","Endpoint"
"","Endpoint_3","END3","Adverse events","","","28d25259-794f-4942-b8c2-04bb914bbea4","Endpoint"
"","Endpoint_4","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","","","99c0ff05-fd7c-4ac8-ac3d-c51866bcfe2e","Endpoint"
"","Endpoint_5","END5","Laboratory evaluations (Change from Baseline)","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","e1bdeaf5-8c9c-4702-bc88-f0d092861caf","Endpoint"
"","Endpoint_6","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","","29a14414-2c12-4da9-bf6e-13919430aa02","Endpoint"
"","Endpoint_7","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","","1e3e0a0d-3c46-4e79-b9a3-c78bb4c1cc0f","Endpoint"
"","Endpoint_8","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","","c6378a46-45e4-4355-ab47-ddc7a6b3b776","Endpoint"
"","Endpoint_9","END9","*** To be determined from protocol ***","","","01b2e193-29a0-4af3-aa80-797182adb7db","Endpoint"
"","Endpoint_10","END10","*** To be determined from protocol ***","","","b4ef9a27-056e-4741-973a-f4715eb4c885","Endpoint"
"","Endpoint_11","END11","*** To be determined from protocol ***","","","c1589fc3-9c74-42f2-b177-4f81e774e4e2","Endpoint"
