"instanceType","isEnabled","id","name","label","isRequired","uuid:ID","datatype"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_89","Sex","Sex","True","0f33f2ee-8fec-43a1-9eb8-274805ff1c47","string"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_90","Race","Race","True","d7646e85-6335-4c94-b4e4-44369aab58eb","string"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_91","Clinical Test Result","Clinical Test Result","True","9a3ab2a6-2391-495c-a676-6468544c885e","decimal"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_92","Unit of Temperature","Unit of Temperature","True","2c207e4c-6a8f-4be1-baf7-c903db49878c","string"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_93","Anatomic Site","Anatomic Site","True","ece02a87-3bdd-49f1-8745-ad9964c80b0c","string"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_94","Clinical Test Result","Clinical Test Result","True","6c4b433d-365f-4f78-9ae5-8199e244191c","decimal"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_95","Unit of Weight","Unit of Weight","True","89d45148-9b93-40d8-9835-d6453ab0d7dc","string"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_96","Clinical Test Result","Clinical Test Result","True","7f887c2f-fe2f-406d-b793-a93931472b1e","decimal"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_97","Unit of Height","Unit of Height","True","a39a36cc-fe86-4f42-910c-63c2f3968165","string"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_98","Laboratory Test Result","Laboratory Test Result","True","81bfd312-6e95-4527-a8f4-35f3ecb9ba0b","decimal"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_99","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","02503c0c-eba3-4632-9fd2-01b3aa15e022","boolean"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_100","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","157b805a-4878-43ad-93a2-8a0a1d349276","string"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_101","Biospecimen Type","Biospecimen Type","True","050a060d-5360-411c-b268-1f1ca1a7e32d","string"
