"window","id","name","label","description","windowLower","windowUpper","value","uuid:ID","instanceType"
"","Timing_1","TIM1","Screening","Screening timing","","","P2W","c92002cd-126c-4192-b8b6-0e965ad400a3","Timing"
"-4..0 hours","Timing_2","TIM2","Pre dose","Pre dose timing","PT4H","PT0H","P2D","a1c16b25-d50f-4c90-97e0-793833d580bd","Timing"
"","Timing_3","TIM3","Dosing","Dosing anchor","","","P1D","0a00d353-6eee-4148-9481-224a4e1a8e19","Timing"
"-3..3 days","Timing_4","TIM4","Week 2","Week 2 timing","P3D","P3D","P2W","cf0cfb83-103d-404c-82fe-76dedc03692b","Timing"
"-3..3 days","Timing_5","TIM5","Week 4","Week 4 timing","P3D","P3D","P4W","7921e488-c33a-40c6-9dc6-7cbe7351ca4c","Timing"
"-3..3 days","Timing_6","TIM6","Week 6","Week 6 timing","P3D","P3D","P6W","a0f79701-03dc-460c-9058-a641c06d8713","Timing"
"-3..3 days","Timing_7","TIM7","Week 8","Week 8 timing","P3D","P3D","P8W","5877f4a0-c1c6-4d90-a52e-18710dda13c4","Timing"
"-4..4 days","Timing_9","TIM9","Week 12","Week 12 timing","P4D","P4D","P12W","c603f1a3-f595-4c0c-bdfe-f1af01a980f1","Timing"
"-4..4 days","Timing_11","TIM11","Week 16","Week 16 timing","P4D","P4D","P16W","dc1b4d21-1f63-4f35-80ea-284ec2ff49a2","Timing"
"-4..4 days","Timing_13","TIM13","Week 20","Week 20 timing","P4D","P4D","P20W","28fed84a-75f8-4c31-9f47-be24ab9e71a1","Timing"
"-4..4 days","Timing_15","TIM15","Week 24","Week 24 timing","P4D","P4D","P24W","5480d91c-6835-4ce6-8969-85c11d929020","Timing"
"-3..3 days","Timing_16","TIM16","Week 26","Week 26 timing","P3D","P3D","P26W","c35bcf21-61f4-4504-ad76-15ff2ecf1b02","Timing"
"","Timing_8","TIM8","Week 8 Home","Week 8 at home timing","","","P2W","bb0d5e71-a294-4511-8c03-8ae28d146c12","Timing"
"","Timing_10","TIM10","Week 12 Home","Week 12 at home timing","","","P2W","54737f48-506a-4de5-9807-2588fcea72c7","Timing"
"","Timing_12","TIM12","Week 16 Home","Week 16 at home timing","","","P2W","8f35e813-4283-47bc-b34f-1129021ce835","Timing"
"","Timing_14","TIM14","Week 20 Home","Week 20 at home timing","","","P2W","2cb04478-5451-444c-a26f-a3a2ae3ee5b9","Timing"
"","Timing_17","TIM17","Adverse Event","Adverse Event","","","P1D","579e3b1c-ad6c-4cd2-840e-b935181478f1","Timing"
"","Timing_18","TIM18","Early Termination","Early Termination","","","P1D","33ec0432-16dd-4bb5-a68d-31d59ed9a0f2","Timing"
"","Timing_19","TIM19","Supine","Supine","","","PT0M","7ffdd1a4-d966-4ecb-a937-de3fbf545ad9","Timing"
"","Timing_20","TIM20","VS while supine","VS while supine","","","PT5M","f9e5472c-31f8-4304-8f83-463d0ddf6671","Timing"
"","Timing_21","TIM21","Standing","Standing","","","PT0M","17847af4-fbd9-41ad-ab36-e5027dae30ec","Timing"
"","Timing_22","TIM22","VS while standing","VS while standing","","","PT1M","78e95742-1a02-492d-85f5-4ab844a4adf2","Timing"
"","Timing_23","TIM23","Standing","Standing","","","PT0M","248c086e-ea1a-48a5-99fd-a326df931b76","Timing"
"","Timing_24","TIM24","VS while standing","VS while standing","","","PT2M","4b51ca9f-5cd0-4248-afde-2521e554e931","Timing"
