"id","name","label","description","uuid:ID","instanceType"
"Encounter_1","E1","Screening 1","Screening encounter","da98f282-6348-452d-a4c5-416d9a2f6a44","Encounter"
"Encounter_2","E2","Screening 2","Screening encounter - Ambulatory ECG Placement","9277f905-f06a-4012-a246-1a9866343244","Encounter"
"Encounter_3","E3","Baseline","Baseline encounter - Ambulatory ECG Removal","4e59358b-48d7-4051-9a42-ff5ffdc12a06","Encounter"
"Encounter_4","E4","Week 2","Day 14","cc65bd43-bbee-427a-932c-33cd62b67c52","Encounter"
"Encounter_5","E5","Week 4","Day 28","94c098d6-a687-4d98-99b2-9aca78ccb04a","Encounter"
"Encounter_6","E7","Week 6","Day 42","bb4748f8-d439-4096-bb92-3336eb187ea4","Encounter"
"Encounter_7","E8","Week 8","Day 56","8446b185-3ebe-47fb-8b40-ecda8ea2e476","Encounter"
"Encounter_8","E9","Week 12","Day 84","b0d26bca-ac75-49d2-95e0-e24e411fe72d","Encounter"
"Encounter_9","E10","Week 16","Day 112","6c68c708-8014-4f41-9d00-8620003f4772","Encounter"
"Encounter_10","E11","Week 20","Day 140","411bd913-cd47-4693-9ead-0b9d48067760","Encounter"
"Encounter_11","E12","Week 24","Day 168","1a503286-267b-4110-a08b-0aeac97f0a8f","Encounter"
"Encounter_12","E13","Week 26","Day 182","84eb90e7-7f54-4b57-9546-75a7b00e69f8","Encounter"
