"uuid:ID","description","name","label","instanceType","id"
"d9a64d9b-e447-4af4-8923-faead727a3ac","-","SCREEN1","Screen One","ScheduledActivityInstance","ScheduledActivityInstance_9"
"4b78cda6-aa09-4b10-8c4e-cb38db70b7a4","-","SCREEN2","Screen Two","ScheduledActivityInstance","ScheduledActivityInstance_10"
"bd31a70a-cbac-4f90-86c0-bf86865ae96b","-","DOSE","Dose","ScheduledActivityInstance","ScheduledActivityInstance_11"
"132a2a60-43db-404e-a08b-00e5d2e0db1f","-","WK2","Week 2","ScheduledActivityInstance","ScheduledActivityInstance_12"
"eb7f706d-cdfd-42f4-93e0-ffacfa386923","-","WK4","Week 4","ScheduledActivityInstance","ScheduledActivityInstance_13"
"c6c18c10-4a41-4c32-bc52-b5891f0c39d3","-","WK6","Week 6","ScheduledActivityInstance","ScheduledActivityInstance_14"
"f472ed9f-3bb5-4c69-8dc3-e7e3683c71ef","-","WK8","Week 8","ScheduledActivityInstance","ScheduledActivityInstance_15"
"fc22d9f2-ee91-458d-be36-bf977545504f","-","WK8N","Week NPI","ScheduledActivityInstance","ScheduledActivityInstance_16"
"a8e210c3-5cc9-42d4-82b8-f347d31be1ef","-","WK12","Week 12","ScheduledActivityInstance","ScheduledActivityInstance_17"
"f6cea79e-6a61-403d-b9e1-7feb7e6e1bab","-","WK12N","Week 12 NPI","ScheduledActivityInstance","ScheduledActivityInstance_18"
"74efead9-34e6-4fa2-a60c-31a710bf37cb","-","WK16","Week 16","ScheduledActivityInstance","ScheduledActivityInstance_19"
"710fa750-ed61-410e-8be2-ebd1bde8facf","-","WK16N","Week 16 NPI","ScheduledActivityInstance","ScheduledActivityInstance_20"
"61d13a93-669f-418b-8404-67f83128e4ba","-","WK20","Week 20","ScheduledActivityInstance","ScheduledActivityInstance_21"
"6f3c3d76-a9e3-441c-9ca7-a43de6685321","-","WK20N","Week 20 NPI","ScheduledActivityInstance","ScheduledActivityInstance_22"
"c4efd053-67a1-451f-9bc3-23ea740ad4b0","-","WK24","Week 24","ScheduledActivityInstance","ScheduledActivityInstance_23"
"d168dbf9-a7b6-4e18-bdf8-2150a605810d","-","WK26","Week 26","ScheduledActivityInstance","ScheduledActivityInstance_24"
"3bee0864-f33e-45f7-a2ee-097468f4c083","-","AE","Adevers Event","ScheduledActivityInstance","ScheduledActivityInstance_1"
"a8f98452-2cb2-4d16-a5ea-89f0403c7589","-","ET","Early Termination","ScheduledActivityInstance","ScheduledActivityInstance_2"
"180c3c81-48ab-4ebc-b557-3abc7941e556","","VS_5MIN","5 minute supine","ScheduledActivityInstance","ScheduledActivityInstance_3"
"46b3a238-c498-4057-95db-12e007db0e5c","","VS_SUPINE","Vital signs supine","ScheduledActivityInstance","ScheduledActivityInstance_4"
"ba5f65f7-aee2-4d2b-98b9-ecb1f1dde8ef","","VS_1MIN","1 minute standing","ScheduledActivityInstance","ScheduledActivityInstance_5"
"8b6bf1aa-7396-4890-88a6-a3789465ad65","","VS_STAND1","Vital signs after 1 min standing","ScheduledActivityInstance","ScheduledActivityInstance_6"
"afd1400e-fe49-459a-94ca-896bb048f5e3","","VS_2MIN","2 minute standing","ScheduledActivityInstance","ScheduledActivityInstance_7"
"1da31771-ccf3-4b94-9754-626d6a891567","","VS_STAND3","Vital signs after 3 min standing","ScheduledActivityInstance","ScheduledActivityInstance_8"
