"uuid:ID","code","decode","codeSystemVersion","instanceType","codeSystem","id"
"57690030-baaf-4238-bc89-e28c95961d9d","C98388","Interventional Study","2023-12-15","Code","http://www.cdisc.org","Code_1"
"3cf3e7fb-0271-4dcf-9d3d-cb001bf78b1c","C15601","Phase II Trial","2023-12-15","Code","http://www.cdisc.org","Code_2"
"3d9e5c25-8bb3-49d1-8f0f-d5a0be8c5631","C132352","Sponsor Approval Date","2023-12-15","Code","http://www.cdisc.org","Code_9"
"73757e57-dc03-40a5-b2cf-75687cb76236","C68846","Global","2023-12-15","Code","http://www.cdisc.org","Code_10"
"b733c8fe-8b0d-4a05-ac06-ec56bd2ad10d","C99904x3","IRB/IEC Feedback","2023-12-15","Code","http://www.cdisc.org","Code_72"
"c7f8144c-9cb9-4a91-8799-eda5e0e5f688","C17649","Other","2023-12-15","Code","http://www.cdisc.org","Code_73"
"5d0cfa7a-1902-4bdb-9d23-8eb1216c5523","C41129","Region","2023-12-15","Code","http://www.cdisc.org","Code_75"
"0fc8c045-3044-4c77-a3fb-71283328f452","150","Europe","2020-08","Code","ISO 3166 1 alpha3","Code_74"
"5b11be16-1f15-4bd8-97d2-ec18aeaf5dab","PHARMA","Eli Lilly","12","Code","SPONSOR","Code_4"
"f2d94cc3-184a-4afb-b90f-0ddfcc11e097","C70793","Clinical Study Sponsor","2023-12-15","Code","http://www.cdisc.org","Code_76"
"edfcbf2d-f99f-4e62-8c0b-e2961a13753f","USA","United States of America","2020-08","Code","ISO 3166 1 alpha3","Code_77"
"b258c8c6-7a96-42e8-8254-94e372599e81","C93453","Study Registry","2023-12-15","Code","http://www.cdisc.org","Code_78"
"b096334a-c27e-4e79-aed0-086f4419d5a7","USA","United States of America","2020-08","Code","ISO 3166 1 alpha3","Code_79"
"5938e390-d29b-4b55-a138-80885f30d0bd","C49656","Treatment Study","2023-12-15","Code","http://www.cdisc.org","Code_137"
"7039f5c6-0a6c-48b1-9290-88ddf0041d64","C49666","Efficacy Study","2023-12-15","Code","http://www.cdisc.org","Code_138"
