"uuid:ID","description","name","label","instanceType","id"
"85e6b6a7-fdd7-48cb-9fc1-4a42d1d17499","Screening encounter","E1","Screening 1","Encounter","Encounter_1"
"7b3134f8-7897-49c8-aeb0-6be2c743743a","Screening encounter - Ambulatory ECG Placement","E2","Screening 2","Encounter","Encounter_2"
"1c5ae5ce-c05a-461f-b2f3-1ec22413ad8f","Baseline encounter - Ambulatory ECG Removal","E3","Baseline","Encounter","Encounter_3"
"77ac8805-77fb-4c94-8216-6d52c58433df","Day 14","E4","Week 2","Encounter","Encounter_4"
"1cfa5b0f-d192-47bb-b43d-d187db14da3e","Day 28","E5","Week 4","Encounter","Encounter_5"
"620bdeb0-9896-44fb-8057-78731446541d","Day 42","E7","Week 6","Encounter","Encounter_6"
"fd781a35-bc85-4e6c-a743-f6fd37baa52f","Day 56","E8","Week 8","Encounter","Encounter_7"
"b5604b68-9f9f-4495-a792-70c6ce214b96","Day 84","E9","Week 12","Encounter","Encounter_8"
"7e98f12b-b19a-4292-978f-f4cba25959b3","Day 112","E10","Week 16","Encounter","Encounter_9"
"8b9a6008-1868-4a7b-9716-5ee377ca7911","Day 140","E11","Week 20","Encounter","Encounter_10"
"667ad4ce-f614-4fe5-a63d-a92f1f566664","Day 168","E12","Week 24","Encounter","Encounter_11"
"a4b9ba37-bc58-4ba4-a5ec-ab1756c106ea","Day 182","E13","Week 26","Encounter","Encounter_12"
