"uuid:ID","description","name","label","instanceType","id"
"04ca404d-2ca6-4644-bf8f-94bd2ae9f248","","Informed consent","Informed consent","Activity","Activity_1"
"6f64c6cc-70a5-467f-aa83-b08dfff1c551","","Inclusion/exclusion criteria","Inclusion and exclusion criteria","Activity","Activity_2"
"7b0e298e-3f6c-473a-9df5-fda6aae0a609","","Patient number assigned","Patient number assigned","Activity","Activity_3"
"e5687516-0363-485c-aeee-6cf938736d33","","Demographics","Demographics","Activity","Activity_4"
"c172654e-7aff-4c2d-bd4d-dcce079d1146","","Hachinski","Hachinski Ischemic Scale","Activity","Activity_5"
"82faf49d-beb0-45ed-b817-4b6dcbc9ad30","","MMSE","MMSE","Activity","Activity_6"
"1dae363c-4212-4a7d-bda6-61df6d4b2e41","","Physical examination","Physical examination","Activity","Activity_7"
"bfc9ac5e-a78b-4ece-bb55-7f9449b38e0a","","Medical history","Medical history","Activity","Activity_8"
"a7ee03d3-8877-466a-b16e-eea0a9d4e19a","","Habits","Habits","Activity","Activity_9"
"701c0807-9338-43c1-9065-46e6e03c766a","","Chest X-ray","Chest X-ray","Activity","Activity_10"
"79fddea2-62bc-4290-9e83-2c7b099f43c2","","Apo E genotyping","Apo E genotyping","Activity","Activity_11"
"fda9f8d6-1883-40f6-9ac5-72b810050ad8","","Patient randomised","Patient randomised","Activity","Activity_12"
"c8a99d5b-d484-441c-a1d4-3e85e2ed64c2","","Vital signs / Temperature","Vital Signs and Temperature","Activity","Activity_13"
"ebcf8085-e0fb-4f87-bb5a-4609380460af","","Ambulatory ECG placed","Ambulatory ECG placed","Activity","Activity_14"
"2cec12c7-1821-41f6-b170-56ccd651f685","","Ambulatory ECG removed","Ambulatory ECG removed","Activity","Activity_15"
"915cbc37-db82-42a1-a2cf-d6625949bcd0","","ECG","ECG","Activity","Activity_16"
"02b3c4ba-e004-49e1-a232-0b97e864387a","","Placebo TTS test","Placebo TTS test","Activity","Activity_17"
"3cfc6fbd-6974-4aa8-b439-c3bc0c0d3780","","CT scan","CT scan","Activity","Activity_18"
"eeb17342-2518-47a7-9239-2b81d036769a","","Concomitant medications","Concomitant medications","Activity","Activity_19"
"77594816-dc46-4ece-8913-38d5bf213d8c","","Hematology","Hematology","Activity","Activity_20"
"db93bbc4-6651-459a-a6b6-6951c7d8b9ce","","Chemistry","Chemistry","Activity","Activity_21"
"3333dccf-7e0a-46d3-80d5-c65e38807cc2","","Uninalysis","Uninalysis","Activity","Activity_22"
"ab0fdb48-b3f5-40d2-beec-ca3f54c43e82","","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity","Activity_23"
"8fd1d91d-7838-4446-972a-d9670292e096","","Hemoglobin A1C","Hemoglobin A1C","Activity","Activity_24"
"7b1e7490-4ea3-447b-9293-62dbddc39aa2","","Study drug","Study drug record , Medications dispensed, Medications returned","Activity","Activity_25"
"31d47c91-c45b-4076-a06b-bc0c0719de9a","","TTS Acceptability Survey","TTS Acceptability Survey","Activity","Activity_26"
"da2cfc77-52f2-46d2-b71a-78d65bc36714","","ADAS-Cog","ADAS-Cog","Activity","Activity_27"
"2a2bc369-46a3-49bc-ba2d-5abc567c52e0","","CIBIC+","CIBIC+","Activity","Activity_28"
"1ecfb417-2853-49ec-aea5-e3c12c632e46","","DAD","DAD","Activity","Activity_29"
"0a55d0e3-7193-42ec-aa2e-27d1d622dce6","","NPI-X","NPI-X","Activity","Activity_30"
"32ef766a-f30b-4bc1-a4b3-4845662f66da","","Adverse events","Adverse events","Activity","Activity_31"
"0527096e-44d4-40f2-a956-3ce76d2f8f29","","Check adverse events","Check adverse events","Activity","Activity_32"
"4a488227-4890-40fc-b3b9-cdb3c6f66cce","","Supine","Subject supine","Activity","Activity_33"
"a7f39f78-96a6-4dd6-b371-8c87553adbab","","Vital Signs Supine","Vital signs while supine","Activity","Activity_34"
"62556669-9bc5-419d-bb58-9be766dd3db0","","Stand","Subject Standing","Activity","Activity_35"
"19a7750d-6ea5-45e7-aef8-c7cd46dd017d","","Vital Signs Standing","Vital signs while standing","Activity","Activity_36"
