"uuid:ID","text","name","instanceType","id"
"71bd17e1-4513-4a79-af3f-f23c1ccdf1fe","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1"
"85b131f8-3133-4718-8526-ab9752a96f59","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2"
"3fca2c1d-f160-4b4a-97df-4d5d850e640c","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3"
"61698f0d-3e5d-4fbb-ac3e-7c7895cf58a4","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4"
"9c854e25-f6fd-4491-a944-edc080b258de","Radomized","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5"
"8c9cd74a-fc09-495f-bf06-31155be32348","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6"
"06f57cb1-af43-4559-84e4-2f5975eaa109","Informed consent","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7"
"ad629889-1a3b-4656-a18d-6fd9fa249998","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8"
"8b78ea2b-479b-4781-b08b-cd97317854a9","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9"
"37aad0a0-7313-4ff7-b370-aff09dabad14","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14"
"8445f2f3-0cdf-4ea2-94ab-d9e07d23ee85","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15"
"5ca5cd1d-c795-4c27-a8e7-73208386af79","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10"
"3c079bd0-f3ef-4353-a651-f5dfc8a9eb6e","Randomized","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11"
"af2cd125-97e7-44e6-9a8e-e75b52fc0276","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12"
"1a440f0a-e1d2-4f25-a2fb-91b399762ffd","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13"
