"uuid:ID","description","purpose","text","name","label","instanceType","id"
"e639639e-0119-44d3-86f3-36600a8ecdb4","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","","Endpoint","Endpoint_1"
"386730e5-aee1-4f39-8b35-d7297b94cba8","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","","Endpoint","Endpoint_2"
"2b1a24a2-1d3f-47b9-bf38-04a489a36981","","","Adverse events","END3","","Endpoint","Endpoint_3"
"4e6fa8de-9261-4205-83a0-4ac753fca79d","","","Vital signs (weight, standing and supine blood pressure, heart rate)","END4","","Endpoint","Endpoint_4"
"542ff2db-87c3-4e34-932c-70b80d92bf8c","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Laboratory evaluations (Change from Baseline)","END5","","Endpoint","Endpoint_5"
"ebbf9082-ba2d-49b1-9be7-30a480be1876","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","","Endpoint","Endpoint_6"
"e83ef523-cace-47de-9ea2-ce36664c7db4","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","","Endpoint","Endpoint_7"
"5aa8e047-b281-4865-85c1-3a4a2b380875","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","","Endpoint","Endpoint_8"
"4cdd783c-6a38-47d3-9d63-347681249b70","","","*** To be determined from protocol ***","END9","","Endpoint","Endpoint_9"
"17c3deb1-b3f9-434e-a374-5433cc08a641","","","*** To be determined from protocol ***","END10","","Endpoint","Endpoint_10"
"fa568ab5-1b5e-4b02-8417-f3b93b200f80","","","*** To be determined from protocol ***","END11","","Endpoint","Endpoint_11"
