"id","name","description","label","uuid:ID","instanceType"
"Encounter_1","E1","Screening encounter","Screening 1","e9bd0565-ce66-4924-9e05-de49aaad343b","Encounter"
"Encounter_2","E2","Screening encounter - Ambulatory ECG Placement","Screening 2","964e43fd-03ce-4bee-9320-1fd490c3694a","Encounter"
"Encounter_3","E3","Baseline encounter - Ambulatory ECG Removal","Baseline","04d4d80f-348e-4504-b871-8ac0c71ef6ea","Encounter"
"Encounter_4","E4","Day 14","Week 2","372d310c-7f2e-4bb6-b7b2-5dc95bc4a699","Encounter"
"Encounter_5","E5","Day 28","Week 4","2ae85b8d-eac2-4f38-bf03-8ab871609e6d","Encounter"
"Encounter_6","E7","Day 42","Week 6","78db85d9-7f1f-4e83-abf2-b724a5b15eda","Encounter"
"Encounter_7","E8","Day 56","Week 8","96076451-5514-4cb2-834f-6c77dd897dd5","Encounter"
"Encounter_8","E9","Day 84","Week 12","433b7b72-be7a-4f8b-bfd5-752a1099103b","Encounter"
"Encounter_9","E10","Day 112","Week 16","8f35f5ca-383c-4c56-b85b-a29e29d5a1df","Encounter"
"Encounter_10","E11","Day 140","Week 20","0f0eaf81-da04-4e73-9c9d-82393a320158","Encounter"
"Encounter_11","E12","Day 168","Week 24","9a73837a-f2a1-452d-b691-10c971e3e696","Encounter"
"Encounter_12","E13","Day 182","Week 26","381a3e8c-a29b-4a26-b590-95c82c618840","Encounter"
