"id","name","description","label","purpose","text","uuid:ID","instanceType"
"Endpoint_1","END1","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","64011918-dcfe-467b-b969-3d308efc290a","Endpoint"
"Endpoint_2","END2","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","a028ba06-fe11-4846-bd1a-df7d0bee423f","Endpoint"
"Endpoint_3","END3","","","","Adverse events","54dfffeb-7f9c-4e7d-8398-49830df44185","Endpoint"
"Endpoint_4","END4","","","","Vital signs (weight, standing and supine blood pressure, heart rate)","033653ca-8cd2-45dd-a0ec-3619303ffe73","Endpoint"
"Endpoint_5","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","","Laboratory evaluations (Change from Baseline)","6b11fc49-a812-4b57-87ff-5b82a7ba1ed5","Endpoint"
"Endpoint_6","END6","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","486b2e5b-5c69-4e16-b592-05ecb5b7b0af","Endpoint"
"Endpoint_7","END7","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","265346f2-15e0-4336-84de-416851c7bddf","Endpoint"
"Endpoint_8","END8","","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","3175a206-2530-47c2-bf6c-67dd4c3dd0ec","Endpoint"
"Endpoint_9","END9","","","","*** To be determined from protocol ***","593b1ff6-bea5-412f-886f-c39e293d2f9b","Endpoint"
"Endpoint_10","END10","","","","*** To be determined from protocol ***","cd716254-b435-41ae-a4a6-386d88f183bd","Endpoint"
"Endpoint_11","END11","","","","*** To be determined from protocol ***","756c1bcb-4b34-4b7a-be02-7c8d0fb4dd1f","Endpoint"
