"id","name","description","label","valueLabel","windowLabel","windowUpper","windowLower","value","uuid:ID","instanceType"
"Timing_1","TIM1","Screening timing","Screening","2 weeks","","","","P2W","bfc9e90e-61dc-46c9-a41d-c9a9f5cea5b2","Timing"
"Timing_2","TIM2","Pre dose timing","Pre dose","2 days","-4..0 hours","PT0H","PT4H","P2D","a28b208f-935b-4c52-8ea4-2b503a237019","Timing"
"Timing_3","TIM3","Dosing anchor","Dosing","1 Day","","","","P1D","3b447b28-4748-4086-aea4-657045a97d80","Timing"
"Timing_4","TIM4","Week 2 timing","Week 2","2 Weeks","-3..3 days","P3D","P3D","P2W","0415cd59-942c-416c-aac1-e6ef1b130ab0","Timing"
"Timing_5","TIM5","Week 4 timing","Week 4","4 Weeks","-3..3 days","P3D","P3D","P4W","b3256b10-c4d7-4668-84e8-6421e31a40ce","Timing"
"Timing_6","TIM6","Week 6 timing","Week 6","6 Weeks","-3..3 days","P3D","P3D","P6W","050200c4-8928-4567-b33d-f6ae48c3ae08","Timing"
"Timing_7","TIM7","Week 8 timing","Week 8","8 Weeks","-3..3 days","P3D","P3D","P8W","4e5d3817-ea8f-4c49-b374-fea7f5cc53a0","Timing"
"Timing_9","TIM9","Week 12 timing","Week 12","12 Weeks","-4..4 days","P4D","P4D","P12W","c5540181-3e62-47a9-8b8b-eac6b9246663","Timing"
"Timing_11","TIM11","Week 16 timing","Week 16","16 Weeks","-4..4 days","P4D","P4D","P16W","4a3594a9-00ed-422d-a9ae-8bdb7872a55f","Timing"
"Timing_13","TIM13","Week 20 timing","Week 20","20 Weeks","-4..4 days","P4D","P4D","P20W","850cac49-6f82-45fa-af83-40a40697bf8d","Timing"
"Timing_15","TIM15","Week 24 timing","Week 24","24 Weeks","-4..4 days","P4D","P4D","P24W","394d985f-00b5-4ded-b7f0-5b487e436ba8","Timing"
"Timing_16","TIM16","Week 26 timing","Week 26","26 Weeks","-3..3 days","P3D","P3D","P26W","236a23d0-09cf-4940-8028-c1af894f81b6","Timing"
"Timing_8","TIM8","Week 8 at home timing","Week 8 Home","2 Weeks","","","","P2W","dcc6b633-d9da-4f10-a27a-b30777ce9133","Timing"
"Timing_10","TIM10","Week 12 at home timing","Week 12 Home","2 Weeks","","","","P2W","f607bdec-be27-4c93-9269-69b7387b51d5","Timing"
"Timing_12","TIM12","Week 16 at home timing","Week 16 Home","2 Weeks","","","","P2W","2249f048-0803-44e2-a225-bb2e302e80b4","Timing"
"Timing_14","TIM14","Week 20 at home timing","Week 20 Home","2 Weeks","","","","P2W","2358ad7e-6d0e-48a9-9fcf-8783cedd9fb7","Timing"
"Timing_17","TIM17","Adverse Event","Adverse Event","1 Day","","","","P1D","5f9d606d-0daa-4612-953b-c08660bafe01","Timing"
"Timing_18","TIM18","Early Termination","Early Termination","1 Day","","","","P1D","50bda603-ee50-4827-ae07-637159337041","Timing"
"Timing_19","TIM19","Supine","Supine","0 mins","","","","PT0M","b07bd6c5-ef4e-40e7-ba84-582a3d5c7c90","Timing"
"Timing_20","TIM20","VS while supine","VS while supine","5 mins","","","","PT5M","e7604241-82b7-46e6-85ba-bc7dc221890c","Timing"
"Timing_21","TIM21","Standing","Standing","0 min","","","","PT0M","d75482e6-6d0b-41cb-a437-00213551837c","Timing"
"Timing_22","TIM22","VS while standing","VS while standing","1 min","","","","PT1M","6401ebd8-7d16-45b2-abcf-a4e0d41c6619","Timing"
"Timing_23","TIM23","Standing","Standing","0 min","","","","PT0M","de67c8b2-9343-4c82-a6ca-3208fff28b6a","Timing"
"Timing_24","TIM24","VS while standing","VS while standing","2 min","","","","PT2M","f889a4ce-f52a-47e0-bc9f-7416f87943a3","Timing"
