"id","name","description","label","uuid:ID","instanceType"
"Activity_1","Informed consent","","Informed consent","4746f257-4583-4933-ad5a-68ffca0cddc9","Activity"
"Activity_2","Inclusion/exclusion criteria","","Inclusion and exclusion criteria","7fa67258-b0d3-4905-9e3f-f6513f75c6d2","Activity"
"Activity_3","Patient number assigned","","Patient number assigned","ea8b4584-a2e6-495c-bede-f556d6fce928","Activity"
"Activity_4","Demographics","","Demographics","23dc04a8-386d-4556-b4d4-2c6218299c16","Activity"
"Activity_5","Hachinski","","Hachinski Ischemic Scale","bcbfe514-039f-4480-8a12-cb608f83e965","Activity"
"Activity_6","MMSE","","MMSE","3aaf5538-94e8-47f5-83fc-c7dbc0794157","Activity"
"Activity_7","Physical examination","","Physical examination","a649468e-860e-4b75-9e0e-153344be8944","Activity"
"Activity_8","Medical history","","Medical history","62ae5a56-8238-4aaa-8e49-1c52ae64ca64","Activity"
"Activity_9","Habits","","Habits","b499903d-e348-46ce-8569-78f420800a2d","Activity"
"Activity_10","Chest X-ray","","Chest X-ray","30b5ec39-c6b9-4937-afb4-605894801420","Activity"
"Activity_11","Apo E genotyping","","Apo E genotyping","35506569-c7f8-4cbb-a3d4-7b0984ae8051","Activity"
"Activity_12","Patient randomised","","Patient randomised","2142837e-175d-42c5-8612-96245c0501b3","Activity"
"Activity_13","Vital signs / Temperature","","Vital Signs and Temperature","2eace63f-b46f-4d92-a55e-343a3c823680","Activity"
"Activity_14","Ambulatory ECG placed","","Ambulatory ECG placed","eb111c39-6e84-4b3d-b4b2-07256a2b821a","Activity"
"Activity_15","Ambulatory ECG removed","","Ambulatory ECG removed","13448525-4002-4a09-9f06-aadcb0f48e4d","Activity"
"Activity_16","ECG","","ECG","00fbf437-3bb2-4b0c-b72d-b49624cb5115","Activity"
"Activity_17","Placebo TTS test","","Placebo TTS test","f961e3b8-5c38-4e05-b3f8-0d5ce9448364","Activity"
"Activity_18","CT scan","","CT scan","7d8a7b7a-661f-4a95-afdd-05d7e3b416d7","Activity"
"Activity_19","Concomitant medications","","Concomitant medications","d3aacf9c-e34a-44a0-b10a-1c2995ea16fd","Activity"
"Activity_20","Hematology","","Hematology","04435a51-70ae-447b-b674-231fde235726","Activity"
"Activity_21","Chemistry","","Chemistry","33e2846a-a193-4831-8118-e2f8b51d2cd7","Activity"
"Activity_22","Uninalysis","","Uninalysis","deffba55-6ca0-487b-8a29-340f4a2a1f3c","Activity"
"Activity_23","Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)","58dadb60-353e-44f9-8c8d-5fa0d931cbeb","Activity"
"Activity_24","Hemoglobin A1C","","Hemoglobin A1C","f3295179-a0bf-4e63-aaf3-dcb263b1f773","Activity"
"Activity_25","Study drug","","Study drug record , Medications dispensed, Medications returned","845138fe-f9a9-4b33-9cdb-81dd27debb70","Activity"
"Activity_26","TTS Acceptability Survey","","TTS Acceptability Survey","4062da62-3778-45f6-a7f1-52e1f1ce958d","Activity"
"Activity_27","ADAS-Cog","","ADAS-Cog","cf16738d-2acc-4fb0-a8cc-7196c729dd27","Activity"
"Activity_28","CIBIC+","","CIBIC+","6c9606bd-0827-4c61-8256-dd872c915430","Activity"
"Activity_29","DAD","","DAD","bb0e9bb5-9f27-4875-a74d-fe90e87d953b","Activity"
"Activity_30","NPI-X","","NPI-X","f308f159-abde-4047-a76b-6b07817f953b","Activity"
"Activity_31","Adverse events","","Adverse events","f0305ad4-a74f-4955-9632-cee37a187e23","Activity"
"Activity_32","Check adverse events","","Check adverse events","110b48a4-49d2-4166-946f-f4b0ce454d93","Activity"
"Activity_33","Supine","","Subject supine","6c3648fd-8d9c-4532-afa2-a14fd4332bd1","Activity"
"Activity_34","Vital Signs Supine","","Vital signs while supine","e8d99f47-98c2-44ae-ab01-69954d3dbcbd","Activity"
"Activity_35","Stand","","Subject Standing","fff34501-943f-4709-96d6-d15733b31656","Activity"
"Activity_36","Vital Signs Standing","","Vital signs while standing","cb7aabd2-f017-4fff-9cd0-43c409676330","Activity"
