"id","name","synonyms","label","reference","uuid:ID","instanceType"
"BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","cf23058e-8266-4e45-8dba-2617ae9b08ee","BiomedicalConcept"
"BiomedicalConcept_21","Sex","","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","36640d0c-1f68-4b22-86e5-c3518a487628","BiomedicalConcept"
"BiomedicalConcept_22","Race","['Racial Group']","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","2c4230d7-144f-4f2a-abb5-d54d797217b6","BiomedicalConcept"
"BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","4eb0e35e-0899-4a4f-969e-e43fc2f2fe14","BiomedicalConcept"
"BiomedicalConcept_24","Weight","['Weight', 'Body Weight']","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","b2897251-1b04-4e4e-8bef-5d580afbce01","BiomedicalConcept"
"BiomedicalConcept_25","Height","['Height', 'Body Height']","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","8feb272d-a19e-4fca-8811-c3dd67b9dbe6","BiomedicalConcept"
"BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","d5ec20fe-4b34-47b6-9b19-56da69652152","BiomedicalConcept"
"BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","b47cfb6a-403d-4610-aa59-02082fb876a3","BiomedicalConcept"
"BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","8645f782-9ade-4323-9ddd-87da77cbb9a2","BiomedicalConcept"
"BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","81c8dbd4-cfa0-4764-bb99-7ce68ead1aa8","BiomedicalConcept"
"BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","84866fa3-5e04-4f80-b46a-34c34ca946c6","BiomedicalConcept"
"BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","09370e21-53e9-46fd-818c-1d90496d8f6f","BiomedicalConcept"
"BiomedicalConcept_32","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","f3e88b45-f71d-437b-bd83-02f344a2d7a2","BiomedicalConcept"
"BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","7a614b9f-2d3d-426a-9c58-1244093b3b1f","BiomedicalConcept"
"BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","2d46ac25-adc6-4657-b16a-2f9941b7b120","BiomedicalConcept"
"BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","6d91981d-6718-4d37-8904-d1cda75eada9","BiomedicalConcept"
"BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","cf420ae0-43f8-4868-b156-5e1c392fa6fe","BiomedicalConcept"
"BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","f261c730-471a-4268-b459-28b51f9632eb","BiomedicalConcept"
"BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","a15c55e0-6431-49ae-9086-c0b8da56ff9e","BiomedicalConcept"
"BiomedicalConcept_6","Height","['Height', 'Body Height']","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","d1182dd2-d3d0-44e6-b9e9-fc5c7f52c578","BiomedicalConcept"
"BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","19ff27ad-e67a-4abf-8a7d-2b9e28dfb308","BiomedicalConcept"
