"id","codeSystemVersion","decode","code","uuid:ID","codeSystem","instanceType"
"Code_1","2023-12-15","Interventional Study","C98388","591f2116-14fd-4366-a3a6-07dd6b67fb7f","http://www.cdisc.org","Code"
"Code_2","2023-12-15","Phase II Trial","C15601","2beee4f3-d14a-49c1-a7ad-9146f364bcd7","http://www.cdisc.org","Code"
"Code_9","2023-12-15","Sponsor Approval Date","C132352","14d9b61d-141a-43bb-8064-019bf44592f5","http://www.cdisc.org","Code"
"Code_10","2023-12-15","Global","C68846","59dcbfe6-d190-49de-a1d1-63ef558fb338","http://www.cdisc.org","Code"
"Code_72","2023-12-15","IRB/IEC Feedback","C99904x3","e8652b81-e0be-498c-ad25-81c30a9045a8","http://www.cdisc.org","Code"
"Code_73","2023-12-15","Other","C17649","ab73e896-3bdb-4be0-b26a-92b70357ff8e","http://www.cdisc.org","Code"
"Code_75","2023-12-15","Region","C41129","da55f144-ff2e-49eb-ab1c-c0bef726df47","http://www.cdisc.org","Code"
"Code_74","2020-08","Europe","150","3c73064a-affb-42ec-9572-ce5f46ca2fcf","ISO 3166 1 alpha3","Code"
"Code_4","12","Eli Lilly","PHARMA","c3609e25-cf66-4174-81c0-260998e45255","SPONSOR","Code"
"Code_76","2023-12-15","Clinical Study Sponsor","C70793","51924704-fda8-49c1-9b16-e1b9dee7d1b1","http://www.cdisc.org","Code"
"Code_77","2020-08","United States of America","USA","884c8afa-be16-42c0-a995-32ac1ef46ce7","ISO 3166 1 alpha3","Code"
"Code_78","2023-12-15","Study Registry","C93453","561e788e-9997-46ab-856d-7a43f2e7f2e3","http://www.cdisc.org","Code"
"Code_79","2020-08","United States of America","USA","f1a345f5-b5fb-487f-8a50-b28b8faeb47d","ISO 3166 1 alpha3","Code"
"Code_137","2023-12-15","Treatment Study","C49656","5cee0f3f-6b5e-47c9-9691-27a9235a2c7c","http://www.cdisc.org","Code"
"Code_138","2023-12-15","Efficacy Study","C49666","82d55651-50c4-414e-8d3c-c47fad9d3498","http://www.cdisc.org","Code"
"Code_139","2023-12-15","Safety Study","C49667","8876be5b-dd85-49e8-be3c-2257a6ef4b18","http://www.cdisc.org","Code"
"Code_140","2023-12-15","Pharmacokinetic Study","C49663","c47d069f-0be0-4a58-a0bf-ba686671bcb7","http://www.cdisc.org","Code"
"Code_134","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","e894a600-fc50-4131-8451-f3d85bbd929b","SPONSOR","Code"
"Code_135","January 31, 2018","Alzheimer's disease","26929004","2b300682-b8a4-48f5-a665-2f874fe71fe0","SNOMED","Code"
"Code_143","2023-12-15","EXTENSION","C99907x1","57443ec7-6601-4fc1-bd73-d9206ee0a9d9","http://www.cdisc.org","Code"
"Code_144","2023-12-15","ADAPTIVE","C98704","11283c65-1998-4f00-bdb4-0a2f1ae84f82","http://www.cdisc.org","Code"
"Code_141","2023-12-15","Parallel Study","C82639","7f3b3b95-bdfe-477a-a98f-f3c7df28654f","http://www.cdisc.org","Code"
"Code_83","2023-12-15","Visit","C25716","9f34dfa6-3074-45dc-8d20-12f76f43ee00","http://www.cdisc.org","Code"
"Code_84","2023-12-15","Clinic","C51282","968e6061-55dd-44d7-b355-52db45e3c858","http://www.cdisc.org","Code"
"Code_85","2023-12-15","In Person","C175574","d40046ba-a9df-4765-85af-b8ea1cf77374","http://www.cdisc.org","Code"
"Code_86","2023-12-15","Visit","C25716","dca8d7d0-0f07-4a4b-ad83-687cbf51e75f","http://www.cdisc.org","Code"
"Code_87","2023-12-15","Clinic","C51282","ce5d36d1-ec6a-43d3-a365-42c267720b2b","http://www.cdisc.org","Code"
"Code_88","2023-12-15","In Person","C175574","3f476e50-9e1a-4e1a-ae4f-dfdbae106edf","http://www.cdisc.org","Code"
"Code_89","2023-12-15","Visit","C25716","97ca4a3c-e069-4298-a43d-549268c00f61","http://www.cdisc.org","Code"
"Code_90","2023-12-15","Clinic","C51282","9d78fcfb-3564-485f-af32-d89a7f0cd342","http://www.cdisc.org","Code"
"Code_91","2023-12-15","In Person","C175574","840cbd6f-a4ef-495d-a46d-68271d19eb9a","http://www.cdisc.org","Code"
"Code_92","2023-12-15","Visit","C25716","6e95ba40-786b-44e4-b57b-cf4fadff5cbe","http://www.cdisc.org","Code"
"Code_93","2023-12-15","Clinic","C51282","4bc00643-649a-45c8-aca8-675fc4abc9fc","http://www.cdisc.org","Code"
"Code_94","2023-12-15","In Person","C175574","2ed806f8-f186-4c54-9a78-082ef21c6a2d","http://www.cdisc.org","Code"
"Code_95","2023-12-15","Visit","C25716","d1c6ece0-c3ab-45cf-8d98-83fbdc1dc557","http://www.cdisc.org","Code"
"Code_96","2023-12-15","Clinic","C51282","c4dd8d99-4857-4b03-97bf-df9e4781a761","http://www.cdisc.org","Code"
"Code_97","2023-12-15","In Person","C175574","4ba60f88-6923-4acb-8163-1178314293e7","http://www.cdisc.org","Code"
"Code_98","2023-12-15","Visit","C25716","cd613280-74e8-4269-a038-fbbfc78f60bf","http://www.cdisc.org","Code"
"Code_99","2023-12-15","Clinic","C51282","dbdc36ad-a0e9-498d-867d-3553483453ed","http://www.cdisc.org","Code"
"Code_100","2023-12-15","In Person","C175574","3e2860fb-db23-4734-93ec-2b6f97bf7a59","http://www.cdisc.org","Code"
"Code_101","2023-12-15","Visit","C25716","3eba9a8c-aa40-4507-a7b9-8da884304459","http://www.cdisc.org","Code"
"Code_102","2023-12-15","Clinic","C51282","fa2564d0-478a-4e53-8817-823900761e97","http://www.cdisc.org","Code"
"Code_103","2023-12-15","In Person","C175574","05662ecf-087d-4d72-b741-8d9837d764f8","http://www.cdisc.org","Code"
"Code_104","2023-12-15","Telephone Call","C171537","94fcdefd-0420-44f5-9b4c-e20e20a2e3ef","http://www.cdisc.org","Code"
"Code_105","2023-12-15","Visit","C25716","91f78a34-ecb9-48e4-a380-6e23df522be6","http://www.cdisc.org","Code"
"Code_106","2023-12-15","Clinic","C51282","62c02ae5-0492-446a-9588-951a72c15071","http://www.cdisc.org","Code"
"Code_107","2023-12-15","In Person","C175574","5d1f3918-66e8-4856-b6ed-b1199dd342e3","http://www.cdisc.org","Code"
"Code_108","2023-12-15","Telephone Call","C171537","45d285d2-a116-4660-b449-cc3ad01ce998","http://www.cdisc.org","Code"
"Code_109","2023-12-15","Visit","C25716","a232b111-fb2a-4284-b1eb-e3351c5407a2","http://www.cdisc.org","Code"
"Code_110","2023-12-15","Clinic","C51282","c5bea331-30b8-49e1-a2fb-f1b2f982dbb1","http://www.cdisc.org","Code"
"Code_111","2023-12-15","In Person","C175574","8a926670-2e6e-4704-88c4-955851317c01","http://www.cdisc.org","Code"
"Code_112","2023-12-15","Telephone Call","C171537","5f7d7917-6756-45c3-b86b-15a1d4e44b52","http://www.cdisc.org","Code"
"Code_113","2023-12-15","Visit","C25716","cb226edf-5f46-43ac-b74b-c97559098c51","http://www.cdisc.org","Code"
"Code_114","2023-12-15","Clinic","C51282","54aabe1b-0d43-4cc0-9467-2a2d5ef76a00","http://www.cdisc.org","Code"
"Code_115","2023-12-15","In Person","C175574","c722891e-106b-443a-9aea-4136fd40fae1","http://www.cdisc.org","Code"
"Code_116","2023-12-15","Telephone Call","C171537","900719a4-e82d-47ba-aebc-b4a04a30b5a5","http://www.cdisc.org","Code"
"Code_117","2023-12-15","Visit","C25716","db02c79e-763d-4402-9681-0b65a50d4361","http://www.cdisc.org","Code"
"Code_118","2023-12-15","Clinic","C51282","7004c2ad-ed41-44c9-a69e-f3bb0a14afef","http://www.cdisc.org","Code"
"Code_119","2023-12-15","In Person","C175574","730cdddc-037b-4986-b835-0ca17f4293ff","http://www.cdisc.org","Code"
"Code_120","2023-12-15","Visit","C25716","62626648-5ccf-4c51-8e12-e8e8f082b8bd","http://www.cdisc.org","Code"
"Code_121","2023-12-15","Clinic","C51282","a70e2871-cb5c-4c3c-8bb2-d5408686638a","http://www.cdisc.org","Code"
"Code_122","2023-12-15","In Person","C175574","3c5d3150-60bd-49b3-ad4c-f62f6c0907fd","http://www.cdisc.org","Code"
"Code_80","January 31, 2018","CT of head without contrast","383371000119108","e2052d95-8196-427f-acad-c5090ff05b5e","SNOMED","Code"
"Code_81","12","Subject Supine","123","a49e5802-bb63-405a-b27c-8f7b6ee858f3","SPONSOR","Code"
"Code_82","12","Subject Standing","124","0f788582-423e-4dcd-9124-12fe26044e9a","SPONSOR","Code"
"Code_429","2023-12-15","Dictionary-derived Term","C82977","325146a5-1f97-4085-ac6d-3c28edd9adee","http://www.cdisc.org","Code"
"Code_430","2023-12-15","Reported Event Term","C82571","1538180a-ce0f-496e-b8b9-7fb2d8966df2","http://www.cdisc.org","Code"
"Code_431","2023-12-15","Observation Start Date Time","C82517","d9b5ee9f-383e-4a78-a129-863c05242de3","http://www.cdisc.org","Code"
"Code_432","2023-12-15","Informed Consent","C16735","35b9c115-f54a-4abd-a0e1-a694a4a8511b","http://www.cdisc.org","Code"
"Code_433","2023-12-15","Male","C20197","2d6c597a-347c-45ad-99e5-32d21339117b","http://www.cdisc.org","Code"
"Code_434","2023-12-15","Female","C16576","4634500a-d4ad-4efb-9c9c-00f6b1873ddd","http://www.cdisc.org","Code"
"Code_435","2023-12-15","Sex","C28421","20cb7609-ec23-4d0d-9b90-a3e0ea77a558","http://www.cdisc.org","Code"
"Code_436","2023-12-15","Sex","C28421","5854e607-1c92-4183-b233-97e6778d965f","http://www.cdisc.org","Code"
