"id","name","text","uuid:ID","instanceType"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","d63f2d2b-2c2c-42ff-aa3b-4c669338494c","TransitionRule"
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","27c3944a-72d0-4274-bbf7-1354dc7ecbea","TransitionRule"
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","a7d2655d-bf42-44cc-8e83-33f7bea27bb1","TransitionRule"
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","0a771a4d-a9b2-4d4c-9857-b236bc6c51f4","TransitionRule"
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","db15bf6b-8eba-4f3d-9e42-9ffd6239b4ab","TransitionRule"
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","361942df-2362-4833-adc4-de00c5acc68b","TransitionRule"
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","596f6372-9dda-477c-80e4-4ac10de9de8d","TransitionRule"
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","f286c18f-2c38-4606-b5a6-e1dacbd84273","TransitionRule"
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","da041206-4bca-47ce-b212-480acb093afc","TransitionRule"
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","df5e4f3e-0931-4936-aea0-85106c7c3a89","TransitionRule"
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","459af0ef-3085-4ba9-ade2-31c82e0493b1","TransitionRule"
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","24c88200-c59b-425e-88d5-b4796625bf64","TransitionRule"
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","89187e67-f1fa-473d-a106-69a6e6b31d44","TransitionRule"
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","fbc5d24f-b277-488f-92ed-80c3e2337e09","TransitionRule"
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","ae3898eb-49b1-4e62-8ed3-4e6b47692b87","TransitionRule"
